Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.30278343,3.3026906434287695
1979,欺凌,0.2909903,3.4365407505560723
1979,精神病,NA,NA
1979,创伤,0.2881047,3.470960227325624
1979,分裂,0.27683368,3.6122771920369874
1979,阴谋,0.2863895,3.4917481274266655
1979,主权,0.32280397,3.09785529322613
1979,恐怖主义,NA,NA
1980,偏见,0.30166724,3.3149107912817604
1980,欺凌,NA,NA
1980,精神病,0.27270466,3.666970695430279
1980,创伤,0.2930516,3.4123683284552913
1980,分裂,0.29461777,3.3942283687237325
1980,阴谋,0.30902925,3.2359396260172213
1980,主权,0.3152093,3.172495234558253
1980,恐怖主义,0.29206914,3.4238468670173936
1981,偏见,0.2944856,3.395751792502543
1981,欺凌,0.32141712,3.111221923771872
1981,精神病,0.27802986,3.596735988570858
1981,创伤,0.2990069,3.3444043246456423
1981,分裂,0.29966882,3.337017192169995
1981,阴谋,0.30848122,3.241688461847613
1981,主权,0.3206213,3.11894426109189
1981,恐怖主义,0.28588167,3.4979507634898037
1982,偏见,0.3176347,3.1482706220611423
1982,欺凌,0.3315507,3.016130074665202
1982,精神病,0.27431902,3.645390645718199
1982,创伤,0.29684848,3.3687220284919093
1982,分裂,0.297445,3.3619660866012238
1982,阴谋,0.318695,3.1377962394434817
1982,主权,0.3238308,3.088032266641168
1982,恐怖主义,0.30383405,3.2912703400369927
1983,偏见,0.2974639,3.3617525371617454
1983,欺凌,0.31051302,3.2204768785905253
1983,精神病,0.26808557,3.730152291283858
1983,创伤,0.30350494,3.2948392448656394
1983,分裂,0.2918701,3.4261818638520207
1983,阴谋,0.31081605,3.217337075626488
1983,主权,0.32015282,3.123508337781379
1983,恐怖主义,0.3037908,3.29173883664223
1984,偏见,0.29714087,3.365407160981518
1984,欺凌,0.28973198,3.451465738003858
1984,精神病,0.27187008,3.678227528011676
1984,创伤,0.2861714,3.494409215107309
1984,分裂,0.2849176,3.5097867754058263
1984,阴谋,0.29941297,3.3398687241654716
1984,主权,0.3105998,3.219577048551142
1984,恐怖主义,0.28494084,3.50950044283941
1985,偏见,0.30073768,3.3251570049673562
1985,欺凌,0.30043316,3.328527396064464
1985,精神病,0.25719267,3.888135672565578
1985,创伤,0.28640494,3.491559917607989
1985,分裂,0.2811065,3.5573705820881267
1985,阴谋,0.30703244,3.2569848729880584
1985,主权,0.30882058,3.238126211181515
1985,恐怖主义,0.29182792,3.426676960658162
1986,偏见,0.2927843,3.4154836454550903
1986,欺凌,NA,NA
1986,精神病,0.26585376,3.761466417175939
1986,创伤,0.28635442,3.4921758533625575
1986,分裂,0.28457606,3.513999054120795
1986,阴谋,0.2985933,3.3490368274527658
1986,主权,0.31982952,3.126665696332491
1986,恐怖主义,0.29066187,3.4404237303949947
1987,偏见,0.30554858,3.272802003880221
1987,欺凌,NA,NA
1987,精神病,0.26919392,3.7147941871758774
1987,创伤,0.27851468,3.590474973682245
1987,分裂,0.28615147,3.4946526899022565
1987,阴谋,0.30775017,3.249388992194943
1987,主权,0.311001,3.2154237157875714
1987,恐怖主义,0.29987326,3.3347421213333988
1988,偏见,0.31385696,3.186164812446564
1988,欺凌,NA,NA
1988,精神病,0.2767102,3.6138890283035146
1988,创伤,0.2797359,3.574800463522728
1988,分裂,0.2942832,3.3980871549422322
1988,阴谋,0.2901436,3.446569108603842
1988,主权,0.30890378,3.237253971045696
1988,恐怖主义,0.29371443,3.4046675428680317
1989,偏见,0.30109575,3.3212025975797324
1989,欺凌,0.30658284,3.2617611786593708
1989,精神病,0.27336827,3.658069032327063
1989,创伤,0.27878323,3.5870163098422103
1989,分裂,0.29026774,3.4450952584193733
1989,阴谋,0.30642182,3.2634752052411007
1989,主权,0.31635037,3.161052089047558
1989,恐怖主义,0.29725567,3.3641074587600364
1990,偏见,0.2993184,3.3409238789146247
1990,欺凌,0.31841072,3.1405977354554544
1990,精神病,0.2750078,3.63626031144601
1990,创伤,0.27832392,3.5929359039580357
1990,分裂,0.2882943,3.4686778412601535
1990,阴谋,0.30715987,3.255633612524044
1990,主权,0.3163641,3.160914812775154
1990,恐怖主义,0.30173975,3.314114207365626
1991,偏见,0.2996473,3.33725681896505
1991,欺凌,0.3140427,3.1842804818285586
1991,精神病,0.26463547,3.77878289260676
1991,创伤,0.276822,3.612429638250308
1991,分裂,0.29545218,3.384642510941896
1991,阴谋,0.31895447,3.1352437449169974
1991,主权,0.31789404,3.1457022445628726
1991,恐怖主义,0.2886903,3.4639196542855726
1992,偏见,0.29560477,3.3828953961396735
1992,欺凌,NA,NA
1992,精神病,0.26457387,3.779662716136048
1992,创伤,0.27720287,3.60746619992614
1992,分裂,0.2956864,3.381961498304354
1992,阴谋,0.3115887,3.2093589571181065
1992,主权,0.3207486,3.117706540753356
1992,恐怖主义,0.30454978,3.2835354161539367
1993,偏见,0.29959574,3.3378311340213362
1993,欺凌,NA,NA
1993,精神病,0.27395934,3.650176719191084
1993,创伤,0.2879852,3.4724005969049525
1993,分裂,0.29488087,3.3912000129364013
1993,阴谋,0.30187187,3.31266379106852
1993,主权,0.31393346,3.1853883747637024
1993,恐怖主义,0.28321558,3.5308791685441165
1994,偏见,0.3048585,3.2802102654771748
1994,欺凌,0.32323435,3.0937306062311767
1994,精神病,0.26467922,3.7781582835847702
1994,创伤,0.29175192,3.4275695459555426
1994,分裂,0.28787076,3.4737810243764065
1994,阴谋,0.2979902,3.355815024304693
1994,主权,0.32039246,3.1211720811151986
1994,恐怖主义,0.2891923,3.45790685866387
1995,偏见,0.29390103,3.4025059822452195
1995,欺凌,0.29987183,3.334758029419315
1995,精神病,0.25231272,3.9633356602304928
1995,创伤,0.29131132,3.432753617317044
1995,分裂,0.2864834,3.4906035585097683
1995,阴谋,0.29358152,3.4062089982896087
1995,主权,0.3188077,3.1366871853385834
1995,恐怖主义,0.28755444,3.4776023280171913
1996,偏见,0.2944709,3.395921222604962
