Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.32280397,0.30278343,0.27683368,0.2881047,,0.2909903,,0.2863895,3.09785529322613,3.302690643428769,3.6122771920369874,3.470960227325624,,3.4365407505560723,,3.491748127426665
1980,0.3152093,0.30166724,0.29461777,0.2930516,0.29206914,,0.27270466,0.30902925,3.172495234558253,3.3149107912817604,3.3942283687237325,3.4123683284552917,3.4238468670173936,,3.666970695430279,3.2359396260172213
1981,0.3206213,0.2944856,0.29966882,0.2990069,0.28588167,0.32141712,0.27802986,0.30848122,3.11894426109189,3.395751792502543,3.337017192169995,3.3444043246456423,3.497950763489804,3.111221923771872,3.596735988570858,3.241688461847613
1982,0.3238308,0.3176347,0.297445,0.29684848,0.30383405,0.3315507,0.27431902,0.318695,3.088032266641168,3.1482706220611423,3.361966086601224,3.3687220284919093,3.2912703400369927,3.016130074665202,3.645390645718199,3.1377962394434817
1983,0.32015282,0.2974639,0.2918701,0.30350494,0.3037908,0.31051302,0.26808557,0.31081605,3.123508337781379,3.3617525371617454,3.4261818638520207,3.2948392448656394,3.29173883664223,3.2204768785905253,3.730152291283858,3.217337075626488
1984,0.3105998,0.29714087,0.2849176,0.2861714,0.28494084,0.28973198,0.27187008,0.29941297,3.219577048551142,3.365407160981518,3.5097867754058263,3.494409215107309,3.50950044283941,3.451465738003858,3.678227528011676,3.339868724165472
1985,0.30882058,0.30073768,0.2811065,0.28640494,0.29182792,0.30043316,0.25719267,0.30703244,3.238126211181515,3.325157004967356,3.5573705820881267,3.491559917607989,3.426676960658162,3.328527396064464,3.888135672565578,3.2569848729880584
1986,0.31982952,0.2927843,0.28457606,0.28635442,0.29066187,,0.26585376,0.2985933,3.126665696332491,3.4154836454550903,3.513999054120795,3.492175853362557,3.4404237303949947,,3.761466417175939,3.3490368274527658
1987,0.311001,0.30554858,0.28615147,0.27851468,0.29987326,,0.26919392,0.30775017,3.215423715787572,3.272802003880221,3.4946526899022565,3.590474973682245,3.3347421213333988,,3.714794187175877,3.249388992194943
1988,0.30890378,0.31385696,0.2942832,0.2797359,0.29371443,,0.2767102,0.2901436,3.237253971045696,3.186164812446564,3.398087154942232,3.574800463522728,3.404667542868032,,3.6138890283035146,3.446569108603842
1989,0.31635037,0.30109575,0.29026774,0.27878323,0.29725567,0.30658284,0.27336827,0.30642182,3.161052089047558,3.3212025975797324,3.4450952584193733,3.5870163098422103,3.3641074587600364,3.2617611786593708,3.658069032327063,3.2634752052411007
1990,0.3163641,0.2993184,0.2882943,0.27832392,0.30173975,0.31841072,0.2750078,0.30715987,3.160914812775154,3.3409238789146247,3.468677841260153,3.592935903958036,3.314114207365626,3.1405977354554544,3.63626031144601,3.255633612524044
1991,0.31789404,0.2996473,0.29545218,0.276822,0.2886903,0.3140427,0.26463547,0.31895447,3.1457022445628726,3.33725681896505,3.384642510941896,3.612429638250308,3.4639196542855726,3.1842804818285586,3.77878289260676,3.1352437449169974
1992,0.3207486,0.29560477,0.2956864,0.27720287,0.30454978,,0.26457387,0.3115887,3.117706540753356,3.382895396139673,3.381961498304354,3.60746619992614,3.2835354161539367,,3.779662716136048,3.2093589571181065
1993,0.31393346,0.29959574,0.29488087,0.2879852,0.28321558,,0.27395934,0.30187187,3.1853883747637024,3.337831134021336,3.3912000129364013,3.4724005969049525,3.5308791685441165,,3.650176719191084,3.31266379106852
1994,0.32039246,0.3048585,0.28787076,0.29175192,0.2891923,0.32323435,0.26467922,0.2979902,3.1211720811151986,3.2802102654771748,3.4737810243764065,3.427569545955542,3.45790685866387,3.0937306062311767,3.77815828358477,3.355815024304693
1995,0.3188077,0.29390103,0.2864834,0.29131132,0.28755444,0.29987183,0.25231272,0.29358152,3.136687185338584,3.4025059822452195,3.4906035585097683,3.432753617317044,3.4776023280171917,3.334758029419315,3.9633356602304928,3.4062089982896087
1996,0.31227612,0.2944709,0.29074472,0.27912486,0.28342772,0.3285113,0.2606832,0.287515,3.202294123979505,3.395921222604962,3.439443349138674,3.582626120610608,3.528236463876472,3.0440353406193044,3.836073696390234,3.478079230234292
1997,0.30293712,0.28885078,0.2943566,0.26625702,0.28901866,0.29840362,0.2697239,0.28291833,3.3010150731690664,3.4619951004021368,3.3972397807465025,3.755769549556346,3.459984200633192,3.351165772008608,3.70749506763876,3.5345888894366517
1998,0.3117209,0.29948562,0.28791276,0.2638873,0.28694475,0.3178234,0.2689824,0.29228863,3.207997844663161,3.339058440233773,3.4732743806924287,3.789496699338241,3.484991485488356,3.146401329884595,3.717715215645536,3.4212757297188228
1999,0.30222234,0.30151552,0.28747317,0.24898747,0.2769736,0.3030337,0.24612533,0.286936,3.3088222257218023,3.3165788655378545,3.478585473624868,4.016266423671752,3.610452336918417,3.299962903678201,4.062970755741699,3.4850975412794485
2000,0.30393258,0.28045303,0.28930426,0.26716626,0.28915355,0.3130474,0.26649404,0.29041117,3.2902034018464867,3.565659508873228,3.456568570086449,3.742987649660688,3.4583701756568463,3.194404333229755,3.752429195254425,3.443393672504372
