Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.317049444,0.303727427,0.286456696,0.292604165,0.30623442,0.2909903,0.27451903,0.29845692599999996,3.154783316607932,3.2925250733439335,3.492020060798444,3.417742636723716,3.2654722553267854,3.4365407505560723,3.6427347625152935,3.3516711663647314
1980,0.323968307,0.30710718400000003,0.292878943,0.298535409,0.29118198,0.30704412,0.26621506100000003,0.298614861,3.087652288571081,3.25666213495199,3.4149151510715576,3.3501946176229707,3.434278435191188,3.25686095021194,3.756764505587399,3.3497521890951765
1981,0.321308155,0.299082717,0.296094338,0.298900687,0.290438866,0.32141712,0.27594927,0.305770386,3.1128600221959823,3.3438697219457794,3.378156514745983,3.3464424938482873,3.44337250415186,3.111221923771872,3.6238544921382463,3.2713660408168033
1982,0.327992316,0.31504099,0.29906711,0.300401939,0.30383405,0.3315507,0.2737096,0.3160678,3.049175592190192,3.174933860238146,3.3453080079695874,3.3292983056959224,3.2912703400369927,3.016130074665202,3.6535072848172456,3.164194708477443
1983,0.315022896,0.311489218,0.29677955300000003,0.303707667,0.3018891,0.31051302,0.26212838,0.314691738,3.1753569217819484,3.2110957886090246,3.3701716693021937,3.292885694239659,3.3124747710128526,3.2204768785905253,3.814924537571134,3.178641613402717
1984,0.312893817,0.292246697,0.284910603,0.286319956,0.287486772,0.28973198,0.27050933,0.305259983,3.1971083395926376,3.4224748727162053,3.5101341056264643,3.4927043608512442,3.4784379554059925,3.451465738003858,3.696730131488158,3.276946229800791
1985,0.319773523,0.29899667399999996,0.285829129,0.282183842,0.288442076,0.30043316,0.2563224,0.30528117,3.1287040696332413,3.345470826039177,3.499832390384216,3.544282748194919,3.468062287334827,3.3285273960644646,3.901336545765237,3.2766699674501067
1986,0.318785049,0.29668495699999997,0.28967559600000004,0.28069236599999997,0.291146143,0.29486048,0.2648446,0.30535572699999997,3.1387745910155056,3.3714542319731455,3.453359591405057,3.5634754359791914,3.435618823656688,3.3914344590532566,3.7757991427648703,3.275426038256164
1987,0.31227984200000003,0.303756261,0.283668597,0.281289732,0.29212274099999996,0.3030374,0.2670043,0.301685843,3.2033945070752274,3.29265840423934,3.526656261200194,3.55610868547008,3.42358194408163,3.299922661209679,3.745257879684945,3.3159297597400523
1988,0.303735578,0.305492902,0.287664757,0.27661478700000003,0.29909194100000003,0.3163883,0.27414662,0.297456198,3.293631212911014,3.273777254951701,3.4773286572416326,3.6156954366038283,3.3441382406069473,3.160673044950985,3.647683173758761,3.3627797392838032
1989,0.310500467,0.29917494499999997,0.29262905699999997,0.278866795,0.293322113,0.30658284,0.27148806,0.30555470900000004,3.221400310600547,3.3428897157839748,3.4174690186914027,3.5862459161606877,3.4095793347925385,3.2617611786593708,3.684698077717538,3.273841743822323
1990,0.312122756,0.293884109,0.292625245,0.275772619,0.30173975,0.31841072,0.2743941,0.30844590299999997,3.205125847857617,3.4031395080760953,3.417667585669399,3.626308080228779,3.314114207365626,3.1405977354554544,3.6443932957233836,3.2425623674650614
1991,0.31727376,0.296586848,0.290446158,0.277906473,0.28782505,0.3140427,0.26363669,0.310274853,3.1529238707497536,3.3718617440541543,3.444087567725078,3.5989819485266237,3.4743327832429016,3.1842804818285586,3.7931211644774008,3.2240616887485714
1992,0.32564569099999996,0.29994203,0.29360794599999995,0.274512732,0.301814258,0.28904068,0.26147938,0.310150358,3.0718052113770633,3.3343102678280148,3.4066592678152268,3.643456172196737,3.3134373291223715,3.4597205616153106,3.82439337517917,3.2247845855624595
1993,0.31527676699999996,0.302987219,0.297418569,0.286720411,0.28321558,0.3339202,0.2703901,0.303255371,3.1731648986112284,3.3006386444418845,3.3629168228300386,3.487789307559558,3.5308791685441165,2.994727387729737,3.698360349290725,3.2982456400105846
1994,0.31105651500000003,0.306507074,0.292311508,0.287199467,0.28692672,0.32323435,0.26291043,0.298899196,3.217111715310464,3.2631173698291023,3.4222811147797465,3.4822794670214776,3.485210481505221,3.0937306062311767,3.803576817002407,3.3457278738401044
1995,0.30729751699999996,0.293598577,0.292362161,0.28769095299999997,0.28351609099999997,0.301848098,0.25154027,0.288693623,3.2551487292218653,3.4062878608838694,3.421208175020465,3.4765110314757677,3.5277174497921955,3.313041461112845,3.975506531706075,3.4646017974757912
1996,0.308031128,0.295759519,0.29064416400000004,0.274684236,0.28266948599999997,0.3285113,0.2606832,0.290586493,3.24836991065715,3.3818974831518482,3.4412560063907107,3.6412662175693944,3.5383420541777078,3.0440353406193044,3.836073696390234,3.44161103368621
1997,0.301179791,0.292680076,0.289704773,0.265789547,0.283867765,0.29677984,0.26900196,0.286599092,3.3208523139414057,3.417623334173681,3.452760802242208,3.7624120426165284,3.523701367227413,3.3695010955206213,3.7174450223172335,3.489373648311008
1998,0.312086672,0.30670767099999996,0.284631568,0.264801953,0.288005635,0.3178234,0.2666852,0.293784219,3.2048091887917316,3.260707817125194,3.5138574618212104,3.776470987651829,3.4729098545745662,3.146401329884595,3.749739564417157,3.4043201547761237
1999,0.300711271,0.29610261800000004,0.29234745900000003,0.254414178,0.279473407,0.305333408,0.245193143,0.281803431,3.3256526511504267,3.377344891136592,3.4213899883378067,3.9310094081533533,3.5786441825971274,3.275179643945944,4.0785571113097365,3.5494654079805272
2000,0.29979817,0.288155753,0.285112341,0.269681903,0.287874013,0.3130474,0.26551858,0.28839153399999995,3.335860371059014,3.4708922270268765,3.5084041885741177,3.7095119766976823,3.4741242903384952,3.194404333229755,3.7662148367019954,3.467802950299216
2001,0.298980476,0.28329063899999996,0.281359044,0.267240234,0.28316736,0.3021186,0.24890819999999997,0.286691434,3.345272539187733,3.53032338252332,3.5554332919450298,3.742207809118709,3.532540967345372,3.309958413473727,4.017545314290089,3.4883632133972333
2002,0.309518325,0.283145464,0.29401825800000003,0.27356696,0.289175873,,0.25120845,0.291932205,3.23313017022586,3.532001228298052,3.4014633448727425,3.6554121714485417,3.4585323417863307,,3.9807577436272696,3.4267838299874036
2003,0.2954337,0.294722007,0.278987647,0.268113132,0.279214654,,0.25365116099999996,0.27119585700000004,3.38539325972612,3.3934005500728404,3.5859812580510573,3.730298494076551,3.582212913956165,,3.94251067143433,3.6875960525804587
2004,0.242118824,0.231183289,0.239979903,0.21039226900000002,0.23276613699999998,0.24102034999999997,0.20383031599999998,0.23882427499999997,4.132124029623567,4.327287912120279,4.168498822424844,4.754726195354167,4.298026300175671,4.149027221813557,4.906832937065082,4.191094631534566
2005,0.289875259,0.279440226,0.28400588299999996,0.26427742200000004,0.28519638399999997,0.30167642,0.26132047,0.272665577,3.450358735453549,3.5790744095964064,3.521967626792118,3.7848444259090703,3.507793041660908,3.314809928416478,3.8267189449458625,3.6677217288032553
2006,0.29116407099999997,0.282561565,0.285286078,0.26722397,0.282579819,0.30639973,0.2563605,0.274296987,3.4356365895309997,3.539675063810905,3.5057178111101543,3.742642758444623,3.539621415525766,3.263710417661821,3.9007569258934316,3.6459743020073043
2007,0.281005292,0.260969615,0.271745758,0.24523908199999997,0.260246331,0.29154557,0.24368612,0.25842376499999997,3.559417950220341,3.832570954231367,3.680690043599662,4.078116850787919,3.8433307483079844,3.4299955247281764,4.10363947189528,3.869661815834339
2008,0.283267363,0.274601463,0.263872695,0.253437631,0.273152003,0.28442907,0.24791166000000003,0.270787085,3.531164093422948,3.642982922030737,3.790305128578384,3.947374689600469,3.662124719423757,3.5158149913410255,4.033694875359664,3.693011271299605
2009,0.271474831,0.269730664,0.263015654,0.24447878900000003,0.271292255,0.260572978,0.24022873000000003,0.264149565,3.684951679358363,3.707712343393368,3.8039996490929204,4.0910961896888995,3.6873444937141366,3.8382256045722114,4.1626994846688055,3.7862189958474572
2010,0.261943759,0.27665186799999997,0.258403819,0.247345308,0.266565136,0.24888720000000003,0.22824733999999997,0.254414334,3.819006469417468,3.6160848279063678,3.870413434738423,4.045266616087877,3.7529650020669307,4.0178844686887984,4.381211979563138,3.9307249101505755
2011,0.2650817,0.27227994099999997,0.259135707,0.24630867199999998,0.268480908,0.25067477,0.242543562,0.267905838,3.7729068194942683,3.6735899675759462,3.860680215556858,4.060906966173071,3.725462886426964,3.9900352038760447,4.124965960921947,3.732727785708994
2012,0.271033937,0.278649754,0.262119971,0.240624242,0.27093290400000003,0.26303008,0.253607936,0.258344297,3.6907056878254236,3.589507695857433,3.816220023019915,4.157087252301584,3.6913228515330374,3.8018465129322174,3.9434120092753266,3.8711010095928224
2013,0.273202259,0.271348749,0.270335326,0.249890175,0.273682093,0.29357135,0.23483164699999998,0.26393154,3.661313226031131,3.6859386593523213,3.699831334667029,4.002502513561678,3.654687756193457,3.406326911402531,4.258961214790547,3.7890049134733665
2014,0.279227619,0.27076363400000003,0.26845833900000005,0.25306691400000003,0.270422667,0.26151454,0.25216324700000003,0.2685699,3.584248941667215,3.6946544723803085,3.7256939506349362,3.951854686993586,3.6993712935060423,3.8238790961384255,3.9660241534436858,3.7234256317613417
2015,0.271185747,0.270336741,0.260679384,0.253098486,0.26874058700000003,0.254120057,0.24547620399999998,0.262100719,3.6891125431520964,3.6995793562820607,3.83764565122474,3.9523614595117493,3.722301769996696,3.9357154490754014,4.073796621751599,3.8154559693251793
2016,0.276113184,0.265414068,0.262158718,0.240941194,0.26402885600000003,0.254981685,0.23654697200000002,0.258314645,3.623102796059026,3.7685693770293853,3.8174007034594055,4.151098054591084,3.7900070039504072,3.9221398431756875,4.228266847392714,3.8712523826870937
2017,0.28513303300000004,0.27246182500000005,0.27566987,0.244678242,0.278553976,0.251755818,0.25460398,0.27162296,3.508911929007992,3.6717364466807583,3.6304552590232597,4.08732066861007,3.5915250959970857,3.9728256303237424,3.927668343030837,3.681573956288208
2018,0.282133702,0.27323068300000003,0.26861679299999996,0.248245306,0.27213940000000003,0.250839005,0.23625395,0.27732298,3.547761284121986,3.660520811495947,3.7242371485555332,4.029001287082014,3.674984704707208,3.9872008238194168,4.232733516689716,3.605903874249564
2019,0.278497644,0.283521057,0.277051897,0.23583242399999998,0.266546944,0.243925175,0.24170399000000004,0.2728729,3.5914115834208906,3.52806871433828,3.6100962767761375,4.241013173885672,3.7529020470801284,4.1011522986013045,4.137292114659985,3.6647099008911552
2020,0.283885814,0.28336434600000004,0.290457916,0.232461735,0.271029929,0.260032228,0.24985713,0.2746065,3.5233303569218917,3.5301083788568826,3.4455694442350597,4.302259749812961,3.690126015422247,3.8464670090233612,4.002287264483683,3.641574450051089
2021,0.29158019,0.27624386300000003,0.279640433,0.232808282,0.274543083,0.26014517699999995,,0.27313074,3.4323615507679754,3.6210827720188923,3.5765479024959106,4.295577465793353,3.6433089083355754,3.8446436141204403,,3.6612502232740303
2022,0.292063882,0.27258402400000004,0.28521570399999996,0.236502052,0.278678778,0.249748227,,0.27707443,3.424997907665337,3.6693156006712093,3.5069254883833123,4.228418342275777,3.589295320282514,4.004368656186693,,3.609138573153384
2023,0.29336153499999995,0.27082902600000003,0.280934852,0.241856677,0.282582051,0.261876197,,,3.409453214275846,3.6938694861394774,3.561852178366801,4.1348562973830045,3.5398915889850513,3.8189386276001627,,
