Year,Target Concept,Sentence With Concepts,Context Words
2004,偏见,1,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,2,"['目前', '种族', '和', '宗教', '冲突', '不断', '社团', '暴力', '层出不穷', '我们', '的', '出路', '不', '在于', '回避', '宗教', '与']"
2004,偏见,3,"['即使', '有人', '有', '有', '恶意', '那', '是', '他', '的', '错误', '我们', '不必']"
2004,偏见,4,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,5,"['消除', '一些', '人', '对', '伟人', '形象', '的', '误解', '和']"
2004,偏见,6,"['尽管', '不同', '阶层', '和', '地域', '的', '人', '凭着', '爱好', '情趣', '习惯', '竭力', '把', '自己', '特有', '的', '语言', '因素']"
2004,偏见,7,"['不能', '将', '人', '导向', '对', '历史', '的', '无知', '和', '渲染', '历史', '文化', '中反', '人性', '反', '历史', '反', '道德']"
2004,偏见,8,"['即使', '有人', '有', '有', '恶意', '那', '是', '他', '的', '错误', '我们', '不必']"
2004,偏见,9,"['这', '就', '特别', '需要', '与人为善', '坦诚相见', '出于公心', '防止']"
2004,偏见,10,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,11,"['麻木', '惊醒', '恐惧', '远遁', '歧视', '汗颜', '一切', '顾虑', '和', '烟消云散', '心中', '唤起', '的', '是', '对', '生命', '的', '珍视']"
2004,偏见,12,"['我', '想', '持', '这种', '的', '人', '应该', '到', '埃及', '实地', '看看', '这', '也许']"
2004,偏见,13,"['指出', '内陆地区', '居住', '着', '独眼', '人', '其', '无知', '与', '不言自明']"
2004,偏见,14,"['自大', '心态', '媒体', '对', '中国', '的', '报道', '长期', '存有', '未能', '给', '民众', '提供', '一个', '完整', '的', '中国', '视野']"
2004,偏见,15,"['倾销', '软木', '的', '结论', '不是', '一个', '客观', '和', '不带', '的', '调查', '机构', '所', '能', '得出', '的']"
2004,偏见,16,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,17,"['进行', '全面', '准确', '的', '调查', '核对', '严禁', '带', '着', '采写', '报道', '严禁', '发表', '匿名', '报道', '新闻来源', '必须', '明确']"
