Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.30491605,3.279591175497506
1979,欺凌,0.2909903,3.4365407505560723
1979,精神病,0.27451903,3.6427347625152935
1979,创伤,0.2922808,3.42136747709567
1979,分裂,0.2801793,3.5691431475599487
1979,阴谋,0.29941058,3.33989531930955
1979,主权,0.31316036,3.1932521742175757
1979,恐怖主义,0.30623442,3.2654722553267854
1980,偏见,0.30844283,3.2420918866231276
1980,欺凌,0.30704412,3.25686095021194
1980,精神病,0.2624613,3.810085457274769
1980,创伤,0.30239862,3.3068933755955316
1980,分裂,0.28889102,3.4615129569341505
1980,阴谋,0.30020064,3.3311054771627533
1980,主权,0.32279468,3.0979445290970746
1980,恐怖主义,0.29118198,3.434278435191188
1981,偏见,0.30210575,3.3100991448445183
1981,欺凌,0.32141712,3.111221923771872
1981,精神病,0.27594927,3.6238544921382463
1981,创伤,0.29978812,3.3356892482717346
1981,分裂,0.29439774,3.3967651881908605
1981,阴谋,0.29944515,3.3395097311706388
1981,主权,0.3185678,3.139049084501021
1981,恐怖主义,0.28415132,3.519251697198479
1982,偏见,0.31681797,3.156386624445342
1982,欺凌,0.3315507,3.016130074665202
1982,精神病,0.2737096,3.653507284817245
1982,创伤,0.3014106,3.317733509161519
1982,分裂,0.3018246,3.3131825624610407
1982,阴谋,0.31007522,3.225023879324878
1982,主权,0.32334,3.0927197499605974
1982,恐怖主义,0.30383405,3.2912703400369927
1983,偏见,0.3060104,3.267862841905511
1983,欺凌,0.31051302,3.2204768785905253
1983,精神病,0.26212838,3.814924537571134
1983,创伤,0.30563477,3.271879081081276
1983,分裂,0.30118576,3.3202101262037633
1983,阴谋,0.31844732,3.14023680528396
1983,主权,0.3186933,3.137812964852814
1983,恐怖主义,0.3018891,3.3124747710128526
1984,偏见,0.29561615,3.382765117299404
1984,欺凌,0.28973198,3.451465738003858
1984,精神病,0.27050933,3.6967301314881578
1984,创伤,0.28494656,3.509429968142141
1984,分裂,0.28735402,3.4800278489910963
1984,阴谋,0.3151887,3.1727025150770927
1984,主权,0.31398776,3.1848375059951035
1984,恐怖主义,0.28720704,3.481808836275843
1985,偏见,0.30673793,3.2601119834145855
1985,欺凌,0.30043316,3.328527396064464
1985,精神病,0.2563224,3.901336545765237
1985,创伤,0.27677527,3.613039551796768
1985,分裂,0.28406698,3.520296576499527
1985,阴谋,0.30560753,3.2721707092709758
1985,主权,0.32815742,3.0473179152450753
1985,恐怖主义,0.28130788,3.554824037734002
1986,偏见,0.29847974,3.3503111933140817
1986,欺凌,0.29486048,3.3914344590532566
1986,精神病,0.2648446,3.7757991427648703
1986,创伤,0.28005904,3.570675674151361
1986,分裂,0.29067284,3.440293921214039
1986,阴谋,0.2986499,3.3484021798961145
1986,主权,0.31788358,3.1458057603861396
1986,恐怖主义,0.2926695,3.4168233564577424
1987,偏见,0.30685183,3.25890181842127
1987,欺凌,0.3030374,3.2999226612096795
1987,精神病,0.2670043,3.7452578796849445
1987,创伤,0.2809905,3.55883903625156
1987,分裂,0.2749876,3.636527502334711
1987,阴谋,0.30965468,3.229403769116291
1987,主权,0.31082597,3.217234351228989
1987,恐怖主义,0.2943398,3.3974337828389984
1988,偏见,0.30807042,3.2460110777384203
1988,欺凌,0.3163883,3.1606730449509852
1988,精神病,0.27414662,3.647683173758761
1988,创伤,0.27415082,3.6476272628200426
1988,分裂,0.28708792,3.4832535249399155
1988,阴谋,0.29991725,3.3342530217707402
1988,主权,0.2976277,3.3599024625482943
1988,恐怖主义,0.30454466,3.2835906835845967
1989,偏见,0.29379117,3.4037782121234375
1989,欺凌,0.30658284,3.2617611786593708
1989,精神病,0.27377805,3.652593755575457
1989,创伤,0.27723122,3.607097400050912
1989,分裂,0.28999308,3.448358176559955
1989,阴谋,0.30125472,3.3194500709358357
1989,主权,0.31152406,3.2100248990410707
1989,恐怖主义,0.29474953,3.3927111137714454
1990,偏见,0.29454508,3.3950659967280137
1990,欺凌,0.31841072,3.1405977354554544
1990,精神病,0.2743941,3.644393295723383
1990,创伤,0.27631813,3.619016926565123
1990,分裂,0.2909009,3.4375969545786944
1990,阴谋,0.30737507,3.2533542451295334
1990,主权,0.30890316,3.2372605298372323
1990,恐怖主义,0.30173975,3.314114207365626
1991,偏见,0.2934506,3.4077286624131373
1991,欺凌,0.3140427,3.1842804818285586
1991,精神病,0.26422247,3.7846894285761015
1991,创伤,0.27824405,3.593967259694691
1991,分裂,0.30076265,3.3248808948148616
1991,阴谋,0.31387427,3.185989044873595
1991,主权,0.30981362,3.2277470704008033
1991,恐怖主义,0.28782505,3.474332783242902
1992,偏见,0.3044463,3.2846514074707676
1992,欺凌,0.28904068,3.45972056161531
1992,精神病,0.26147938,3.82439337517917
1992,创伤,0.28130686,3.5548368423572945
1992,分裂,0.29742676,3.3621722515442407
1992,阴谋,0.30977914,3.2281063485434505
1992,主权,0.31740695,3.150529604024634
1992,恐怖主义,0.30008247,3.3324171968946175
1993,偏见,0.30460733,3.2829150705131807
1993,欺凌,0.3339202,2.994727387729737
1993,精神病,0.2703901,3.698360349290725
1993,创伤,0.28942022,3.455183640635872
1993,分裂,0.2970221,3.3667527959922974
1993,阴谋,0.30037284,3.3291958201539065
1993,主权,0.3160596,3.1639603213517895
1993,恐怖主义,0.28321558,3.5308791685441165
1994,偏见,0.30470973,3.2818118137835888
1994,欺凌,0.32323435,3.0937306062311767
1994,精神病,0.26291043,3.8035768170024067
1994,创伤,0.28440595,3.5161008814764205
1994,分裂,0.29365703,3.40533303157915
1994,阴谋,0.2984435,3.3507180174517894
1994,主权,0.29673132,3.3700520385820494
1994,恐怖主义,0.28692672,3.485210481505221
1995,偏见,0.29922414,3.341976372011343
1995,欺凌,0.302323,3.3077204023510003
1995,精神病,0.25154027,3.975506531706075
