Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.31041315,0.30423293,0.28421247,0.29007176,0.30623442,0.2909903,0.27451903,0.30141965,3.221512985590938,3.2869552150526,3.5184944552496136,3.4474228549665047,3.265472255326785,3.4365407505560723,3.6427347625152935,3.317633786551565
1980,0.32925248,0.3073418,0.29861403,0.29795122,0.29118198,0.30704412,0.2706373,0.3027854,3.0371828803354126,3.2537063110656006,3.3488045298999265,3.3562540709835496,3.434278435191188,3.25686095021194,3.694982128229007,3.302669188503072
1981,0.32487643,0.29965743,0.29674983,0.29754516,0.29023024,0.32141712,0.27594927,0.30798268,3.078093437656063,3.3371439710348305,3.369841860300693,3.3608343143236064,3.445540288448614,3.111221923771872,3.6238544921382463,3.246935800639896
1982,0.3243226,0.3137052,0.29526213,0.3036143,0.30383405,0.3315507,0.2737096,0.31561834,3.083349621009439,3.1877061047671527,3.3868210812716577,3.2936526298379256,3.2912703400369927,3.016130074665202,3.653507284817245,3.168383725855714
1983,0.32236895,0.31605867,0.29325825,0.3056087,0.3018891,0.31051302,0.26212838,0.31904453,3.102035729807051,3.1639695699333035,3.409963746354971,3.2721582645555727,3.3124747710128526,3.2204768785905253,3.814924537571134,3.134358701502556
1984,0.3164759,0.2911576,0.28446814,0.2840648,0.28829122,0.28973198,0.27050933,0.3109473,3.159798285534396,3.434565983474499,3.515332104718545,3.520323537425329,3.4687147747111475,3.451465738003858,3.6967301314881578,3.215979052413056
1985,0.317644,0.30449885,0.28664923,0.28315166,0.2920186,0.30043316,0.2563224,0.3056272,3.148178463411458,3.284084638523381,3.488584322969257,3.5316763205698605,3.424439491768041,3.328527396064464,3.901336545765237,3.271960119147975
1986,0.32229513,0.2936511,0.2907975,0.27654204,0.2904491,0.29486048,0.2648446,0.30106568,3.1027462381281308,3.4054018066644907,3.4388190882030263,3.616086755651962,3.4429438976877864,3.3914344590532566,3.7757991427648703,3.321534320429598
1987,0.30505598,0.2980583,0.28332782,0.27794147,0.28798282,0.3030374,0.2670043,0.30734435,3.278086905210835,3.3550483108138174,3.5294804701930302,3.597879858051024,3.4724293446202563,3.2999226612096795,3.745257879684945,3.2536794933269597
1988,0.30256304,0.30906716,0.28695324,0.27500176,0.29823458,0.3163883,0.27414662,0.2916738,3.3050963369890125,3.235542722663444,3.4848883316111983,3.636340306959784,3.353065206155794,3.160673044950985,3.647683173758761,3.428487468362204
1989,0.31221566,0.29764247,0.29335266,0.27860168,0.29266617,0.30658284,0.2734589,0.30665416,3.2029143338832453,3.359735598200261,3.4088662704167167,3.5893538529539155,3.4168623253569894,3.2617611786593708,3.656856686935292,3.261002607874393
1990,0.3121234,0.3028853,0.29285982,0.2746366,0.30173975,0.31841072,0.2743941,0.30467242,3.203861159656007,3.3015799048011125,3.4146029025888023,3.641175331175684,3.314114207365626,3.1405977354554544,3.644393295723383,3.282213729481537
1991,0.32166237,0.30056632,0.287544,0.28150567,0.28782505,0.3140427,0.26301938,0.31175765,3.10884985154539,3.327052793105869,3.477728479901695,3.552326265226007,3.474332783242902,3.1842804818285586,3.802001163451312,3.207619724246144
1992,0.3277641,0.29903528,0.29289594,0.273712,0.30124933,0.28904068,0.26147938,0.31263116,3.0509748281905207,3.3440870149060804,3.414181808080764,3.6534750629093216,3.3195095095590235,3.45972056161531,3.82439337517917,3.198657484856524
