Year,保全,友善,友爱,善良,助人为乐,关心,关怀,爱护,关爱,照顾,庇护,保护,热心,同情,怜悯,共情,关照,戕害,欺负,伤害,折磨,践踏,忍受,遭受,暴力,暴虐,残暴,杀戮,危害,损害,妨害,毁坏,毁灭,滥用,虐待,无情,正直,公平,公正,公平正义,合理,公平合理,客观,正义,权利,一致,平等,互惠,互利,互惠互利,平衡,诚信,驱逐,排外,作假,不公,歧视,不平,偏颇,盲从,偏见,偏执,偏心,偏爱,排斥,团体,忠心,忠诚,忠心耿耿,矢志不渝,热爱祖国,同胞,爱国,团结,团结互助,团结合作,祖国,社群,集体,成员,服务,奉献,投身,投身于,敌伪,汉奸,背叛,变节,不忠,敌对,唾弃,邪恶势力,势力,叛变,特务,叛徒,叛乱,领导岗位,权威,服从,尊崇,合法,责任,尊敬,敬重,敬意,崇敬,敬仰,敬佩,秩序,威严,干部,领导,领导干部,一把手,无序,反叛,违抗,犯上,颠覆,反抗,反复无常,无所顾忌,任性,不法,非法,不服,煽动,违法,挑动,混乱,崇高品质,崇高,纯净,神圣,清白,纯洁,圣洁,光荣,庄严,风范,光辉,荣耀,崇高精神,高尚,高尚情操,赤诚,情操,糟粕,玷污,传染,罪恶,肮脏,恶心,纳粹,法西斯,堕落,泯灭,松懈,庸俗,粗鄙,粗俗,低劣
1979,26,4,19,75,39,1581,552,229,0,488,34,1667,181,326,6,0,18,4,18,126,184,307,60,616,68,11,122,7,628,472,37,141,88,75,61,103,52,77,291,0,1223,33,709,442,1223,1196,484,20,75,1,869,0,104,7,2,6,196,41,5,20,70,1,3,8,105,610,14,187,49,4,68,204,570,2321,13,44,2872,0,2696,983,2180,4,63,31,6,18,88,3,0,86,24,13,513,33,282,188,84,147,253,420,7,373,1070,215,15,206,105,37,67,474,15,9816,10503,0,13,0,7,15,2,198,307,5,4,2,5,377,73,370,141,36,433,32,383,5,172,19,74,7,700,128,0,485,4,18,160,14,17,66,15,24,19,208,52,10,44,462,36,1,15,20,0,2,74
1980,36,6,38,127,55,1871,494,371,0,812,50,2183,307,315,15,0,32,8,16,149,154,195,87,679,213,10,89,10,704,548,35,118,92,96,89,105,102,102,349,0,1611,18,646,471,1152,1383,584,15,105,22,904,3,148,20,3,12,198,48,12,19,105,2,0,26,161,605,11,198,50,8,81,249,580,2061,20,58,2411,2,3281,1375,2684,11,47,31,26,45,82,10,2,73,20,11,572,82,367,258,215,277,216,447,13,335,1457,292,30,102,77,31,65,342,19,10954,12088,0,27,0,10,6,2,163,467,5,10,7,9,447,73,227,142,32,501,20,318,20,145,10,108,8,523,138,4,362,9,13,291,34,30,103,60,20,16,172,32,14,39,570,40,16,21,67,1,3,40
1981,29,9,58,114,101,1935,645,428,0,849,37,2041,357,370,10,0,32,14,26,108,112,120,72,752,120,11,61,15,632,630,26,102,91,93,69,114,99,110,408,0,1541,56,573,369,930,1445,580,9,80,9,1180,2,133,11,7,10,209,52,15,13,95,0,2,18,153,743,6,171,32,6,145,397,818,2773,53,72,3691,0,3345,1289,3650,14,82,42,19,21,98,9,0,105,22,9,643,65,422,115,135,98,121,354,4,319,1667,309,17,136,119,63,92,486,19,9044,10996,0,11,0,3,7,1,171,303,3,4,20,26,549,48,121,211,13,402,19,391,14,146,12,91,12,639,173,6,444,7,18,384,66,52,204,33,16,34,141,38,19,39,254,44,21,29,119,4,8,44
1982,44,10,53,135,97,1803,579,371,1,911,86,2415,381,294,11,0,48,6,23,129,110,153,65,624,119,11,93,15,540,783,44,135,78,114,117,101,99,106,507,0,1435,42,466,238,1507,1420,610,18,102,20,1024,0,146,11,8,6,223,40,31,10,152,1,2,21,102,778,12,179,40,5,199,302,816,2171,56,61,3184,2,3055,1360,3405,37,119,54,10,29,71,1,1,148,24,10,428,38,224,59,44,270,184,492,10,326,1659,270,29,147,75,45,81,609,21,10154,10779,0,16,0,4,8,1,96,215,4,10,10,32,565,77,70,221,13,377,17,410,29,208,12,119,6,722,178,7,421,17,24,486,62,63,242,44,26,44,122,39,30,29,216,61,15,41,64,1,5,49
1983,25,11,29,85,67,1663,514,283,0,588,86,2188,340,267,11,0,40,8,13,109,97,138,78,584,110,5,50,11,628,698,54,112,65,76,181,92,70,113,486,0,1435,42,549,299,1110,1228,641,9,108,8,775,5,162,15,3,14,311,60,19,11,262,3,0,17,192,722,5,166,26,9,161,272,860,2424,41,91,3147,0,2301,1509,3944,26,120,51,20,34,51,0,2,108,13,8,394,64,342,62,73,260,128,369,8,374,1731,199,29,222,88,41,86,672,21,9607,11576,0,12,0,2,10,3,110,161,1,11,6,30,726,95,74,224,16,374,8,425,23,151,18,151,12,828,152,12,416,7,15,330,35,35,181,47,24,25,136,20,17,85,182,47,12,38,109,1,5,56
1984,15,11,23,101,27,1844,490,255,0,719,81,2216,322,250,9,0,30,6,14,125,83,73,53,489,97,5,34,6,488,582,68,144,63,48,72,87,76,80,324,0,1307,53,386,294,815,1387,591,38,190,28,714,3,76,8,3,8,230,34,25,6,234,1,0,27,145,737,4,162,31,7,84,379,752,1948,23,93,3046,0,2202,1362,4432,45,165,53,19,23,28,0,1,43,17,7,282,41,123,45,30,316,116,335,8,287,1572,304,40,200,69,37,101,438,22,9388,10921,0,26,1,2,6,3,62,141,2,8,22,23,545,86,45,130,5,286,4,308,16,130,12,100,13,585,162,4,389,12,17,288,28,46,97,27,18,30,88,26,16,40,138,47,13,32,50,0,6,55
1985,29,9,26,85,41,1875,481,327,0,675,37,2306,355,281,8,0,40,7,19,151,95,89,57,648,129,9,54,10,492,684,40,87,61,99,105,67,65,127,497,0,1502,33,440,287,688,1263,538,22,179,34,1005,1,136,11,18,11,147,36,19,17,148,1,1,28,140,826,11,170,18,11,105,423,887,1754,31,57,2866,0,2099,1746,6175,146,186,65,24,40,23,1,0,52,12,5,238,22,229,52,29,297,183,497,8,371,1668,298,46,201,100,33,92,456,25,10064,11986,0,25,1,3,5,1,38,228,2,6,9,29,628,96,35,343,4,270,16,379,29,122,10,85,22,697,149,15,400,12,29,284,49,80,120,19,23,36,94,23,18,112,282,37,16,19,78,0,3,143
1986,23,14,56,90,23,1790,349,267,0,588,57,2753,311,240,12,0,53,7,20,156,79,112,64,520,147,8,43,10,545,651,34,118,72,142,66,95,72,146,483,0,1525,25,550,244,878,1284,702,31,157,36,1091,1,197,18,8,11,131,58,30,7,126,8,2,40,119,723,4,193,24,5,64,258,548,1489,19,62,2058,0,2072,1709,5974,229,208,63,9,14,31,1,1,56,13,8,250,24,119,35,42,188,214,315,4,402,1633,228,41,154,72,45,82,414,20,10150,11945,0,32,7,7,8,0,57,147,0,4,9,42,621,120,68,432,4,345,6,335,34,128,33,96,23,489,127,31,325,12,21,287,33,55,105,41,12,32,82,27,25,52,109,36,12,39,107,0,10,116
1987,22,11,44,94,23,1665,284,219,0,447,22,2627,309,204,11,0,35,24,15,140,91,77,65,448,116,10,29,4,508,615,23,127,75,125,51,100,62,158,480,0,1414,39,559,201,866,1279,597,20,144,27,989,0,138,8,5,11,104,54,37,10,112,13,1,57,169,921,4,181,26,11,71,341,498,1522,14,35,1946,3,1804,1418,4859,214,236,70,30,62,28,0,1,60,15,4,295,17,131,27,38,137,165,275,9,388,1789,187,36,156,87,44,71,362,30,8810,10157,0,21,6,25,12,0,39,147,6,6,16,92,816,152,100,422,17,335,8,298,42,161,19,97,28,432,164,25,284,8,29,276,22,38,95,45,25,49,74,20,21,88,100,32,25,46,50,2,9,84
1988,21,10,36,81,17,1684,271,236,0,498,56,2622,225,205,8,0,48,10,14,192,92,91,67,510,189,3,38,9,525,605,39,121,90,133,49,117,56,314,676,0,1433,29,586,208,1032,1206,668,36,143,33,898,1,232,9,15,25,120,57,39,17,114,5,2,58,152,1052,6,191,22,10,47,248,409,1130,13,40,1232,0,1308,1524,4082,217,213,62,6,11,33,1,1,51,11,8,219,16,74,36,50,101,333,330,18,443,1735,155,45,132,64,37,73,903,30,8023,9408,0,26,19,29,5,2,115,168,5,8,13,83,933,198,72,576,11,449,9,253,26,135,19,76,26,353,128,39,212,22,17,190,19,33,64,34,24,68,75,15,17,84,87,29,22,56,49,5,16,105
