Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.31877816,0.3019217,0.29197848,0.29724306,,0.2909903,,0.30590045,3.1369777925698505,3.312117065455076,3.424909963814048,3.364250134000787,,3.4365407505560723,,3.269037313348498
1980,0.31723776,0.29745466,0.29638967,0.29437298,0.29206914,,0.26751584,0.29943976,3.152209829969432,3.361856950690528,3.373936759560177,3.3970509595629186,3.4238468670173936,,3.7380964317090415,3.339569890354157
1981,0.32753417,0.30346552,0.29203916,0.30084866,0.29183426,0.32141712,0.27802986,0.29413936,3.053116574613636,3.2952673346222623,3.424198363786134,3.323930345962072,3.4266024245703246,3.111221923771872,3.596735988570858,3.399749069853234
1982,0.33314186,0.30943343,0.30514684,0.30034164,0.30383405,0.3315507,0.27431902,0.3168739,3.0017242202944145,3.231712871488336,3.2771107494665754,3.3295416962821127,3.2912703400369927,3.016130074665202,3.645390645718199,3.1558294154802757
1983,0.3200775,0.30061537,0.29092005,0.30117932,0.3037908,0.31051302,0.26808557,0.31350946,3.124243262511919,3.3265098823453365,3.437370520189349,3.3202810912159144,3.29173883664223,3.2204768785905253,3.730152291283858,3.1896963696068457
1984,0.31710693,0.2980887,0.27696955,0.28491956,0.28620118,0.28973198,0.27187008,0.31106412,3.1535103708592853,3.3547061710542194,3.610505171540366,3.5097625454561427,3.494045703786962,3.451465738003858,3.678227528011676,3.2147712400767228
1985,0.31702983,0.29433617,0.29115927,0.28758582,0.29781783,0.30043316,0.25719267,0.29834756,3.1542772742672422,3.3974757507454982,3.4345462964820563,3.477222846243422,3.357757366376907,3.328527396064464,3.888135672565578,3.3517954410215363
1986,0.3156348,0.29799172,0.306192,0.28591853,0.29035696,,0.26585376,0.29669467,3.16821858972749,3.3557979078388587,3.265924535085753,3.4974997482758194,3.444036563344505,,3.761466417175939,3.3704684111299765
1987,0.30475575,0.30025834,0.28006864,0.2765476,0.29080993,,0.26919392,0.29300258,3.281316296081736,3.3304653757747644,3.570553327550262,3.6160138836592632,3.4386721325621066,,3.714794187175877,3.4129392816076023
1988,0.29720196,0.31183723,0.29186094,0.28086725,0.29251456,,0.2767102,0.3030052,3.3647153460791905,3.206801228764199,3.426289268461839,3.5604008810801733,3.418633216371409,,3.6138890283035146,3.300273517686884
1989,0.30402166,0.29906517,0.28732738,0.2806107,0.2954344,0.30658284,0.27360696,0.31320927,3.289239363632425,3.343752771560072,3.4803505448077696,3.5636558513288343,3.384846344742878,3.2617611786593708,3.6548778386371614,3.1927535684418347
1990,0.3016177,0.29560402,0.287881,0.27750564,0.30173975,0.31841072,0.2750078,0.30259943,3.315455163724798,3.382903922591637,3.473657675929945,3.603530413430898,3.314114207365626,3.1405977354554544,3.63626031144601,3.3046988876405026
1991,0.3209348,0.2950191,0.2895517,0.27490824,0.2886903,0.3140427,0.26545593,0.30305028,3.115897661621065,3.3896111583988926,3.453614612901968,3.6375773357371055,3.4639196542855726,3.1842804818285586,3.767103619163908,3.2997824693077176
1992,0.31599224,0.30084628,0.29269502,0.27633914,0.3007259,,0.26457387,0.3107898,3.164634714522576,3.323956687878403,3.4165255520829145,3.618741765214476,3.325287168257226,,3.779662716136048,3.217608879619308
1993,0.3146727,0.29943624,0.28995207,0.28675142,0.28321558,,0.27395934,0.2965762,3.1779050834461637,3.339609111320496,3.4488458787418503,3.4873410650273584,3.5308791685441165,,3.650176719191084,3.3718147091387523
1994,0.31422788,0.30657676,0.299482,0.2845208,0.2891923,0.32323435,0.26467922,0.2973978,3.1824038116273377,3.261825862114051,3.339098978320915,3.514681467369524,3.45790685866387,3.0937306062311767,3.77815828358477,3.362499741958474
1995,0.31521726,0.293865,0.29003567,0.29281873,0.28274906,0.30036792,0.25231272,0.2894914,3.172415149340036,3.4029231660590726,3.4478518353198764,3.4150821455404308,3.5367049894366094,3.3292503230831434,3.9633356602304928,3.454334225645193
1996,0.30783895,0.2969695,0.29564735,0.27852917,0.2904235,0.3285113,0.2606832,0.2817034,3.248451864544186,3.367349136341362,3.3824080955787634,3.590288263672751,3.4432473856325854,3.0440353406193044,3.836073696390234,3.5498327514351384
1997,0.3013334,0.28360182,0.2895265,0.26749924,0.28773686,0.29840362,0.2697239,0.28803062,3.3185833627318018,3.5260704545077197,3.453915363178837,3.73832840247399,3.475397590453789,3.351165772008608,3.70749506763876,3.471853043818
1998,0.31028384,0.30698878,0.29511487,0.2674787,0.29755157,0.3178234,0.2689824,0.2942037,3.222855566562723,3.2574480862423374,3.388511001158102,3.738615386398096,3.3607619418491703,3.146401329884595,3.717715215645536,3.399005534734261
1999,0.29550815,0.298689,0.29869404,0.25392607,0.28054228,0.30524027,0.24422249,0.2810061,3.384001465164819,3.347963848761866,3.347907395244045,3.93815414751398,3.5645250507333293,3.2761076663095805,4.094626960417448,3.5586416375013257
2000,0.29925814,0.28297615,0.3049109,0.2637729,0.29206836,0.3130474,0.26649404,0.28956583,3.3415966260605927,3.5338667169943583,3.2796466307865657,3.7911399598904048,3.4238559505185004,3.194404333229755,3.752429195254425,3.453446130320062
2001,0.28545508,0.29020992,0.29063708,0.2709587,0.2813094,0.3021186,0.2499766,0.293823,3.503178179220639,3.4457816008065043,3.440717248134311,3.690599453467468,3.554804830972022,3.3099584134737268,4.000374352200804,3.4034094920166864
2002,0.3114024,0.2863534,0.29716238,0.27356696,0.28045395,,0.25237164,0.29622877,3.211278933701448,3.492188210639287,3.365163474696661,3.6554121714485417,3.5656477628701557,,3.962410371901329,3.3757693826065505
2003,0.29862446,0.29161835,0.28148147,0.27112532,0.2733535,,0.254787,0.2688993,3.3486875577210538,3.429139523323653,3.552631665320445,3.688331331308445,3.6582668472554247,,3.924847059379479,3.71886438777124
2004,0.24927919,0.23453073,0.22944383,0.21197057,0.23148909,0.24102035,0.20498556,0.24051467,4.011566370728687,4.263833533969655,4.358365121058546,4.717636088987469,4.319857972046293,4.149027221813557,4.878392433805833,4.157750615742869
2005,0.29311696,0.28144535,0.28222275,0.26882336,0.28345773,0.30167642,0.26286003,0.27109042,3.411607470301329,3.553087606508397,3.5433004879499346,3.719914880077692,3.5278629136845443,3.314809928416478,3.804306041675855,3.688806144486458
2006,0.29158384,0.29004306,0.28871742,0.26311246,0.2821622,,0.25976658,0.26925257,3.429545387180816,3.447763975984949,3.4635942776799853,3.800656254357293,3.5440609595141086,,3.8496099271252087,3.7139849979252015
2007,0.27906647,0.25548717,0.27964082,0.24508807,0.25615904,,0.24536727,0.2586398,3.58337563222741,3.914090813809888,3.5760157873831595,4.080165947797068,3.903824789235848,,4.075523133008659,3.866380780484028
2008,0.2836918,0.27333546,0.26540795,0.25542864,0.2678791,,0.25044513,0.27196723,3.524952156801939,3.6585081625746216,3.7677846544645495,3.914987732130733,3.733027343400162,,3.992890618529516,3.676913545099963
2009,0.2689995,0.267349,0.27141994,0.24668506,0.2704182,0.2614074,0.24103378,0.26187614,3.7174792061931337,3.740429110450594,3.6843276556431066,4.053751810507121,3.69797599200946,3.825446335278942,4.148796114717422,3.818599185966254
2010,0.2650964,0.27420747,0.261266,0.24686334,0.26426747,0.2488872,0.22883612,0.25754097,3.77221272829412,3.646873623772345,3.827516884477414,4.050824309317029,3.784044942426397,4.0178844686887984,4.369939516564897,3.882877337764899
2011,0.2642227,0.2709788,0.26625863,0.2403677,0.27251014,0.2492342,0.24334764,0.26864496,3.78468601350148,3.690325475609676,3.755746848863301,4.160292826091795,3.669588206287389,4.012290455764691,4.109347352827641,3.72238513132959
2012,0.26992288,0.27672982,0.2636278,0.23872705,0.2665506,0.26428872,0.24981698,0.26177004,3.704761861649231,3.6136329369882887,3.7932267006531055,4.188884369042278,3.75163289077739,3.7837407017410127,4.002930402231229,3.8201468769158695
2013,0.2736526,0.2692353,0.26884958,0.25154266,0.27329183,0.29357135,0.2363805,0.26319975,3.654268046051418,3.714223030720039,3.719552005604641,3.975468850836059,3.659092237511439,3.406326911402531,4.230467356988587,3.799395755067249
2014,0.2834785,0.2743546,0.27263823,0.24729565,0.27033302,0.2620858,0.25491604,0.2685699,3.5276044054012003,3.644917836154178,3.667864167251753,4.043742818182749,3.699141129887086,3.8155444420943945,3.922860216263094,3.7234256317613417
2015,0.2690592,0.263801,0.26517868,0.25249845,0.27379918,0.26191136,0.2482771,0.26271433,3.716654026543041,3.7907360772679306,3.771042221103359,3.960420384111216,3.652311874726249,3.818085595065341,4.027757728342198,3.806415941501242
2016,0.27793518,0.27191776,0.27240682,0.23856965,0.26856342,0.2548515,0.23031707,0.25891405,3.597961260168796,3.6775825110921194,3.670980091146437,4.191648066993551,3.723515293192815,3.9238538451670526,4.3418405561945965,3.862285521830024
2017,0.2970273,0.28172934,0.28134838,0.24400227,0.28101736,0.25416777,0.25460398,0.27162296,3.366694018069585,3.5495060544141985,3.554312304929249,4.098322566224817,3.5584989805266054,3.9344092218344353,3.927668343030837,3.681573956288208
2018,0.27947798,0.27060786,0.27947763,0.246969,0.27452523,0.2519031,0.23828255,0.27732298,3.5780993791138043,3.6953841772325458,3.5781039577560114,4.0490911895992046,3.642652508191357,3.969780649786778,4.196698478775796,3.605903874249564
2019,0.277563,0.28260097,0.28412887,0.23828916,0.26098606,0.24944346,,0.27411053,3.602785600080915,3.5385582833246243,3.519529655751552,4.196581957143612,3.83162227272774,4.008924563140197,,3.648163443968077
2020,0.28759062,0.28005743,0.287641,0.2282275,0.27312338,0.26419464,,,3.477164832112946,3.570696192725298,3.476555980699633,4.381593002077293,3.661348900649244,3.7850881809057992,,
2021,0.29341274,0.27243173,0.27971953,0.2301513,0.2779333,0.25595754,,0.27313074,3.4081682443741164,3.670644368432821,3.5750095622869797,4.344967935652726,3.5979855657806104,3.906897936894758,,3.6612502232740303
