Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.30661482,3.2614209985997666
1979,欺凌,0.2909903,3.4365407505560723
1979,精神病,NA,NA
1979,创伤,0.2963559,3.374321177258289
1979,分裂,0.2849506,3.5093800502773873
1979,阴谋,0.31171626,3.2080456910690054
1979,主权,0.31342876,3.19051768368774
1979,恐怖主义,NA,NA
1980,偏见,0.30666894,3.2608454221347856
1980,欺凌,NA,NA
1980,精神病,0.2683243,3.726833734863751
1980,创伤,0.29642782,3.373502571315021
1980,分裂,0.29138798,3.431850608313616
1980,阴谋,0.2981664,3.3538320190980255
1980,主权,0.32580477,3.069322772720645
1980,恐怖主义,0.29206914,3.4238468670173936
1981,偏见,0.29585075,3.3800826504890047
1981,欺凌,0.32141712,3.111221923771872
1981,精神病,0.27802986,3.596735988570858
1981,创伤,0.30269444,3.303661607956884
1981,分裂,0.29323578,3.410225055288149
1981,阴谋,0.30441403,3.284999667137895
1981,主权,0.31509942,3.1736015440109515
1981,恐怖主义,0.2898656,3.4498745460235756
1982,偏见,0.31882933,3.136474322585325
1982,欺凌,0.3315507,3.016130074665202
1982,精神病,0.27431902,3.645390645718199
1982,创伤,0.3009019,3.323342371366497
1982,分裂,0.29565594,3.3823099022465146
1982,阴谋,0.3228514,3.097400327422588
1982,主权,0.3338887,2.995009928195307
1982,恐怖主义,0.30383405,3.2912703400369927
1983,偏见,0.30704206,3.25688276246571
1983,欺凌,0.31051302,3.2204768785905253
1983,精神病,0.26808557,3.730152291283858
1983,创伤,0.30203888,3.3108320556327873
1983,分裂,0.30431625,3.2860551872711024
1983,阴谋,0.3065644,3.2619574564719866
1983,主权,0.31631023,3.1614532661365926
1983,恐怖主义,0.3037908,3.29173883664223
1984,偏见,0.29706064,3.3663160642559404
1984,欺凌,0.28973198,3.451465738003858
1984,精神病,0.27187008,3.678227528011676
1984,创伤,0.28508362,3.507742724381467
1984,分裂,0.28479576,3.511288216187255
1984,阴谋,0.30769622,3.249958642353407
1984,主权,0.29833195,3.3519708933515773
1984,恐怖主义,0.2869321,3.4851449608032703
1985,偏见,0.30175975,3.313894583875741
1985,欺凌,0.30043316,3.328527396064464
1985,精神病,0.25719267,3.888135672565578
1985,创伤,0.28710574,3.483037305616655
1985,分裂,0.29165396,3.4287207921536704
1985,阴谋,0.302211,3.3089465449398148
1985,主权,0.31365925,3.1881731453886673
1985,恐怖主义,0.2939705,3.4017019239532633
1986,偏见,0.30075565,3.324958319646323
1986,欺凌,NA,NA
1986,精神病,0.26585376,3.761466417175939
1986,创伤,0.27734053,3.6056756476786385
1986,分裂,0.2814648,3.552842316672404
1986,阴谋,0.29976606,3.3359346541425743
1986,主权,0.32158297,3.1096173738945634
1986,恐怖主义,0.2998415,3.3350954491551597
1987,偏见,0.3011028,3.3211250188427917
1987,欺凌,NA,NA
1987,精神病,0.26919392,3.7147941871758774
1987,创伤,0.2839765,3.5214182042194766
1987,分裂,0.29746565,3.3617326656441535
1987,阴谋,0.30309922,3.2992497189371193
1987,主权,0.30763203,3.2506368178463614
1987,恐怖主义,0.282846,3.535492765208856
1988,偏见,0.30977237,3.2281768472449537
1988,欺凌,NA,NA
1988,精神病,0.2767102,3.6138890283035146
1988,创伤,0.28461832,3.513477300908483
1988,分裂,0.28465894,3.5129759309700845
1988,阴谋,0.29780045,3.357953270069377
1988,主权,0.3025799,3.3049120856835246
1988,恐怖主义,0.29084417,3.438267276599272
1989,偏见,0.29994497,3.3339449229533202
1989,欺凌,0.30658284,3.2617611786593708
1989,精神病,0.27660358,3.6152822090410845
1989,创伤,0.28418672,3.5188132542426773
1989,分裂,0.29856,3.3494105766104667
1989,阴谋,0.29504117,3.3893574495762047
1989,主权,0.31386524,3.1860807078146944
1989,恐怖主义,0.2974979,3.3613682838739845
1990,偏见,0.29945675,3.3393804461161367
1990,欺凌,0.31841072,3.1405977354554544
1990,精神病,0.2750078,3.63626031144601
1990,创伤,0.27892545,3.5851873854400784
1990,分裂,0.29254916,3.418228886361805
1990,阴谋,0.29528582,3.3865493329328547
1990,主权,0.32046753,3.1204409219066567
1990,恐怖主义,0.30173975,3.314114207365626
1991,偏见,0.29552358,3.3838246912150973
1991,欺凌,0.3140427,3.1842804818285586
1991,精神病,0.26642972,3.7533349933075297
1991,创伤,0.27908343,3.583157901031621
1991,分裂,0.29081362,3.438628435945328
1991,阴谋,0.31127337,3.212610228002008
1991,主权,0.3113987,3.211317043180145
1991,恐怖主义,0.2886903,3.4639196542855726
1992,偏见,0.29749736,3.3613743450318085
1992,欺凌,NA,NA
1992,精神病,0.26457387,3.779662716136048
1992,创伤,0.27021384,3.7007726589721353
1992,分裂,0.29737744,3.362729899419051
1992,阴谋,0.31121323,3.2132310559561748
1992,主权,0.31291145,3.195792283223897
1992,恐怖主义,0.29646084,3.3731268173399043
1993,偏见,0.30203694,3.310853290060128
1993,欺凌,NA,NA
1993,精神病,0.27395934,3.650176719191084
1993,创伤,0.28757393,3.4773666287367684
1993,分裂,0.30551943,3.273114230450066
1993,阴谋,0.3049217,3.279530593539113
1993,主权,0.32278335,3.0980532207557476
