Year,Target Concept,Sentence With Concepts,Context Words
2004,偏见,1,"['畜生', '日本', '人', '认为', '中国', '人', '都', '贪得无厌', '的', '印象']"
2004,偏见,2,"['香港', '文汇报', '的', '社评', '指出', '任何', '不怀', '的', '人', '都', '不会', '否认', '修改', '行政长官', '和', '立法会']"
2004,偏见,3,"['开端', '但', '也', '暴露', '了', '他们', '对', '非洲', '的']"
2004,偏见,4,"['进行', '全面', '准确', '的', '调查', '核对', '严禁', '带', '着', '采写', '报道', '严禁', '发表', '匿名', '报道', '新闻来源', '必须', '明确']"
2004,偏见,5,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,6,"['指出', '内陆地区', '居住', '着', '独眼', '人', '其', '无知', '与', '不言自明']"
2004,偏见,7,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,8,"['邓小平', '扫除', '教条', '澄清', '开启', '新知', '第一次', '比较', '系统地', '初步', '回答', '了', '中国']"
2004,偏见,9,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,10,"['倾销', '软木', '的', '结论', '不是', '一个', '客观', '和', '不带', '的', '调查', '机构', '所', '能', '得出', '的']"
2004,偏见,11,"['百般', '指责', '中国', '人权', '状况', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,12,"['这是', '任何', '不带', '政治', '的', '人', '都', '不能', '否认', '的', '客观事实']"
2004,偏见,13,"['长期', '在', '单一', '学科', '中', '工作', '容易', '形成', '职业', '有些', '综合性', '医院', '在', '住院医师', '培养', '中', '没有', '肿瘤学']"
2004,偏见,14,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,15,"['对', '中医药', '存在', '不少', '认识', '上', '的', '误区', '和']"
2004,偏见,16,"['倾销', '软木', '的', '结论', '不是', '一个', '客观', '和', '不带', '的', '调查', '机构', '所', '能', '得出', '的']"
2004,偏见,17,"['进行', '全面', '准确', '的', '调查', '核对', '严禁', '带', '着', '采写', '报道', '严禁', '发表', '匿名', '报道', '新闻来源', '必须', '明确']"
2004,偏见,18,"['影响', '拉近', '世界', '与', '亚洲', '国家', '的', '距离', '消除', '隔膜', '和', '误解']"
2004,偏见,19,"['对', '中医药', '存在', '不少', '认识', '上', '的', '误区', '和']"
2004,偏见,20,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,21,"['最近', '人民日报', '的', '一条', '新闻', '纠正', '了', '这种']"
2004,偏见,22,"['当', '他们', '由于', '不', '了解', '中国', '而', '产生', '某种', '或', '误解', '时', '我们', '应该', '耐心', '地', '做', '解释']"
2004,偏见,23,"['看待', '他们', '用', '服务', '和', '引导', '取代', '冷漠', '与', '多一些', '宽厚', '多一些', '温情', '让', '这些', '城市', '建设', '的']"
2004,偏见,24,"['这', '其中', '排除', '政治', '和', '种族歧视', '的', '因素', '文化', '传播', '中', '有关', '中国']"
