Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.31952566,0.30618927,0.28394735,0.28984618,0.30623442,0.2909903,0.27451903,0.2952141,3.1296391121318634,3.2659537802534104,3.521779671299198,3.4501058235440727,3.265472255326785,3.4365407505560723,3.6427347625152935,3.387372231920863
1980,0.3313743,0.31203866,0.2981133,0.2991006,0.29118198,0.30704412,0.26772955,0.30405414,3.0177356463792493,3.2047311055673773,3.3544294914076964,3.3433566314416754,3.434278435191188,3.25686095021194,3.735112533370854,3.2888879479304998
1981,0.31432965,0.29485133,0.29992127,0.30082056,0.28853995,0.32141712,0.27594927,0.30549547,3.181373400006618,3.3915396961399877,3.3342082942157982,3.324240877848253,3.4657246373967467,3.111221923771872,3.6238544921382463,3.273370952128566
1982,0.3247127,0.31545696,0.30303344,0.2962635,0.30383405,0.3315507,0.2737096,0.32308105,3.079645543364034,3.1700045885778327,3.2999658245407333,3.3753737694967474,3.2912703400369927,3.016130074665202,3.653507284817245,3.095198592797709
1983,0.31878006,0.30999452,0.30038187,0.29920596,0.3018891,0.31051302,0.26212838,0.3148492,3.1369590231706046,3.22586348949065,3.3290957376038817,3.342179426727091,3.3124747710128526,3.2204768785905253,3.814924537571134,3.1761237023391167
1984,0.30230084,0.29269123,0.28329366,0.28597376,0.2874401,0.28973198,0.27050933,0.29444128,3.307963014464487,3.416569732396248,3.5299059790918306,3.496824354525111,3.478985813107854,3.451465738003858,3.6967301314881578,3.396262883597964
1985,0.3118969,0.29260743,0.28322265,0.29041806,0.29619703,0.30043316,0.2563224,0.31251627,3.2061877844040856,3.417548253888972,3.530791113683297,3.4433120471372822,3.376131118655787,3.328527396064464,3.901336545765237,3.1998333826993037
1986,0.31560022,0.3013168,0.29240596,0.2725827,0.29671422,0.29486048,0.2648446,0.31072938,3.1685656348485227,3.3187661873570424,3.419902897778488,3.668611265817498,3.370246332968297,3.3914344590532566,3.7757991427648703,3.218234419184934
1987,0.31531233,0.30222803,0.27460694,0.28747386,0.29646623,0.3030374,0.2670043,0.30510527,3.171458638583321,3.308759906479481,3.64156852190296,3.478577179276597,3.3730654431009364,3.2999226612096795,3.745257879684945,3.277557294976554
1988,0.3101241,0.3062574,0.27843276,0.2723376,0.28996813,0.3163883,0.27414662,0.30144465,3.224515612954709,3.265227256560318,3.591531441872025,3.671913289071192,3.448654821990693,3.160673044950985,3.647683173758761,3.317358596370231
1989,0.30978292,0.29996726,0.29719067,0.27798894,0.29167497,0.30658284,0.27926865,0.31041503,3.2280669078818884,3.333697160055244,3.364843226036255,3.5972654102093737,3.428473806241512,3.2617611786593708,3.580781416459665,3.2214935002592218
1990,0.31212318,0.29356214,0.29298982,0.27800226,0.30173975,0.31841072,0.2743941,0.30549115,3.2038633010462214,3.406433766405954,3.4130878648762546,3.597093032230842,3.314114207365626,3.1405977354554544,3.644393295723383,3.273417255722651
1991,0.3311533,0.29833055,0.2850028,0.28043717,0.28782505,0.3140427,0.2629197,0.30636814,3.0197494326005807,3.351986631385715,3.5087374845852923,3.5658610975025264,3.474332783242902,3.1842804818285586,3.80344273219558,3.26404694781882
1992,0.33305532,0.2946756,0.29126552,0.27339634,0.30135268,0.28904068,0.26147938,0.31013018,3.002504232032229,3.393562407814499,3.433293472825669,3.657693402381754,3.31837102260961,3.45972056161531,3.82439337517917,3.224452400780224
1993,0.3140901,0.30148435,0.29632974,0.2871378,0.28321558,0.3339202,0.2703901,0.30186346,3.1837997782546257,3.31692179701815,3.37461913577714,3.482648323059061,3.5308791685441165,2.994727387729737,3.698360349290725,3.312756019756227
1994,0.32371104,0.30105892,0.30377415,0.29176864,0.28692672,0.32323435,0.26291043,0.29882732,3.0891748619491546,3.321608958982904,3.2919193612773667,3.427373137295098,3.485210481505221,3.0937306062311767,3.803576817002407,3.346414239739758
1995,0.32076874,0.2921346,0.30162418,0.28512812,0.28948444,0.29971877,0.25154027,0.2853797,3.117510728441405,3.423079485240927,3.315384077271148,3.5071953334437094,3.454417085688908,3.33646107202294,3.975506531706075,3.504103384443669
1996,0.2985645,0.29438677,0.28952065,0.2705551,0.28510115,0.3285113,0.2606832,0.29431924,3.3493600922005453,3.3968917332398187,3.45398504802155,3.6961046660269754,3.507527120683868,3.0440353406193044,3.836073696390234,3.397671155961872
1997,0.29679245,0.28616053,0.28657264,0.26511875,0.28215593,0.29677984,0.26900196,0.28390682,3.369357974563352,3.494542048420561,3.4895167132532747,3.771894699012771,3.5441395701669127,3.3695010955206217,3.7174450223172335,3.522282448270751
