Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.30143037,3.317515701739859
1979,欺凌,0.2909903,3.4365407505560723
1979,精神病,0.27451903,3.6427347625152935
1979,创伤,0.29450187,3.3955641675343355
1979,分裂,0.29107395,3.4355530832396743
1979,阴谋,0.30155498,3.3161448933271376
1979,主权,0.3193017,3.1318343022070123
1979,恐怖主义,0.30623442,3.2654722553267854
1980,偏见,0.3059784,3.2682046855092333
1980,欺凌,0.30704412,3.25686095021194
1980,精神病,0.26959416,3.7092791252431025
1980,创伤,0.2986735,3.3481375638357105
1980,分裂,0.29383436,3.4032779735573353
1980,阴谋,0.29895988,3.344930418188675
1980,主权,0.31065306,3.2190251009541924
1980,恐怖主义,0.29118198,3.434278435191188
1981,偏见,0.30144826,3.3173189123992515
1981,欺凌,0.32141712,3.111221923771872
1981,精神病,0.27594927,3.6238544921382463
1981,创伤,0.30071822,3.325372191806711
1981,分裂,0.30017948,3.331340286757254
1981,阴谋,0.29815373,3.353974494568828
1981,主权,0.3199371,3.1256142813974224
1981,恐怖主义,0.29196453,3.4250735757658903
1982,偏见,0.31619197,3.16263564783807
1982,欺凌,0.3315507,3.016130074665202
1982,精神病,0.2737096,3.653507284817245
1982,创伤,0.30595562,3.268447902707992
1982,分裂,0.2885735,3.4653216178590758
1982,阴谋,0.3168097,3.1564688717325926
1982,主权,0.3274751,3.053667279412601
1982,恐怖主义,0.30383405,3.2912703400369927
1983,偏见,0.3096465,3.2294892440932697
1983,欺凌,0.31051302,3.2204768785905253
1983,精神病,0.26212838,3.814924537571134
1983,创伤,0.30917212,3.2344442575472847
1983,分裂,0.29323348,3.41025174293696
1983,阴谋,0.31656462,3.1589127093527054
1983,主权,0.30322835,3.2978446935055783
1983,恐怖主义,0.3018891,3.3124747710128526
1984,偏见,0.29710752,3.365784910716668
1984,欺凌,0.28973198,3.451465738003858
1984,精神病,0.27050933,3.6967301314881578
1984,创伤,0.28594288,3.4972019305340027
1984,分裂,0.28393817,3.5218935229229764
1984,阴谋,0.3081111,3.2455825041425284
1984,主权,0.3096996,3.228935446564857
1984,恐怖主义,0.28669113,3.4880744401262485
1985,偏见,0.30096084,3.3226914305688826
1985,欺凌,0.30043316,3.328527396064464
1985,精神病,0.2563224,3.901336545765237
1985,创伤,0.2822296,3.5432144315122174
1985,分裂,0.28449085,3.515051494726181
1985,阴谋,0.30574718,3.2706761061539757
1985,主权,0.320831,3.1169057774691318
1985,恐怖主义,0.28334552,3.5292599588240776
1986,偏见,0.30564237,3.2717977280049175
1986,欺凌,0.29486048,3.3914344590532566
1986,精神病,0.2648446,3.7757991427648703
1986,创伤,0.28514895,3.5069391120056195
1986,分裂,0.285279,3.5053403152300238
1986,阴谋,0.30548483,3.273484957128377
1986,主权,0.32171112,3.1083786929933335
1986,恐怖主义,0.2892321,3.457430840681507
