Year,prejudice_care,prejudice_fair,prejudice_loya,prejudice_auth,prejudice_sanc,prejudice_general,bullying_care,bullying_fair,bullying_loya,bullying_auth,bullying_sanc,bullying_general,mental disorder_care,mental disorder_fair,mental disorder_loya,mental disorder_auth,mental disorder_sanc,mental disorder_general,trauma_care,trauma_fair,trauma_loya,trauma_auth,trauma_sanc,trauma_general,secession_care,secession_fair,secession_loya,secession_auth,secession_sanc,secession_general,conspiracy_care,conspiracy_fair,conspiracy_loya,conspiracy_auth,conspiracy_sanc,conspiracy_general,sovereignty_care,sovereignty_fair,sovereignty_loya,sovereignty_auth,sovereignty_sanc,sovereignty_general,terrorism_care,terrorism_fair,terrorism_loya,terrorism_auth,terrorism_sanc,terrorism_general
1979,0.65343964,0.7549163,0.6696625,0.63765186,0.7212758,0.7574552,0.79670125,0.7470236,0.7510983,0.6667365,0.7885556,0.7346765,0.7892323732376099,0.8075050711631775,0.6922488808631897,0.7505813837051392,0.7914364337921143,0.74283766746521,0.64038676,0.5452069,0.5533994,0.4645244,0.61540043,0.62023354,0.5597817,0.5535254,0.594771,0.5403979,0.5158261,0.5107392,0.5869961,0.5703393,0.58984786,0.5713693,0.5475342,0.5142481,0.56472075,0.59582883,0.6060759,0.5614455,0.53413796,0.5347536,0.80839443,0.78883356,0.809264,0.79416084,0.7858263,0.7520978
1980,0.6397575,0.7129965,0.64684665,0.6020292,0.689554,0.74500704,0.8414984,0.78620046,0.81341934,0.7452735,0.83758754,0.77976006,0.5619350671768188,0.463758260011673,0.48013192415237427,0.5243879556655884,0.5166350603103638,0.463165283203125,0.6454854,0.5487722,0.57207704,0.46773106,0.6331742,0.6300437,0.5654037,0.5670754,0.60677356,0.5600321,0.53189933,0.50565904,0.57755315,0.5691491,0.5831926,0.5782068,0.50973964,0.46259767,0.5696986,0.61370194,0.6071563,0.57656944,0.53061944,0.5310068,0.6890503,0.70185626,0.7276247,0.7244935,0.6335906,0.62378174
1981,0.6673252,0.733521,0.6794125,0.6261093,0.731033,0.76330537,0.75867826,0.68917227,0.721591,0.63273644,0.77839303,0.68953204,0.6620519161224365,0.5675650238990784,0.561280369758606,0.55192631483078,0.6502532958984375,0.6162813901901245,0.66148794,0.5758893,0.5602493,0.47844496,0.66391027,0.6444119,0.55894935,0.5660018,0.6111307,0.55729055,0.5217327,0.5234911,0.59033096,0.60051185,0.60916334,0.62307626,0.5168979,0.5025598,0.5612712,0.6180675,0.6156772,0.5841914,0.53134835,0.53881395,0.71128035,0.69791675,0.70981514,0.74276626,0.590487,0.5826586
1982,0.61485046,0.6859125,0.6181761,0.5740208,0.67167425,0.705574,0.7516719,0.68314993,0.7225256,0.63379455,0.76186544,0.68510103,0.6591697335243225,0.5830510854721069,0.552443265914917,0.5958743095397949,0.5950549244880676,0.5112411975860596,0.7210483,0.6210878,0.6227962,0.5272727,0.7016449,0.6834761,0.5848499,0.5920381,0.6385449,0.58495826,0.5482271,0.5356816,0.58302397,0.5982691,0.62079,0.6198179,0.53335357,0.4971637,0.54431003,0.5981879,0.58170676,0.57113755,0.50473416,0.5111846,0.7644321,0.76480937,0.7317554,0.7362256,0.69364536,0.6566746
1983,0.5479474,0.6215223,0.53558,0.49596784,0.6029536,0.65386856,0.8060651,0.7475091,0.76465356,0.67788136,0.7963621,0.7447859,0.6953808069229126,0.6716432571411133,0.5720903873443604,0.5898722410202026,0.6634073257446289,0.6036374568939209,0.7015159,0.6194797,0.61277664,0.52925044,0.6873981,0.67808753,0.5616225,0.5615696,0.6049632,0.5758145,0.5266832,0.50290096,0.6109117,0.5998396,0.6261784,0.61346495,0.55380714,0.53303194,0.52464616,0.5870706,0.58213514,0.5509285,0.48587054,0.4804729,0.7733625,0.7767857,0.7575445,0.77626216,0.715455,0.6806896
1984,0.5713061,0.6406318,0.57812077,0.52742654,0.5895616,0.6633689,0.7752613,0.6840495,0.71035707,0.63663447,0.76476425,0.6813171,0.6563867330551147,0.6094290018081665,0.5443519353866577,0.5803781747817993,0.6179192066192627,0.5423580408096313,0.7275935,0.6348912,0.65302896,0.5704117,0.7177866,0.6843188,0.5791809,0.5782541,0.62566674,0.5534524,0.5513418,0.54535335,0.6430675,0.6160879,0.63697165,0.64872825,0.5526741,0.5405236,0.5479367,0.59244406,0.60372746,0.5734927,0.50376683,0.5225444,0.7215151,0.709729,0.6772164,0.7084971,0.6268764,0.60084885
1985,0.5931143,0.6698426,0.59472764,0.56660736,0.6468633,0.71269655,0.77125394,0.69131285,0.727027,0.63265145,0.7755357,0.69663,0.57328200340271,0.4822603464126587,0.4853113293647766,0.5225017070770264,0.5019211769104004,0.43239066004753113,0.74470466,0.60917825,0.63790655,0.55354846,0.7218902,0.64643395,0.57429034,0.5502422,0.60527295,0.5444341,0.53066444,0.5068783,0.6440295,0.59955,0.6467596,0.64531195,0.5635854,0.52121574,0.5513413,0.5825761,0.5940921,0.57760805,0.50687844,0.499584,0.6517712,0.6775475,0.6417241,0.66900754,0.60286796,0.5729907
1986,0.6292027,0.70322305,0.62495875,0.5617586,0.68239117,0.7401357,0.82931286,0.7726781,0.78303206,0.7207013,0.7802495,0.7200141,0.6379587650299072,0.5150445103645325,0.5297744274139404,0.5383250713348389,0.5927168130874634,0.542347252368927,0.62822497,0.5114939,0.51956147,0.48741794,0.61583483,0.56664336,0.5713572,0.5158485,0.58740145,0.5424291,0.5204988,0.50082886,0.64019537,0.5934023,0.6294701,0.62872577,0.55608153,0.5186837,0.56983125,0.5973005,0.6172087,0.5935894,0.52439255,0.51949775,0.61382306,0.598066,0.6004713,0.61386704,0.5495001,0.5155754
1987,0.6132584,0.69525564,0.6287246,0.56408525,0.6785524,0.73584455,0.79738724,0.80509466,0.78733385,0.7227687,0.81749594,0.8006463,0.6108874082565308,0.4812542796134949,0.5045307874679565,0.5087701082229614,0.5484871864318848,0.497398316860199,0.6559892,0.50621444,0.53847086,0.4668301,0.59951735,0.5730321,0.5514195,0.54050744,0.5915717,0.5263249,0.5131644,0.4931896,0.6525428,0.62111235,0.670141,0.6547933,0.56562936,0.51766,0.5723195,0.62523144,0.63174146,0.6078814,0.52313834,0.5199176,0.6527267,0.67743754,0.6611681,0.67867947,0.5728899,0.5605024
1988,0.643027,0.70447683,0.65974116,0.59676284,0.6967181,0.7565917,0.7981199,0.72821736,0.76488566,0.69792986,0.8289507,0.7585012,0.6509392261505127,0.535841703414917,0.518425703048706,0.539546549320221,0.5906994938850403,0.5210384130477905,0.6685246,0.5391751,0.5480884,0.47466373,0.64066625,0.59507275,0.5503688,0.5381347,0.6002257,0.5284328,0.5214962,0.534922,0.6327788,0.59500927,0.6386249,0.6201838,0.57910264,0.54575574,0.5585816,0.5938717,0.61099935,0.5764984,0.5324181,0.52494824,0.6442832,0.65265644,0.63567376,0.66241884,0.5856533,0.55269545
