Year,prejudice_care,prejudice_fair,prejudice_loya,prejudice_auth,prejudice_sanc,bullying_care,bullying_fair,bullying_loya,bullying_auth,bullying_sanc,mental disorder_care,mental disorder_fair,mental disorder_loya,mental disorder_auth,mental disorder_sanc,trauma_care,trauma_fair,trauma_loya,trauma_auth,trauma_sanc,secession_care,secession_fair,secession_loya,secession_auth,secession_sanc,conspiracy_care,conspiracy_fair,conspiracy_loya,conspiracy_auth,conspiracy_sanc,sovereignty_care,sovereignty_fair,sovereignty_loya,sovereignty_auth,sovereignty_sanc,terrorism_care,terrorism_fair,terrorism_loya,terrorism_auth,terrorism_sanc
1979,0.6646494,0.7227687,0.603348,0.6888199,0.6789827,0.7875405,0.6981953,0.69958925,0.7129649,0.7779889,0.6759079098701477,0.6882017850875854,0.5030618906021118,0.67618328332901,0.6493773460388184,0.6148566,0.45665845,0.4960261,0.42849296,0.59149057,0.5056129,0.4792147,0.6035625,0.5681732,0.54815483,0.51800823,0.4597203,0.55269647,0.6495507,0.6102835,0.565216,0.641338,0.5206716,0.62703097,0.58859944,0.71853197,0.69357216,0.7024949,0.7669774,0.76157403
1980,0.64470464,0.65481234,0.616809,0.62450266,0.6466524,0.79298174,0.6888062,0.8014909,0.76219034,0.79782987,0.5157093405723572,0.377585232257843,0.36766743659973145,0.36579036712646484,0.36567145586013794,0.63561773,0.43080035,0.53228235,0.43822667,0.63950807,0.50371206,0.50585073,0.6658273,0.60386324,0.5517618,0.4957835,0.4703507,0.61991453,0.6193009,0.5516635,0.56363404,0.6171123,0.56872165,0.67153,0.5521611,0.6147778,0.67383623,0.6811378,0.74897426,0.60734594
1981,0.6431309,0.70083463,0.5827517,0.6523361,0.7094731,0.7728882,0.64587736,0.7010853,0.67627835,0.8132259,0.5450006127357483,0.4246785044670105,0.3992081582546234,0.477469801902771,0.5870457887649536,0.62515754,0.4919552,0.47771624,0.46242064,0.67512095,0.5147543,0.4943971,0.65077347,0.5617081,0.5758513,0.5120401,0.48317578,0.58858037,0.6523016,0.5649632,0.5704281,0.6653867,0.55059314,0.672336,0.60221463,0.6231731,0.6097007,0.60400003,0.73400944,0.6225443
1982,0.5990427,0.62573284,0.5572673,0.57989895,0.6020902,0.7710532,0.65342474,0.7203026,0.6806563,0.73861355,0.5511382818222046,0.4837076961994171,0.39700227975845337,0.5319308638572693,0.49968886375427246,0.6952214,0.5537578,0.5515472,0.53148127,0.70427513,0.5256504,0.5553727,0.64542437,0.60954845,0.54068017,0.50241697,0.5150394,0.6046294,0.5892035,0.54857147,0.5588795,0.6360489,0.4709822,0.6029227,0.5191494,0.7180783,0.69715315,0.63297975,0.7500435,0.66524506
1983,0.58808196,0.59390926,0.44031695,0.45664996,0.5440362,0.8032454,0.6863491,0.7043147,0.7095296,0.8114806,0.6187015175819397,0.5529866218566895,0.42060738801956177,0.5487334132194519,0.5579378604888916,0.6636126,0.500966,0.53556883,0.4937731,0.7106463,0.4878381,0.511726,0.6137651,0.6103642,0.5657869,0.51241523,0.46941724,0.6216495,0.63904923,0.60164887,0.54083204,0.59964377,0.5351691,0.6018162,0.54423,0.6996604,0.7048289,0.66278505,0.77935284,0.7143808
1984,0.57111406,0.6105242,0.5236243,0.5364706,0.5313716,0.76746464,0.6324241,0.6265243,0.6427338,0.7589928,0.5696378946304321,0.5116649866104126,0.3631693720817566,0.5249955654144287,0.5646191835403442,0.67577493,0.5803659,0.54744697,0.5710299,0.7027385,0.5328901,0.5384858,0.67440563,0.59708697,0.58775616,0.5753118,0.54547316,0.6605668,0.65851474,0.6092025,0.5603664,0.634642,0.5918136,0.6027619,0.5608882,0.68663967,0.65742886,0.58324546,0.7348821,0.6635764
1985,0.62001264,0.63145655,0.5229572,0.5717442,0.56844527,0.7702808,0.6438334,0.684817,0.66565347,0.7756492,0.4714689254760742,0.397572785615921,0.324103444814682,0.40617334842681885,0.3425823450088501,0.7126374,0.5495437,0.5501938,0.53040314,0.7010131,0.49847567,0.53156656,0.6208105,0.56640756,0.544917,0.565446,0.54286814,0.64933383,0.63390946,0.6163814,0.56236565,0.6560156,0.5346873,0.6072932,0.52700144,0.6210302,0.6772281,0.5515431,0.66975313,0.60329044
1986,0.66031945,0.6764234,0.5287328,0.5930892,0.62830055,0.8323803,0.69900846,0.7136308,0.7611367,0.7734595,0.5249012112617493,0.41051506996154785,0.4083370566368103,0.4372606873512268,0.5085965394973755,0.57304233,0.43888348,0.43193576,0.4836083,0.6453253,0.4978178,0.47145557,0.6026426,0.55730945,0.54505974,0.5778167,0.50436497,0.6089914,0.62799525,0.60701483,0.5929559,0.62805307,0.536832,0.62750787,0.572527,0.5713832,0.556571,0.507568,0.6004232,0.5614247
1987,0.6559942,0.6871227,0.52339566,0.58504146,0.6667712,0.81253767,0.74091816,0.7087758,0.7743267,0.8088676,0.4691941440105438,0.36445513367652893,0.343475878238678,0.42664846777915955,0.4358755052089691,0.5748101,0.35416746,0.43077004,0.442214,0.5968772,0.5230185,0.49251768,0.62864006,0.53814,0.5366467,0.57794756,0.52954364,0.67059696,0.6947416,0.59500384,0.6146027,0.6397481,0.58442545,0.6730801,0.55390036,0.6314183,0.638811,0.5614067,0.69320965,0.59397775
1988,0.6428422,0.66890997,0.56885165,0.62126637,0.67599535,0.76499355,0.64712554,0.7082938,0.70668054,0.8290494,0.5386214852333069,0.4409028887748718,0.36275431513786316,0.4283084571361542,0.4709472358226776,0.64249563,0.46708864,0.4732285,0.49347186,0.6432581,0.5037492,0.49745095,0.63884866,0.60262537,0.5550034,0.5555459,0.5087153,0.6268347,0.6664027,0.628402,0.60428655,0.61774915,0.5608531,0.6416514,0.5821835,0.60743415,0.6305668,0.51722395,0.7006282,0.6303265
1989,0.6757878,0.70564276,0.5491584,0.6517792,0.66192365,0.75804466,0.6326048,0.65836024,0.66304195,0.7828029,0.5206602811813354,0.4576740264892578,0.2972748279571533,0.3792543113231659,0.43840038776397705,0.5860608,0.46975714,0.46144253,0.4569349,0.5752219,0.5173409,0.50600946,0.60079825,0.58722115,0.52333915,0.5696629,0.49969926,0.5918727,0.6674684,0.5589764,0.5681361,0.6255252,0.55838203,0.601128,0.5185141,0.65772384,0.68773186,0.5727229,0.700353,0.5710074
1990,0.6916821,0.6926254,0.63218784,0.64050484,0.71289873,0.711635,0.596151,0.67501485,0.63516015,0.73461473,0.5275925397872925,0.4876396656036377,0.32311883568763733,0.4445400536060333,0.45299237966537476,0.6540261,0.50051564,0.5084241,0.47380292,0.65406394,0.47139877,0.50895345,0.61706877,0.5950976,0.53033984,0.5892311,0.53305495,0.6320311,0.69417036,0.5910759,0.55552197,0.632259,0.57666856,0.6230771,0.5468079,0.7072694,0.7419363,0.6310216,0.7711944,0.63947165
1991,0.68935484,0.657857,0.6102593,0.6216513,0.6862682,0.755267,0.63198435,0.69427043,0.6610352,0.7487644,0.5237597823143005,0.38390886783599854,0.35524383187294006,0.4374889135360718,0.500159502029419,0.59341043,0.42240086,0.4853267,0.4993779,0.55326104,0.56284964,0.55741626,0.6376556,0.6070639,0.53826505,0.5901634,0.5525861,0.62879467,0.7055838,0.62522846,0.55480117,0.6659932,0.5399488,0.6259401,0.5442819,0.66833484,0.7217972,0.55266714,0.7194606,0.61420614
1992,0.7033324,0.7447512,0.5669568,0.66091573,0.7408632,0.7479528,0.5878845,0.6768816,0.67269844,0.8124051,0.5751151442527771,0.45189327001571655,0.4302939772605896,0.5231698751449585,0.5079594850540161,0.666282,0.47035453,0.5337461,0.53712463,0.67807186,0.5223894,0.5224475,0.5730726,0.53504497,0.54247606,0.6790458,0.6678329,0.6451163,0.6880586,0.6406096,0.57189524,0.6514866,0.54554045,0.6314969,0.54590124,0.6994541,0.7679161,0.6130426,0.7200893,0.6424389
1993,0.6810765,0.7495219,0.5953427,0.68083483,0.6829822,0.73561716,0.61613584,0.6810762,0.66274244,0.7656301,0.5142200589179993,0.4421861171722412,0.36097848415374756,0.5137410163879395,0.4898601770401001,0.6588813,0.5219921,0.52198434,0.55799496,0.6714982,0.555902,0.5401469,0.6294803,0.6292596,0.55040896,0.61457336,0.56851465,0.6102804,0.6906929,0.5853359,0.5862265,0.6155391,0.5693519,0.6436664,0.51799405,0.7119247,0.72671485,0.60103905,0.7408081,0.6427092
1994,0.6863636,0.68215084,0.5622545,0.65259016,0.6829432,0.7522902,0.6350423,0.6520697,0.63903177,0.7675331,0.4742967486381531,0.34884580969810486,0.3191833198070526,0.38834989070892334,0.4047189950942993,0.61987716,0.44273627,0.47785157,0.47648773,0.58526605,0.5234444,0.5453826,0.5601263,0.58227646,0.50430816,0.6193381,0.6226115,0.60116035,0.7030882,0.59219897,0.57471424,0.6267952,0.5200649,0.62137187,0.52062255,0.6664559,0.7017981,0.5861011,0.6685768,0.60149795
