Year,prejudice_care_vir,prejudice_care_vic,prejudice_fair_vir,prejudice_fair_vic,prejudice_loya_vir,prejudice_loya_vic,prejudice_auth_vir,prejudice_auth_vic,prejudice_sanc_vir,prejudice_sanc_vic,bullying_care_vir,bullying_care_vic,bullying_fair_vir,bullying_fair_vic,bullying_loya_vir,bullying_loya_vic,bullying_auth_vir,bullying_auth_vic,bullying_sanc_vir,bullying_sanc_vic,mental disorder_care_vir,mental disorder_care_vic,mental disorder_fair_vir,mental disorder_fair_vic,mental disorder_loya_vir,mental disorder_loya_vic,mental disorder_auth_vir,mental disorder_auth_vic,mental disorder_sanc_vir,mental disorder_sanc_vic,trauma_care_vir,trauma_care_vic,trauma_fair_vir,trauma_fair_vic,trauma_loya_vir,trauma_loya_vic,trauma_auth_vir,trauma_auth_vic,trauma_sanc_vir,trauma_sanc_vic,secession_care_vir,secession_care_vic,secession_fair_vir,secession_fair_vic,secession_loya_vir,secession_loya_vic,secession_auth_vir,secession_auth_vic,secession_sanc_vir,secession_sanc_vic,conspiracy_care_vir,conspiracy_care_vic,conspiracy_fair_vir,conspiracy_fair_vic,conspiracy_loya_vir,conspiracy_loya_vic,conspiracy_auth_vir,conspiracy_auth_vic,conspiracy_sanc_vir,conspiracy_sanc_vic,sovereignty_care_vir,sovereignty_care_vic,sovereignty_fair_vir,sovereignty_fair_vic,sovereignty_loya_vir,sovereignty_loya_vic,sovereignty_auth_vir,sovereignty_auth_vic,sovereignty_sanc_vir,sovereignty_sanc_vic,terrorism_care_vir,terrorism_care_vic,terrorism_fair_vir,terrorism_fair_vic,terrorism_loya_vir,terrorism_loya_vic,terrorism_auth_vir,terrorism_auth_vic,terrorism_sanc_vir,terrorism_sanc_vic
1979,0.5194819,0.6734694,0.6318333,0.74078894,0.5109722,0.638101,0.6169541,0.67739415,0.551105,0.71174335,0.6196295,0.7941719,0.57914597,0.7748816,0.58400244,0.75703675,0.5895517,0.77126217,0.63373274,0.813285,0.5389693379402161,0.674915075302124,0.579670786857605,0.747046709060669,0.405963271856308,0.5726645588874817,0.6206456422805786,0.6434993743896484,0.5391392707824707,0.668785810470581,0.4778789,0.62551904,0.35924697,0.5439467,0.43459514,0.49522927,0.34427702,0.4778958,0.48822987,0.6119853,0.35083428,0.55365777,0.41912204,0.49078277,0.5316391,0.5968753,0.45225462,0.63975894,0.40575266,0.6133127,0.38161173,0.5465602,0.40013415,0.47449946,0.44191575,0.6374668,0.5497098,0.68464786,0.44936788,0.6851722,0.49480152,0.52328205,0.6364584,0.51331687,0.46300983,0.5060319,0.55479884,0.62637454,0.57987016,0.51605886,0.5819836,0.70906353,0.60728514,0.70901215,0.5750904,0.7831228,0.62969124,0.83616096,0.6436018,0.7731549
1980,0.5315002,0.63669103,0.5092561,0.76019895,0.48078713,0.66904193,0.5962604,0.543707,0.5530562,0.6666076,0.59832156,0.8405083,0.5377989,0.7962271,0.634163,0.855603,0.6301081,0.80787283,0.6891331,0.81466603,0.44091829657554626,0.49297767877578735,0.2602991461753845,0.49279987812042236,0.3156062364578247,0.3564177453517914,0.2855774164199829,0.41258352994918823,0.2878135144710541,0.40557587146759033,0.4977559,0.6549002,0.3399534,0.4921121,0.43790117,0.5437629,0.35819906,0.47053206,0.5618983,0.6420778,0.37158617,0.54267704,0.44324437,0.50591016,0.5730301,0.64328855,0.47330976,0.67835385,0.4652747,0.57639456,0.35659033,0.54360616,0.41621205,0.46375555,0.48747283,0.6661811,0.49308902,0.68434435,0.45922792,0.5831383,0.50002754,0.5200126,0.6155834,0.4950062,0.48912722,0.5499536,0.59681326,0.650205,0.5344863,0.49774468,0.48116532,0.63370836,0.5980634,0.66146994,0.55484414,0.7038891,0.61798537,0.795634,0.5041335,0.6436585
1981,0.5035854,0.6516805,0.589507,0.7553679,0.46128374,0.62676096,0.60991216,0.58012295,0.60377073,0.7106723,0.55747664,0.83057153,0.52349365,0.73158556,0.5170076,0.81840086,0.5687089,0.70321023,0.67373586,0.835086,0.4856657385826111,0.49370092153549194,0.3448929786682129,0.47980716824531555,0.32363003492355347,0.4164087772369385,0.4549798369407654,0.4109082818031311,0.5254151821136475,0.5591685771942139,0.49140817,0.631584,0.4003974,0.5542635,0.37882936,0.51262677,0.42610338,0.4212271,0.57218194,0.6788937,0.3656501,0.55877364,0.43913817,0.49116203,0.5348836,0.6664043,0.4533864,0.6144546,0.46901494,0.6003412,0.3694824,0.5501034,0.44363517,0.45409828,0.44354922,0.6709419,0.5080244,0.7431472,0.46136776,0.5876257,0.49179652,0.53315854,0.6673483,0.5242654,0.48936743,0.50134885,0.6042851,0.63685167,0.59171784,0.5146903,0.5222819,0.5973512,0.5548787,0.5818372,0.49361125,0.6233056,0.5955663,0.797964,0.4812137,0.6778891
1982,0.49323556,0.5950911,0.4652307,0.76689374,0.46295592,0.60345066,0.5508392,0.50404334,0.48730356,0.6442641,0.59910405,0.8057126,0.5211661,0.73995674,0.5927443,0.7923008,0.5732957,0.72887087,0.6098755,0.77619094,0.39371150732040405,0.6142792701721191,0.35992321372032166,0.5923330187797546,0.3262638449668884,0.43762776255607605,0.46011611819267273,0.5469627380371094,0.36247920989990234,0.5838713645935059,0.567194,0.69645095,0.433447,0.6412575,0.46591493,0.5804801,0.45827153,0.54922783,0.5974035,0.72148466,0.38936877,0.5704613,0.49094823,0.54627264,0.5435245,0.68296385,0.5335939,0.61489606,0.43355232,0.5833,0.38364553,0.53248054,0.46843913,0.48396015,0.4884451,0.68488675,0.48919114,0.64419925,0.44554585,0.5851703,0.4745897,0.5391619,0.62631,0.5153262,0.4139865,0.46059942,0.55898654,0.549767,0.49658746,0.46592015,0.58278173,0.72274923,0.6096972,0.69707036,0.5130566,0.7132825,0.627861,0.8104379,0.5302997,0.7213617
1983,0.4868146,0.5803492,0.4282223,0.7421644,0.38754332,0.41514456,0.40836355,0.44949526,0.4415554,0.5860487,0.60562176,0.8572494,0.570251,0.72497374,0.5615437,0.7768393,0.60334104,0.74801904,0.69350004,0.8301485,0.47126996517181396,0.6550849080085754,0.4208543002605438,0.6520509123802185,0.31139039993286133,0.5102196335792542,0.4904290735721588,0.5405831336975098,0.4333585500717163,0.6255964040756226,0.50636196,0.70167595,0.41644347,0.52877545,0.45278937,0.54088044,0.38888395,0.56989145,0.60484624,0.73012257,0.345427,0.5450099,0.47846815,0.4466824,0.50317127,0.6502511,0.51132023,0.6557261,0.4738184,0.59105027,0.37717593,0.5568484,0.43627107,0.4143958,0.46093976,0.7527207,0.50850856,0.72927153,0.5037738,0.6286108,0.48367944,0.4945506,0.6065541,0.44264784,0.46768326,0.511037,0.5454891,0.58075166,0.52971184,0.4752525,0.552559,0.719442,0.63563955,0.6564051,0.49473545,0.79616195,0.64942575,0.8427839,0.5859243,0.76183766
1984,0.48548174,0.5591044,0.48637116,0.6946764,0.47702426,0.49989027,0.47540623,0.5335329,0.43325576,0.5619809,0.579999,0.8327677,0.51070166,0.70708096,0.5280279,0.71357626,0.5056382,0.7448281,0.64998263,0.76800776,0.43265724182128906,0.6156749725341797,0.4056369662284851,0.5857874155044556,0.2983964681625366,0.43437209725379944,0.4463980197906494,0.5532408952713013,0.44884607195854187,0.6099831461906433,0.5201266,0.722678,0.48500848,0.6191645,0.4667813,0.60892737,0.46278083,0.63934803,0.57565284,0.7402404,0.40349913,0.5773603,0.5017849,0.48036692,0.6019905,0.6773231,0.5053644,0.6330633,0.5078947,0.58966005,0.44178373,0.61638844,0.5061772,0.49045175,0.54974514,0.7711861,0.522009,0.75658095,0.50443923,0.63568544,0.5056589,0.5156051,0.65578437,0.4490838,0.5551109,0.5218603,0.5471532,0.5779847,0.571329,0.4661144,0.57051903,0.687013,0.59431577,0.6197485,0.4658996,0.73358154,0.5952841,0.8232789,0.5442872,0.69819224
1985,0.5347548,0.58974844,0.47380802,0.74289,0.4502831,0.5754627,0.56002766,0.471321,0.47614378,0.58754945,0.5906342,0.81292665,0.5139111,0.70837915,0.5889636,0.75541806,0.5844273,0.6887175,0.6683841,0.77971417,0.38884687423706055,0.46781912446022034,0.30193209648132324,0.46197330951690674,0.3118039667606354,0.26860812306404114,0.36375266313552856,0.405453085899353,0.2366281896829605,0.41337189078330994,0.55991393,0.73742056,0.4273745,0.62258947,0.4715283,0.6113666,0.4579376,0.5648185,0.60016596,0.70928466,0.378955,0.5296271,0.4594397,0.5288999,0.5631274,0.6062665,0.47988957,0.62207615,0.44542813,0.57619566,0.4269166,0.6039947,0.45778322,0.55833715,0.55020946,0.73842686,0.5405826,0.68895924,0.48988783,0.6682009,0.48083583,0.53948575,0.67013717,0.48849395,0.4926187,0.5016922,0.5249731,0.6453506,0.4680763,0.5133277,0.5012075,0.6281855,0.5884944,0.6688025,0.45824057,0.6517049,0.54419327,0.78374654,0.4432841,0.6966455
1986,0.5751294,0.64007115,0.5418335,0.77901614,0.43897307,0.6206447,0.55411094,0.54012793,0.55491567,0.63268185,0.67151666,0.8625915,0.5594089,0.8059653,0.62769437,0.74020827,0.63594306,0.82598543,0.6638227,0.80534047,0.42308109998703003,0.5443475246429443,0.3112905025482178,0.5046988725662231,0.3677258789539337,0.399844765663147,0.39132434129714966,0.4286031126976013,0.44497981667518616,0.5179260969161987,0.44305807,0.6138937,0.3594789,0.49103528,0.3600152,0.50312746,0.40994185,0.51442504,0.57956994,0.63662374,0.37536108,0.5432454,0.40808964,0.48757145,0.5321068,0.6194525,0.43950927,0.6509645,0.4640251,0.57270545,0.42047846,0.6463899,0.41101307,0.5681192,0.51185715,0.6975521,0.48153377,0.7577705,0.5078335,0.65006816,0.51020974,0.58128417,0.6057091,0.53658223,0.4910772,0.5045293,0.5545397,0.62753165,0.5459444,0.52122056,0.4881235,0.563809,0.48540956,0.5689652,0.43462175,0.5592033,0.46073234,0.7238996,0.46402502,0.60902345
1987,0.55526775,0.64822257,0.5676742,0.7783904,0.45944917,0.52342385,0.56312686,0.50047565,0.5865308,0.6735516,0.6562838,0.83704126,0.6185814,0.8266829,0.6184539,0.71725833,0.7089226,0.71932673,0.71653926,0.81089365,0.392126202583313,0.46908092498779297,0.28285783529281616,0.4485599994659424,0.31197091937065125,0.31979164481163025,0.3978572487831116,0.38501155376434326,0.3556879460811615,0.4746112823486328,0.42089212,0.6391602,0.2632649,0.45861512,0.3852822,0.41460866,0.3906072,0.43309772,0.49501997,0.6400881,0.40723422,0.5552714,0.42328322,0.5258745,0.54130423,0.6525381,0.42038202,0.6129954,0.43977213,0.5820476,0.46485698,0.5974891,0.45272228,0.57006955,0.54085284,0.77898306,0.54287136,0.7911364,0.495854,0.6351259,0.5507837,0.574209,0.6141159,0.5572494,0.51711833,0.5751754,0.60085875,0.6493082,0.5421395,0.49163237,0.56581867,0.5899569,0.5712174,0.6386212,0.47130692,0.6101792,0.5408724,0.79064626,0.4578985,0.6799196
1988,0.538858,0.6382402,0.536029,0.74540627,0.47631177,0.65934,0.5815882,0.53226656,0.5953795,0.66563797,0.58141834,0.8265751,0.51681226,0.72402304,0.58704454,0.8373298,0.58711207,0.7218015,0.72915196,0.81767154,0.41536587476730347,0.5752588510513306,0.29184240102767944,0.5923593044281006,0.3112238347530365,0.400135338306427,0.3375013470649719,0.4661397635936737,0.3590207099914551,0.535500168800354,0.5203144,0.6583537,0.37883243,0.5130556,0.4117828,0.50629854,0.36989683,0.5666853,0.5491169,0.65583414,0.4093051,0.51466715,0.44050944,0.48550975,0.5738684,0.63467944,0.49657127,0.62191564,0.4778785,0.56057715,0.42054576,0.6021568,0.43823263,0.51664007,0.516433,0.7494433,0.51910764,0.7346571,0.5211825,0.6603178,0.5349579,0.56810963,0.59983397,0.5161469,0.4912486,0.5913036,0.5787523,0.5839949,0.5440207,0.5330244,0.49872425,0.6148014,0.5647946,0.6049006,0.41111326,0.6591765,0.5686964,0.7365469,0.50786227,0.6815376
