chinese,foundation,frequency
同情,care,326
一臂之力,care,2
一见倾心,care,2
三个代表,care,0
上阵杀敌,care,0
不为已甚,care,0
不仁,care,0
不以为然,care,20
不伤脾胃,care,0
不共戴天,care,3
不啻,care,7
不孝,care,2
不孝之子,care,0
不孝子,care,0
不孝子孙,care,0
不孝敬,care,0
不孝顺,care,0
不宽容,care,0
不屑,care,6
不怀好意,care,10
不打不相识,care,0
不杀不辱,care,0
不让座,care,0
与人为善,care,5
丑化,care,23
世界大战,care,70
东征,care,12
东征西讨,care,0
东突,care,1
丢命,care,0
两虎相争,care,0
两虎相斗,care,0
两败俱伤,care,6
严刑,care,2
严慈,care,0
丧亡,care,1
丧生,care,12
中毒,care,60
中箭,care,0
为仁不富,care,0
为富不仁,care,1
为非作歹,care,36
义举,care,0
义卖,care,0
义工,care,0
义愤填膺,care,20
义捐,care,0
义演,care,0
义行,care,0
义诊,care,0
乌鸟私情,care,0
乐于助人,care,5
乐意,care,38
乖顺,care,0
乘胜追击,care,4
乞哀告怜,care,0
乞怜,care,1
乳母,care,0
了却此生,care,0
争战,care,0
争斗,care,15
事故,care,279
二遍苦,care,0
互助,care,100
互惠互利,care,1
互惠共赢,care,0
互惠合作,care,0
五刑,care,3
亡国灭种,care,1
交恶,care,0
交战,care,23
交通肇事,care,1
亲切,care,1180
亲和,care,0
亲睦邻邦,care,0
人见人爱,care,0
人身安全,care,23
人道,care,23
人道主义,care,245
仁厚,care,0
仁君,care,0
仁善,care,0
仁孝,care,0
仁德,care,5
仁心,care,0
仁惠,care,0
仁慈,care,4
仁慈心,care,0
仁政,care,2
仁民爱物,care,0
仁者爱人,care,0
仁至义尽,care,3
仇人,care,1
仇怨,care,1
从井救人,care,0
仗义执言,care,15
仗势欺人,care,8
仙逝,care,0
以工代赈,care,2
以强凌弱,care,7
以飨读者,care,0
任侠,care,0
传递温暖,care,0
伤亡,care,92
伤别,care,0
伤势,care,22
伤及无辜,care,0
伤员,care,294
伤天害理,care,3
伤害,care,126
伤弓之鸟,care,0
伤心,care,20
伤悲,care,1
伤残,care,10
伤残人员,care,1
伤疤,care,10
伤痛,care,25
伤者,care,8
伤耗,care,0
伥鬼,care,1
伺候,care,9
住院,care,83
体恤,care,2
体惜,care,0
体罚,care,15
体谅,care,57
作孽,care,2
作恶,care,20
作痛,care,0
作贼,care,0
使作呕,care,0
使坏,care,0
侍候,care,8
供养,care,13
侠义心肠,care,0
侮弄,care,0
侵入,care,263
侵扰,care,17
侵权,care,0
便民利民,care,0
便民惠民,care,0
保住,care,60
保佑,care,7
保全,care,26
保卫,care,1128
保护,care,1667
保护伞,care,23
保护动物,care,0
保护环境,care,58
保护者,care,8
保护色,care,1
保重,care,21
保障,care,876
借刀杀人,care,1
借助,care,37
借酒浇愁,care,1
倾轧,care,6
偏疼,care,0
健康,care,584
健康保险,care,0
健康受损,care,0
健康食品,care,0
偷去,care,0
偷盗,care,13
偷窃,care,8
偷袭,care,34
偷鸡不着蚀把米,care,0
傻Ｂ,care,0
傻蛋,care,0
傻逼,care,0
元恶,care,0
兄弟情义,care,0
免疫力,care,2
免费义诊,care,0
全心全意,care,182
全歼,care,42
公共事业,care,9
公益,care,10
公益金,care,18
兰摧玉折,care,0
共同利益,care,74
共襄善举,care,0
关怀,care,552
关格,care,0
兵连祸结,care,0
养家糊口,care,1
养活,care,54
养病,care,34
养老,care,9
养老院,care,3
养虎为患,care,0
内心善良,care,0
内耗,care,5
混战,care,12
冤业,care,0
冤死,care,3
冲打,care,0
冷暖,care,9
冷暖自知,care,0
凄恻,care,0
凄惶,care,3
凄然,care,3
凌虐,care,0
凌迟,care,0
凶事,care,0
凶器,care,24
凶巴巴,care,0
凶戾,care,0
凶手,care,50
凶杀,care,2
凶杀案,care,2
凶死,care,0
凶残,care,30
凶犯,care,23
凶狠,care,14
凶讯,care,0
凶险,care,5
出击,care,51
出诊,care,3
击毁,care,246
击毙,care,88
击沉,care,10
刀俎,care,0
刀刺性痛,care,0
刀子嘴豆腐心,care,0
刀锯鼎镬,care,0
分享,care,36
分忧,care,13
分担,care,60
切痛,care,0
切肤之痛,care,5
刑具,care,1
刑戮,care,0
刑求,care,0
刑罚,care,197
刑舂,care,0
刑辱,care,0
划伤,care,0
创伤,care,107
创口,care,0
创痛,care,1
利民,care,11
刮伤,care,1
刺客,care,2
刺杀,care,8
刺死,care,1
刺痛,care,9
刽子手,care,26
前人栽树,care,0
劈空扳害,care,0
力攻,care,0
劝慰,care,5
加护,care,0
加护病房,care,0
动情,care,6
动手,care,225
助人为乐,care,39
助纣为虐,care,3
劫匪,care,0
劫持,care,14
勇救,care,0
勒索,care,42
勒逼,care,0
包剿,care,0
包容,care,1
包治百病,care,0
包藏祸心,care,2
化学武器,care,25
医官,care,1
医护,care,14
医护人员,care,40
医治,care,93
千刀万剐,care,0
协理,care,0
南京大屠杀,care,0
南征,care,6
博爱,care,7
卧轨,care,0
卫护,care,4
卫生防疫,care,17
危及,care,98
危害性,care,36
危重病人,care,0
厌弃,care,4
厚待,care,0
厚谊,care,2
去世,care,163
去死,care,0
去逝,care,0
参战,care,99
友善,care,4
友爱,care,19
反人类,care,0
反哺,care,0
反攻,care,32
发痛,care,0
受伤,care,164
受伤害,care,11
受刑,care,6
受害,care,71
受害人,care,7
受惠,care,13
受损,care,5
受气,care,5
受益,care,111
受益人,care,0
受罪,care,8
受虐,care,0
受难者,care,7
可惜,care,154
可憎,care,6
叱骂,care,0
吃人,care,0
吃苦头,care,16
合击,care,1
吊丧,care,0
吊唁,care,37
吊孝,care,2
吊慰,care,0
吊死问疾,care,0
吊民伐罪,care,0
吊祭,care,0
后人乘凉,care,0
吓唬,care,20
吞声,care,0
含辛茹苦,care,3
启蒙,care,29
吸毒,care,21
吸毒成瘾,care,0
周济,care,3
呵护,care,0
命危,care,0
命赴黄泉,care,0
和和气气,care,1
和善,care,2
