Year,衣服_freq,米饭_freq,图书馆_freq,运输_freq
1979,196,17,235,1089
1980,331,29,280,1493
1981,468,23,574,1043
1982,430,23,419,1287
1983,275,35,480,1208
1984,239,28,397,1821
1985,310,39,471,1777
1986,301,19,358,1315
1987,278,34,639,1217
1988,284,25,368,1151
1989,337,22,455,1235
1990,298,38,384,1083
1991,276,27,292,960
1992,222,34,276,1054
1993,201,31,290,1075
1994,303,26,315,959
1995,334,30,752,1196
1996,332,21,742,977
1997,326,48,505,1006
1998,275,32,569,896
1999,236,30,578,781
2000,174,37,610,1066
2001,172,17,521,1100
2002,250,21,575,945
2003,328,25,387,1342
2004,343,44,633,1990
2005,305,41,565,1219
2006,308,31,765,1291
2007,397,43,485,1265
2008,400,28,567,1877
2009,344,40,811,1446
2010,424,49,1162,1624
2011,511,50,1324,1758
2012,414,56,1283,1630
2013,605,71,1236,1799
2014,528,74,791,1620
2015,465,44,1024,1328
2016,468,87,776,1671
2017,480,78,1024,1472
2018,449,62,1087,1722
2019,782,66,629,1361
2020,395,85,1082,3889
2021,289,63,708,1997
2022,258,41,953,2002
2023,267,55,682,2238
