Year,友善,关心,保护,同情,欺负,伤害,折磨,践踏,公平,权利,一致,平等,排外,作假,不公,歧视,忠心,同胞,爱国,团结,汉奸,背叛,变节,不忠,权威,服从,尊崇,合法,反叛,违抗,犯上,颠覆,崇高,纯净,神圣,清白,玷污,传染,罪恶,肮脏
1979,4,1581,1667,326,18,126,184,307,77,1223,1196,484,7,2,6,196,14,204,570,2321,18,88,3,0,253,420,7,373,7,15,2,198,383,5,172,19,24,19,208,52
1980,6,1871,2183,315,16,149,154,195,102,1152,1383,584,20,3,12,198,11,249,580,2061,45,82,10,2,216,447,13,335,10,6,2,163,318,20,145,10,20,16,172,32
1981,9,1935,2041,370,26,108,112,120,110,930,1445,580,11,7,10,209,6,397,818,2773,21,98,9,0,121,354,4,319,3,7,1,171,391,14,146,12,16,34,141,38
1982,10,1803,2415,294,23,129,110,153,106,1507,1420,610,11,8,6,223,12,302,816,2171,29,71,1,1,184,492,10,326,4,8,1,96,410,29,208,12,26,44,122,39
1983,11,1663,2188,267,13,109,97,138,113,1110,1228,641,15,3,14,311,5,272,860,2424,34,51,0,2,128,369,8,374,2,10,3,110,425,23,151,18,24,25,136,20
1984,11,1844,2216,250,14,125,83,73,80,815,1387,591,8,3,8,230,4,379,752,1948,23,28,0,1,116,335,8,287,2,6,3,62,308,16,130,12,18,30,88,26
1985,9,1875,2306,281,19,151,95,89,127,688,1263,538,11,18,11,147,11,423,887,1754,40,23,1,0,183,497,8,371,3,5,1,38,379,29,122,10,23,36,94,23
1986,14,1790,2753,240,20,156,79,112,146,878,1284,702,18,8,11,131,4,258,548,1489,14,31,1,1,214,315,4,402,7,8,0,57,335,34,128,33,12,32,82,27
1987,11,1665,2627,204,15,140,91,77,158,866,1279,597,8,5,11,104,4,341,498,1522,62,28,0,1,165,275,9,388,25,12,0,39,298,42,161,19,25,49,74,20
1988,10,1684,2622,205,14,192,92,91,314,1032,1206,668,9,15,25,120,6,248,409,1130,11,33,1,1,333,330,18,443,29,5,2,115,253,26,135,19,24,68,75,15
1989,16,1670,2486,231,14,236,80,127,225,1020,1431,594,17,26,28,136,11,332,837,1727,22,51,7,1,394,316,10,401,18,9,0,417,378,43,234,11,32,42,140,34
1990,12,2099,2639,168,19,118,77,99,153,872,1191,661,17,3,22,123,8,429,741,2227,21,52,4,0,167,269,7,318,7,3,1,222,449,51,175,9,24,29,74,31
1991,9,2036,2750,167,23,144,80,69,133,1070,1253,774,29,4,17,116,8,600,536,1772,22,60,2,0,156,322,17,341,3,5,0,132,424,27,183,12,15,28,49,13
1992,9,1804,3346,110,12,142,71,77,213,1081,1060,672,108,11,23,128,4,345,360,1357,16,26,3,0,216,334,8,236,3,3,1,28,264,24,133,17,11,17,37,21
1993,13,1865,3240,107,10,181,65,69,354,878,1060,634,78,7,25,106,3,437,350,1216,21,23,0,1,230,366,15,322,11,4,1,28,325,30,189,21,14,25,45,12
1994,16,2164,3702,117,12,207,63,45,439,870,1099,825,21,3,23,158,10,582,592,1249,10,14,0,0,385,481,14,254,4,4,0,18,388,38,235,19,22,24,46,17
1995,20,2334,4258,181,20,232,109,68,415,1241,1294,1216,24,22,37,211,9,621,1108,1530,97,64,2,3,375,397,18,330,4,5,1,42,484,53,329,29,35,43,123,24
1996,18,2510,4472,186,21,275,78,82,420,1010,1249,963,27,9,34,112,9,572,745,1583,27,48,1,0,404,351,9,363,2,7,2,53,715,54,310,41,29,57,78,23
1997,32,2450,4074,234,21,255,82,63,439,1011,1277,1037,19,4,52,148,12,1095,796,1964,8,23,2,0,408,384,16,392,27,1,3,39,613,55,343,39,25,33,47,23
1998,32,2143,4594,167,13,238,82,64,524,1001,1241,754,19,17,69,94,3,660,446,1401,7,19,1,0,355,380,14,395,15,3,0,52,496,59,229,92,26,46,59,18
1999,44,2122,5592,196,35,362,64,274,566,1233,1110,889,13,21,91,150,5,1088,677,1581,13,84,2,0,552,334,39,569,10,4,0,51,480,55,438,48,30,26,165,12
2000,31,2451,5852,165,13,345,67,101,575,1251,1171,1145,51,27,69,172,5,537,468,1403,10,74,3,1,489,303,17,466,5,7,1,63,408,41,324,71,34,65,96,24
2001,53,2264,6310,138,19,446,83,217,668,1680,1373,1163,19,38,81,169,13,462,417,1667,10,40,1,0,579,308,13,534,4,6,0,69,528,37,362,33,49,50,180,25
2002,87,2342,5877,135,17,313,50,107,776,1327,1177,944,13,20,78,180,10,425,451,1706,8,29,0,0,569,265,12,548,7,4,0,40,402,28,268,60,26,22,70,11
2003,57,2671,8227,164,24,606,114,88,1088,1753,1291,1203,9,25,77,417,9,637,484,1737,6,31,1,1,686,349,18,700,12,6,2,48,608,59,361,54,22,391,47,31
2004,79,3929,14625,215,40,964,172,83,1523,3266,1639,1751,14,40,275,523,19,962,1097,2310,13,42,0,0,1117,353,31,1393,20,2,0,90,637,86,423,91,36,129,62,28
2005,65,2521,8128,174,18,669,116,76,2023,2492,1269,1727,20,33,102,438,19,927,704,1800,56,45,3,1,587,274,21,620,16,1,2,73,663,54,309,51,17,64,88,13
2006,84,2824,9594,147,26,508,91,65,1797,1854,1316,1539,15,15,115,296,14,819,547,1885,11,30,1,2,607,232,30,569,15,4,1,77,553,61,283,55,16,36,37,15
2007,87,3060,8677,118,21,436,81,53,2035,2023,1341,1701,7,24,91,418,11,1013,639,2402,14,26,3,2,708,249,24,579,7,4,2,98,567,41,327,41,11,51,43,25
2008,128,2549,7048,318,10,438,65,75,1310,1627,1094,1362,10,11,80,265,7,1550,647,2023,2,30,3,1,550,228,24,424,9,3,2,63,715,58,412,62,22,65,19,9
2009,61,2648,7053,163,17,496,102,68,1608,1888,1197,1432,6,29,110,282,13,1312,923,2215,17,45,0,0,553,298,23,515,13,6,0,96,631,68,315,54,19,65,46,10
2010,99,2904,9534,289,12,571,106,64,2795,2119,1334,2052,27,44,136,280,9,1327,495,1733,7,28,0,2,784,255,43,735,13,1,2,131,765,101,356,51,26,52,36,11
2011,91,3039,10051,190,27,734,117,55,2663,2052,1424,1970,18,23,155,274,8,823,726,2140,19,88,3,1,801,256,43,735,21,2,1,156,814,75,350,53,22,65,40,23
2012,130,2575,10310,115,36,759,81,65,2833,2405,1338,2073,9,54,136,335,55,890,795,2352,3,56,8,0,923,277,46,692,27,0,0,163,734,65,356,95,20,40,36,19
2013,130,2198,10153,172,35,904,97,103,3566,2591,1444,1794,12,83,181,416,15,631,491,1407,21,57,0,4,980,247,48,824,18,4,2,228,485,100,251,75,41,93,57,13
2014,503,1996,9656,173,20,868,137,107,3115,2531,1540,2548,32,42,272,385,21,844,1007,1544,10,75,8,0,1474,281,71,812,18,10,0,341,644,107,277,88,35,83,90,16
2015,332,1660,9908,165,43,688,116,126,2302,1945,1388,2125,110,33,170,266,17,841,937,1807,58,70,2,1,1043,273,134,648,14,1,6,310,578,119,239,67,22,60,81,22
2016,152,1970,13676,138,37,830,101,95,2755,3561,1596,2653,53,33,202,381,18,696,589,1912,11,44,2,3,1463,419,213,773,19,1,0,369,514,104,234,110,21,47,38,18
2017,124,2111,12147,85,49,565,86,54,2345,2066,1392,1816,49,15,100,231,65,843,773,2428,11,42,3,2,1809,384,230,499,9,2,0,189,483,87,254,51,15,37,21,9
2018,117,2135,15286,57,22,592,101,54,2308,2021,1430,2237,23,37,54,250,19,652,1159,2244,2,46,4,2,2065,294,320,642,7,1,0,157,571,62,232,61,9,41,22,5
2019,90,2352,11971,59,35,538,157,239,1836,1547,1050,2061,17,21,36,203,69,861,1860,2238,8,22,1,1,1088,178,201,386,2,0,0,121,584,68,205,47,23,21,17,3
2020,74,1935,13585,35,13,360,33,107,1655,4299,989,1431,46,3,32,464,19,712,635,3197,0,11,1,0,1010,256,159,450,1,2,0,138,438,37,96,27,9,202,11,12
2021,81,1889,21570,18,67,362,52,122,2515,2478,862,2102,9,4,57,258,24,751,1461,6067,1,46,0,5,1470,297,221,324,6,0,0,180,721,38,165,20,16,33,27,9
2022,87,2155,17936,17,22,326,32,103,2247,1147,973,1726,17,0,49,185,13,965,1098,6016,2,12,1,0,1031,198,149,223,1,1,0,81,491,52,120,44,5,24,22,13
2023,89,1814,17385,11,12,303,26,76,1932,1009,907,1713,13,1,32,137,11,611,658,3667,0,14,0,1,966,93,188,270,0,0,0,57,444,42,87,27,2,18,8,2
