Year,Target Concept,Sentence With Concepts,Context Words
1979,偏见,1,"['摆脱', '资产阶级', '对', '群众运动', '的']"
1979,偏见,2,"['应该', '打破', '任何', '的', '狭隘', '应该', '具有', '极高', '的', '知人善任']"
1979,偏见,3,"['具有', '普遍性', '的', '迷信', '或']"
1979,偏见,4,"['由于', '各', '民族', '之间', '的', '所', '产生', '的', '偏向', '逐步']"
1979,偏见,5,"['这些', '存有', '的', '人', '除了', '受', '极左']"
1979,偏见,6,"['会议', '谴责', '种族主义', '和', '种族', '的', '宣言', '说', '一切', '旨在']"
1979,偏见,7,"['它', '反对', '一切', '教条', '一切', '一切', '想要', '建立', '最终', '思想体系']"
1979,偏见,8,"['那种', '科学态度', '即', '不', '抱', '不', '盲目', '否定', '祖国', '古老']"
1979,偏见,9,"['的', '宣言', '草案', '是', '有', '的', '宣言', '实质', '上', '是']"
1979,偏见,10,"['殖民主义者', '以', '种族', '的', '对', '非洲', '传统', '医生', '及其']"
1979,偏见,11,"['讨论会', '乱了套', '恐怕', '同', '这种', '有关']"
1979,偏见,12,"['人民', '怀有', '的', '狭隘', '民族', '为', '增进', '中', '美', '两国人民']"
1979,偏见,13,"['讹诈', '来', '宣扬', '他们', '的', '使', '所有', '致力于', '巩固', '在']"
1979,偏见,14,"['但', '不能', '认为', '产生', '各种', '的', '认识', '原因', '和', '社会']"
1979,偏见,15,"['改变', '了', '人们', '的', '社会', '使', '小', '觉得', '自己', '不是']"
1979,偏见,16,"['至于', '那些', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶意', '攻击']"
1979,偏见,17,"['但', '某些', '人有', '一种', '一提', '自由', '就', '斥之为', '资产阶级']"
1979,偏见,18,"['党委', '坚决', '打破', '形而上学', '的', '不拘一格', '用', '人才', '做到', '三个']"
1979,偏见,19,"['戏', '一扫', '历代', '文人', '的', '还', '昭君', '以', '本来面目', '热情']"
1979,偏见,20,"['红日', '就是', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶毒攻击']"
1979,偏见,21,"['种种', '行会', '狭隘性', '或', '行会', '的', '传统', '和', '恶习', '并']"
1979,偏见,22,"['民主派', '关于', '自由', '平等', '的', '同', '这些', '作', '无情', '平等', '的', '同', '这些', '作', '无情', '的', '斗争']"
1979,偏见,23,"['统治', '下', '形成', '的', '种种', '曾经', '仔细分析', '过', '阻碍', '人们']"
1979,偏见,24,"['摆脱', '自己', '的', '小', '资产阶级']"
1979,偏见,25,"['决不能', '不顾', '客观事实', '带', '着', '吹冷风', '夸大', '前进', '中', '的']"
1979,偏见,26,"['用词', '指出', '它', '是', '有', '的']"
1979,偏见,27,"['中国', '文明', '的', '无知', '和']"
1979,偏见,28,"['出身', '低贱', '非亲非故', '十全十美', '等', '在', '更', '大', '范围', '内']"
1979,偏见,29,"['十多年', '来', '形成', '的', '许多']"
1979,偏见,30,"['的', '不少', '材料', '就', '有']"
1979,偏见,31,"['了解', '这是', '由于', '剥削阶级', '的', '经常', '歪曲', '社会', '的', '历史']"
1979,偏见,32,"['英联邦', '关于', '种族主义', '和', '种族', '的', '卢萨卡', '宣言']"
1979,偏见,33,"['平日', '对于', '贵国', '人', '之', '至此', '逐渐', '消灭', '而', '美国']"
1979,偏见,34,"['被', '苏联', '扣', '上', '民族主义', '利己主义', '闭关自守', '背离', '国际主义', '反苏']"
1979,偏见,35,"['了', '对', '知识分子', '的', '一种', '一种', '左倾', '情绪']"
1979,偏见,36,"['的', '模范行动', '打破', '了', '这种']"
1979,偏见,37,"['包括', '资产阶级', '的', '人生观', '阶级', '思想', '感情', '生活', '方式']"
1979,偏见,38,"['这种', '不', '受', '任何', '权威', '迷信', '的', '束缚', '进行', '独立思考']"
1979,偏见,39,"['继续', '破除', '闭关自守', '夜郎自大', '的', '积极', '展开', '国际', '间', '的']"
1979,偏见,40,"['它', '才能', '摆脱', '剥削阶级', '的', '掌握', '社会', '发展', '的', '真理']"
1979,偏见,41,"['从', '各种', '剥削阶级', '的', '思想', '中', '解放出来', '使', '文化', '工作']"
1979,偏见,42,"['在', '的', '压力', '下', '村里', '的']"
1979,偏见,43,"['宁', '左', '勿', '右', '的', '之中', '往往', '用', '左', '的']"
1979,偏见,44,"['至于', '那些', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶意', '攻击']"
1979,偏见,45,"['应该', '提供', '不', '受', '任何', '影响', '的', '客观', '材料', '因为', '使', '数字', '适合', '于', '某种', '的', '企图', '是', '一种', '带有']"
1979,偏见,46,"['一方面', '是', '由于', '千百年来', '剥削阶级', '的', '影响', '另一方面', '也', '是因为']"
1979,偏见,47,"['伊朗', '允许', '中立', '的', '不抱', '的', '观察员', '探望', '美国', '人质']"
1979,偏见,48,"['对', '知识分子', '产生', '了', '一种', '和', '厌恶', '心理']"
1979,偏见,49,"['处分', '联系', '起来', '的', '社会']"
1979,偏见,50,"['幼稚', '的', '青年', '或是', '带有', '的', '人们', '所', '忽视', '的']"
1979,欺凌,1,"['饱尝', '了', '地主', '资本家', '的', '压榨']"
1979,欺凌,2,"['如此', '非正义', '地', '侵略', '和', '柬埔寨', '的', '情况', '下', '再次']"
1979,欺凌,3,"['有人', '掠夺', '窃取', '分割', '和']"
1979,欺凌,4,"['深深感到', '要', '保证', '中华民族', '受', '的', '历史', '不再', '重演', '就']"
1979,欺凌,5,"['替', '一个', '被', '的', '小国', '说', '几句', '伸张正义']"
1979,欺凌,6,"['基本', '原则', '变成', '了', '一个', '弱小', '邻国', '的', '霸权主义', '国家']"
1979,欺凌,7,"['没有', '地位', '就', '受', '人', '压迫']"
1979,欺凌,8,"['在', '旧社会', '受尽', '了', '压迫', '和', '饥饿', '的', '母亲', '已经']"
1979,欺凌,9,"['我', '又', '看到', '了', '被压迫', '了', '千百年', '的', '人民', '奋起']"
1979,欺凌,10,"['上', '所有', '备受', '霸权主义', '者', '压迫', '的', '人民', '联合', '起来']"
1979,欺凌,11,"['的', '不能容忍', '的', '挑战', '和', '是', '对', '朝鲜', '和', '亚洲']"
1979,欺凌,12,"['下', '受尽', '了', '帝国主义', '的', '压迫']"
1979,欺凌,13,"['再也', '不', '受', '帝国主义', '的', '和', '压迫', '了', '我们', '民族']"
1979,欺凌,14,"['忍受', '帝国主义', '和', '封建主义', '的', '了', '打倒', '帝国主义', '打倒', '封建主义']"
1979,欺凌,15,"['的', '公民', '不必', '担心', '受人', '也', '只有', '这样', '那些', '违法乱纪']"
1979,欺凌,16,"['帝国主义', '殖民主义', '的', '奴役', '和', '两国人民', '在', '长期', '的', '革命斗争']"
1979,欺凌,17,"['在', '北', '太平洋', '更加', '蛮横', '日本', '渔民']"
1979,欺凌,18,"['在', '北', '太平洋', '更加', '蛮横', '日本', '渔民']"
1979,欺凌,19,"['北', '太平洋地区', '更加', '蛮横', '地', '日本', '渔民', '使', '日本', '的']"
1979,欺凌,20,"['反对', '苏联', '对', '日本', '的', '与', '压力', '并且', '同', '它']"
1979,欺凌,21,"['樽俎折冲', '难', '重重', '奸雄', '满腹', '意', '早', '在', '周郎', '一笑']"
1979,欺凌,22,"['从根本上', '解除', '广大', '被压迫', '受', '的', '人民', '群众', '的', '痛苦']"
1979,欺凌,23,"['就是', '旧时代', '被', '剥削', '压迫', '的', '人们', '的', '世界']"
1979,欺凌,24,"['封建', '统治者', '负心汉', '的', '迫害', '下', '的', '悲惨遭遇']"
1979,欺凌,25,"['对于', '那些', '无视', '党纪国法', '百姓', '压制', '民主', '刑讯逼供', '制造']"
1979,欺凌,26,"['不少', '是', '揭露', '帝国主义', '压迫', '中国', '的', '罪行']"
1979,欺凌,27,"['国度', '由于', '愚昧落后', '而', '受', '因而', '决定', '弃医', '从文', '用']"
1979,欺凌,28,"['使', '中国', '免受', '帝国主义', '的', '为了', '使', '中国', '早日', '独立']"
1979,欺凌,29,"['青年', '之', '余', '还', '私设公堂', '敲诈', '群众']"
1979,欺凌,30,"['的', '同胞', '却', '被', '虐待', '它', '自己', '在', '这个', '国家']"
1979,欺凌,31,"['中国', '遭受', '着', '霸权主义', '的', '和', '危害']"
1979,精神病,1,"['适用', '于', '非洲', '对', '治疗', '患者', '有', '特殊', '的', '疗效']"
1979,精神病,2,"['一个', '没有', '一定', '职业', '的', '患者']"
1979,精神病,3,"['汇款单', '露出', '了', '几个', '字', '防治', '分院']"
1979,精神病,4,"['患者', '的', '数字', '在', '上升']"
1979,精神病,5,"['要', '追究', '法律责任', '要', '从', '患者', '中', '去', '识别', '和']"
1979,精神病,6,"['读错', '语录', '喊错', '口号', '把', '者', '的', '胡言乱语', '把', '做']"
1979,精神病,7,"['行使', '选举权', '和', '被选举权', '的', '患者', '不', '列入', '选民', '名单']"
1979,精神病,8,"['危害', '社会', '行为', '时', '处于', '状态', '不能', '辨认', '或', '控制']"
1979,精神病,9,"['是不是', '中毒', '死亡', '被告人', '有没有', '等', '就', '应当', '指派', '聘请']"
1979,精神病,10,"['精神失常', '患', '了', '抑郁', '型']"
1979,精神病,11,"['于', '九月', '十四日', '住进', '上海市', '防治', '院']"
1979,精神病,12,"['居民', '徐大毛', '患有', '严重', '的', '他', '爱人', '两腿', '瘫痪', '久']"
1979,创伤,1,"['医治', '林彪', '四人帮', '造成', '的', '一样', '并非', '一', '举手之劳', '而']"
1979,创伤,2,"['而是', '迅速', '治愈', '身上', '的', '继续', '投入', '战斗']"
1979,创伤,3,"['一生', '中', '也许', '会', '受到', '但是', '要', '记住', '我', '的']"
1979,创伤,4,"['战后', '英国', '在', '医治', '战争', '恢复', '经济', '方面', '作', '了']"
1979,创伤,5,"['也', '遭受', '了', '极大', '的']"
1979,创伤,6,"['四人帮', '在', '学校', '造成', '的', '很深', '流毒', '很广']"
1979,创伤,7,"['劳动', '投入', '到', '恢复', '战争', '的', '豪迈', '斗争', '中']"
1979,创伤,8,"['党和国家', '民族', '造成', '的', '严重', '为', '特色', '的', '所以', '被']"
1979,创伤,9,"['既', '要', '正视', '昨日', '的', '还', '没有', '愈合', '又', '要']"
1979,创伤,10,"['上', '所', '造成', '的', '巨大', '借助', '艺术', '的', '力量', '来']"
1979,创伤,11,"['人们', '心灵', '上', '造成', '的', '敢写', '了', '爱情', '题材', '敢写']"
1979,创伤,12,"['在', '长期', '遭受', '越南战争', '的', '以后', '开始', '安定', '下来', '过']"
1979,创伤,13,"['但', '这', '为的是', '医治', '好', '处理', '好', '历史', '遗留问题', '分清是非']"
1979,创伤,14,"['自然环境', '和', '精神', '上', '的', '没有', '动摇', '他', '献身', '柴达木']"
1979,创伤,15,"['人民', '的', '团结', '遭受', '的', '虽然', '得到', '了', '很大', '程度']"
1979,创伤,16,"['虽然', '有', '四人帮', '造成', '的', '但', '他', '毕竟', '是', '党']"
1979,创伤,17,"['他', '在', '骨科', '医师', '韦加宁', '的', '帮助']"
1979,创伤,18,"['柬埔寨', '人民', '努力', '医治', '战争', '恢复', '和', '建设', '自己', '国家']"
1979,创伤,19,"['给', '社会', '造成', '的', '严重', '外伤', '特别', '是', '内伤', '无情']"
1979,创伤,20,"['冤案', '给', '我们', '党', '的', '十分', '深重', '教训', '极其', '惨痛']"
1979,创伤,21,"['战争', '所', '造成', '的', '巨大', '胜利', '地', '完成', '了', '剿匪']"
1979,创伤,22,"['记者', '那门村', '没有', '丝毫', '战争', '就象', '没有', '打过仗', '一样']"
1979,创伤,23,"['一定', '能够', '医治', '战争', '的', '把', '贝鲁特', '重建', '得', '更加']"
1979,创伤,24,"['杨鉴', '清', '受到', '很重', '的']"
1979,创伤,25,"['多年', '的', '战争', '去年', '的', '特大', '洪水', '灾害']"
1979,创伤,26,"['烧伤科', '副', '主任', '孙', '永华', '骨科', '医师', '韦加宁', '李燕妮', '等']"
1979,创伤,27,"['渴望', '和平', '以便', '医治', '战争', '重建家园']"
1979,创伤,28,"['上', '首先', '要治', '干部队伍', '的', '落实政策', '首先', '要', '落实', '人']"
1979,创伤,29,"['这个', '男青年', '精神', '上', '受到', '物质', '上', '受到', '损失']"
1979,创伤,30,"['的', '表现', '比', '肉体', '的', '更难', '医治']"
1979,创伤,31,"['称霸', '东南亚', '不去', '医治', '战争', '着手', '经济', '建设', '却', '不顾']"
1979,创伤,32,"['人民', '从', '长期', '的', '战争', '中', '恢复过来', '建设', '幸福', '的']"
1979,创伤,33,"['痛定思痛', '抚摩', '着', '巨大', '的', '思考', '探索', '造成', '这些', '祸害']"
1979,创伤,34,"['迅速', '医治', '各种', '遗留', '的', '普遍深入', '地', '进行', '民族', '政策']"
1979,创伤,35,"['多少', '给', '了', '她', '布满', '的', '心灵', '以', '一点', '慰籍']"
1979,创伤,36,"['路线', '给', '青年一代', '造成', '的', '歌颂', '革命', '青年', '坚持真理', '坚持']"
1979,创伤,37,"['特别', '是', '治疗', '刀伤', '枪伤', '出血', '跌打损伤', '淤血', '肿痛', '红肿']"
1979,创伤,38,"['牺牲', '本来', '应该', '医治', '战争', '进行', '和平', '建设', '了']"
1979,创伤,39,"['受', '了', '这么', '大', '的', '付出', '了', '这么', '怵目惊心', '的']"
1979,创伤,40,"['劳动', '迅速', '医治', '了', '战争']"
1979,创伤,41,"['看到', '他们', '深重', '的', '心灵', '怎么', '能', '不让', '人', '痛心疾首']"
1979,创伤,42,"['要', '医治', '那么', '深重', '的', '发生', '一点', '缺点', '或', '不足']"
1979,创伤,43,"['友好相处', '以便', '休养生息', '医治', '战争', '重建家园', '建设', '和平', '幸福', '的']"
1979,创伤,44,"['地', '医治', '了', '战争', '的', '并', '在', '发展', '现代', '工业']"
1979,创伤,45,"['人民', '极需', '休养生息', '医治', '战争', '的', '强烈', '愿望', '竟然', '穷兵黩武']"
1979,创伤,46,"['他', '强调', '说', '饱受', '战争', '的', '中国', '人民', '深知', '战争']"
1979,创伤,47,"['设计', '但', '政治', '上', '的', '必须', '通过', '政治', '手段', '才能']"
1979,创伤,48,"['造成', '的', '精神', '上', '的', '是', '对', '四人帮', '专制', '统治']"
1979,创伤,49,"['第二次', '大战', '给予', '欧洲', '的', '至今', '还', '在', '历史', '的']"
1979,创伤,50,"['医治', '林彪', '四人帮', '造成', '的', '把', '我们', '引上', '了', '社会主义']"
1979,分裂,1,"['辛格', '从', '人民党', '出来', '后', '另组', '新党', '即']"
1979,分裂,2,"['的', '工人', '反对派', '继续', '进行', '活动', '俄共', '布', '中央委员会', '于']"
1979,分裂,3,"['非洲', '民族', '解放运动', '挑拨离间', '制造', '破坏', '非洲', '国家', '支援', '南部非洲']"
1979,分裂,4,"['统一', '而是', '在', '策划', '永久', '的', '本来', '用意']"
1979,分裂,5,"['地区', '更', '使', '国家', '处于', '状态']"
1979,分裂,6,"['着', '妄图', '固定', '我国', '的', '从而', '制造', '两个', '朝鲜', '的']"
1979,分裂,7,"['哈达', '德', '这种', '黎巴嫩', '的', '活动', '显然', '得到']"
1979,分裂,8,"['否认', '了', '军队', '内部', '发生', '的', '消息']"
1979,分裂,9,"['体育界', '实现', '统一', '打破', '长期', '的', '局面', '为', '尽快', '完成']"
1979,分裂,10,"['在', '苏联', '控制', '和', '不结盟运动', '的', '阴谋', '中', '伪装']"
1979,分裂,11,"['的', '人民党', '内部', '矛盾激化', '公开', '所', '引起', '的']"
1979,分裂,12,"['的', '旗号', '而', '攻击', '和', '党中央', '的', '反动', '言行', '要']"
1979,分裂,13,"['和', '统一', '追求', '对抗', '和']"
1979,分裂,14,"['砸', '勿论', '置于死地', '他们', '恣意', '工人', '队伍', '制造事端', '挑动', '武斗']"
1979,分裂,15,"['是', '搞', '团结', '还是', '搞']"
1979,分裂,16,"['阴谋', '基本上', '是', '企图', '进行', '和', '剥削', '的', '表现']"
1979,分裂,17,"['代表团', '谴责', '并', '坚决', '拒绝', '不结盟运动', '的', '一切', '企图']"
1979,分裂,18,"['南北', '统一', '实则', '策划', '南北']"
1979,分裂,19,"['以后', '阿拉伯', '世界', '出现', '了']"
1979,分裂,20,"['世界各地', '加强', '颠覆', '活动', '和', '离间', '活动', '展开', '了', '一场']"
1979,分裂,21,"['卡特', '访问', '南朝鲜', '反对', '永远', '朝鲜', '要求', '实现', '朝鲜', '的']"
1979,分裂,22,"['必须', '加强', '全民', '防御', '反对', '不结盟运动']"
1979,分裂,23,"['不结盟运动', '之外', '以便', '达到', '它们', '和', '破坏', '不结盟运动', '的', '目的']"
1979,分裂,24,"['的', '思想', '更', '没有', '煽动', '祖国', '的', '内容']"
1979,分裂,25,"['反击', '是', '什么', '中国', '制造', '破坏', '不结盟运动', '的', '最好', '的']"
1979,分裂,26,"['一九七六年', '黎巴嫩', '内战', '的', '时机', '黎巴嫩', '的', '领土完整', '扶植', '哈达']"
1979,分裂,27,"['整个', '地中海', '沿岸', '此后', '多经', '和', '外族', '入侵']"
1979,分裂,28,"['美帝国主义者', '必须', '抛弃', '企图', '永远', '朝鲜', '控制', '南朝鲜', '作为', '殖民地']"
1979,分裂,29,"['声明', '说', '早日', '统一', '被', '的', '祖国', '是', '长期', '饱尝', '的', '祖国', '是', '长期', '饱尝', '之苦', '的', '我们', '民族', '的']"
1979,分裂,30,"['以', '他们', '的', '意识形态', '来', '我们']"
1979,分裂,31,"['派性', '是', '林彪', '四人帮', '党', '群众', '所', '造成', '是', '林彪', '四人帮', '党', '群众', '所', '造成', '的', '严重后果']"
1979,分裂,32,"['朝鲜', '地不分', '南北', '人不分', '老少', '的', '痛苦', '渗透', '着', '整个']"
1979,分裂,33,"['已经', '受到', '了', '三十多年', '的', '的', '悲痛']"
1979,分裂,34,"['的', '边缘', '并', '将', '发生']"
1979,分裂,35,"['和', '反动', '的', '两类', '蓄意', '不结盟运动']"
1979,分裂,36,"['搞', '修正主义', '要', '团结', '不要', '要', '光明正大', '不要', '搞', '阴谋诡计']"
1979,分裂,37,"['我们', '坚信', '内外', '主义者', '制造', '两个', '朝鲜', '的']"
1979,分裂,38,"['除了', '继续', '制造', '双方', '的', '以外', '又', '拚命', '鼓吹', '要']"
1979,分裂,39,"['了', '备忘录', '揭露', '朝鲜', '内外', '主义者', '制造', '两个', '朝鲜', '的']"
1979,分裂,40,"['藏', '着', '黑心肝', '的', '人', '党中央']"
1979,分裂,41,"['领土', '的', '殖民主义者', '分而治之', '政策', '的', '统治']"
1979,分裂,42,"['扩张', '更加', '不择手段', '从', '制造', '干涉内政', '策动', '政变', '到', '利用']"
1979,分裂,43,"['我们', '的', '民族', '陷于', '长久']"
1979,分裂,44,"['插手', '下', '清华大学', '的', '群众', '成', '了', '势', '不共立', '的']"
1979,分裂,45,"['统一', '的', '功臣', '而', '不作', '国家', '民族', '的', '罪人']"
1979,分裂,46,"['正是', '这种', '和', '破坏活动', '使', '今天', '的']"
1979,分裂,47,"['主要', '人物', '玩弄', '种种', '卑劣手段', '干部', '群众', '队伍', '煽动', '武斗']"
1979,分裂,48,"['他们', '强烈', '谴责', '不结盟运动', '的', '所有', '阴谋']"
1979,分裂,49,"['立场', '向往', '统一', '而', '不是', '那么', '可以', '考虑', '我们', '和']"
1979,分裂,50,"['的', '国家', '才', '免于', '被', '大', '流血', '并', '终于', '战胜']"
1979,阴谋,1,"['背后', '都', '有', '大国', '的']"
