Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.7677773,0.72953117,0.6851577,0.7128161,0.67053777,0.7137697,0.6354653,0.6769416,1.302460972865345,1.370743352139654,1.459517971187397,1.402886344841196,1.491340301839409,1.4010121696177424,1.5736499889929398,1.4772323623922985
1980,0.760335,0.70841575,0.6763377,0.7100771,0.68848723,0.69375783,0.6021487,0.6674386,1.3152096943433071,1.4116004686146957,1.4785512798729257,1.4082977611988534,1.4524597609242362,1.4414251685557369,1.6607193216568097,1.498265099758327
1981,0.74132574,0.6901429,0.6853392,0.6801849,0.6990802,0.71784586,0.6541235,0.69688547,1.3489346873803507,1.448975215389461,1.4591314518140588,1.470188472107658,1.4304509822980027,1.393056726661909,1.5287633341355054,1.434956026438363
1982,0.76348203,0.73526424,0.6917908,0.70511836,0.71507794,0.7327218,0.66904485,0.6991375,1.3097885152457591,1.3600552608054988,1.4455236645125538,1.4182016231213002,1.39844896443841,1.364774451087413,1.4946681027839472,1.4303337860065075
1983,0.7286317,0.7055452,0.6961044,0.71582687,0.7258731,0.7242534,0.65987027,0.7014787,1.3724355308407088,1.4173436633549277,1.4365661091899489,1.3969858401399815,1.3776512485907113,1.380732182718792,1.5154493998890413,1.4255599947658482
1984,0.74098,0.69968516,0.6766031,0.69600403,0.70660293,0.6626881,0.64574987,0.70585656,1.3495640377869849,1.4292142557707712,1.4779714004719722,1.4367732835717362,1.4152219812515237,1.5090055721047042,1.5485872334808797,1.416718430224919
1985,0.7717025,0.70134526,0.66295016,0.67014277,0.72320384,0.7066585,0.6397875,0.6988494,1.295836107459477,1.4258312560589823,1.5084090225380038,1.4922193374976542,1.3827360249401917,1.4151107284373623,1.5630189830250143,1.430923498818354
1986,0.75806975,0.6974721,0.6721413,0.6267287,0.71449804,0.70459074,0.5992976,0.6622495,1.3191398221460415,1.4337491155085953,1.487782375277786,1.595586700337421,1.3995839592741912,1.4192636183303526,1.6686201116012709,1.510004902480068
1987,0.739417,0.70158863,0.6913485,0.64424455,0.7295318,0.6719512,0.6357628,0.6875368,1.3524168063173343,1.425336666354026,1.4464485132775056,1.5522055986743926,1.370742120213443,1.4882033659556464,1.572913645086923,1.4544676514936818
1988,0.7175168,0.7059759,0.6677581,0.6515665,0.7024442,0.66757095,0.65905774,0.6590918,1.3936956291669318,1.4164789675379992,1.4975482727046978,1.534762747414072,1.4236006305611733,1.4979681217344814,1.5173177474058877,1.5172393959878727
1989,0.6886464,0.7063935,0.688841,0.64516574,0.71757376,0.69013846,0.6622728,0.70330966,1.4521241012192856,1.4156416046960525,1.4517138517348265,1.549989306255448,1.3935849567526577,1.4489846010770555,1.5099517653257186,1.42184881527119
1990,0.73833394,0.69015294,0.6892996,0.68347466,0.74513423,0.7412225,0.62753886,0.6803645,1.3544006920699032,1.4489541918904691,1.450748011505528,1.4631120342009918,1.3420400698232613,1.3491225629540875,1.5935268140179544,1.4698004016252135
1991,0.74394333,0.7102008,0.69666046,0.66356385,0.74037224,0.7491131,0.62712175,0.69436294,1.3441884009179172,1.4080525097707195,1.4354194888220189,1.5070139877338526,1.3506719258762208,1.3349119416627837,1.5945867058783387,1.4401690307642137
