Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.77646637,1.2878857850313934
1979,欺凌,0.7535516,1.3270491322205469
1979,精神病,0.6995946,1.42939922043068
1979,创伤,0.75942695,1.3167823424563243
1979,分裂,0.7523885,1.3291006310393803
1979,阴谋,0.74161327,1.3484116884095956
1979,主权,0.8029689,1.245378215759796
1979,恐怖主义,0.7058803,1.4166708183079104
1980,偏见,0.7728129,1.293974254586099
1980,欺凌,0.74604917,1.340394233974198
1980,精神病,0.65292484,1.5315698612622066
1980,创伤,0.7587413,1.317972245246048
1980,分裂,0.74299026,1.3459126721939
1980,阴谋,0.7269886,1.375537362326077
1980,主权,0.79858345,1.252217288735556
1980,恐怖主义,0.73569775,1.3592538580697013
1981,偏见,0.7315996,1.366867833802678
1981,欺凌,0.78215396,1.2785206570217595
1981,精神病,0.7156335,1.3973632926209474
1981,创伤,0.7479323,1.3370193801161632
1981,分裂,0.745904,1.34065504663385
1981,阴谋,0.73841166,1.3542581292380058
1981,主权,0.8007475,1.2488331000749275
1981,恐怖主义,0.7538704,1.3264878994820226
1982,偏见,0.7796329,1.2826549093391701
1982,欺凌,0.78226864,1.2783332279308062
1982,精神病,0.71922165,1.3903919575268364
1982,创伤,0.7613449,1.3134651421470873
1982,分裂,0.75282305,1.3283333894155116
1982,阴谋,0.75960773,1.3164689582311129
1982,主权,0.7977216,1.2535701295351576
1982,恐怖主义,0.7613438,1.3134670959081685
1983,偏见,0.7577217,1.3197457203605187
1983,欺凌,0.7813239,1.279878917704929
1983,精神病,0.7067549,1.4149176293582562
1983,创伤,0.7627357,1.311070096686756
1983,分裂,0.7477389,1.3373652259386366
1983,阴谋,0.7560044,1.3227436363147544
1983,主权,0.7859624,1.2723254909029937
1983,恐怖主义,0.7903923,1.2651945442515269
1984,偏见,0.7467831,1.33907694193787
1984,欺凌,0.71942824,1.3899926951136632
1984,精神病,0.68173236,1.4668513096006137
1984,创伤,0.753941,1.3263637348979538
1984,分裂,0.7260403,1.377334005969164
1984,阴谋,0.74937946,1.3344374361155351
1984,主权,0.7858835,1.2724532548012932
1984,恐怖主义,0.7656537,1.306073439664419
1985,偏见,0.75247955,1.3289397641667258
1985,欺凌,0.7558884,1.3229466105616887
1985,精神病,0.67794174,1.4750530047762547
1985,创伤,0.7288958,1.3719382423944966
1985,分裂,0.7250243,1.3792641481684025
1985,阴谋,0.7405566,1.3503356841229064
1985,主权,0.79014134,1.2655963486842403
1985,恐怖主义,0.7660808,1.3053453425322283
1986,偏见,0.7303198,1.3692631676541063
1986,欺凌,0.7562861,1.3222509580620057
1986,精神病,0.65602005,1.5243436647922668
1986,创伤,0.6938776,1.4411764150053594
1986,分裂,0.7278953,1.373823918443879
1986,阴谋,0.73232526,1.3655134682073538
1986,主权,0.7786439,1.284284115170869
1986,恐怖主义,0.76856244,1.3011304651700615
1987,偏见,0.7574139,1.3202820395242199
1987,欺凌,0.73071307,1.3685262270836802
1987,精神病,0.6817151,1.4668885026082685
1987,创伤,0.68190676,1.4664761504679387
1987,分裂,0.7302865,1.3693256396783133
1987,阴谋,0.7410192,1.349492718085616
1987,主权,0.77720195,1.2866668686204803
1987,恐怖主义,0.7594523,1.3167384204129893
1988,偏见,0.7655597,1.3062339029395917
1988,欺凌,0.73259777,1.3650055231690372
1988,精神病,0.6983057,1.4320375198047461
1988,创伤,0.70536774,1.417700211769253
1988,分裂,0.7363202,1.3581048072340876
1988,阴谋,0.7224704,1.3841397464013407
1988,主权,0.7671994,1.3034421087878851
1988,恐怖主义,0.76273113,1.3110779857468895
1989,偏见,0.74825513,1.3364425515535816
1989,欺凌,0.76737404,1.303145466973218
1989,精神病,0.6919776,1.4451334420607749
1989,创伤,0.70672315,1.414981234049828
1989,分裂,0.75375754,1.3266865692130914
1989,阴谋,0.7423521,1.347069621333544
1989,主权,0.7737865,1.2923461693024865
1989,恐怖主义,0.7753993,1.289658070133066
1990,偏见,0.73688066,1.3570718492225795
1990,欺凌,0.78776544,1.2694133875422946
1990,精神病,0.6819698,1.4663405454940346
1990,创伤,0.7338456,1.3626844822962136
1990,分裂,0.73748505,1.3559596881777387
1990,阴谋,0.7398343,1.3516539965002627
1990,主权,0.7725077,1.2944854334263671
1990,恐怖主义,0.787479,1.2698751599433986
1991,偏见,0.76621306,1.3051200155084566
1991,欺凌,0.8009324,1.2485448095080185
1991,精神病,0.67991036,1.4707821151620633
1991,创伤,0.7206488,1.3876384239799888
1991,分裂,0.7464442,1.3396848231801697
1991,阴谋,0.7515317,1.3306158252178473
1991,主权,0.7800019,1.2820481940600295
1991,恐怖主义,0.77313364,1.2934374525384646
1992,偏见,0.73347163,1.363379245176916
1992,欺凌,0.7375715,1.355800800297647
1992,精神病,0.66477877,1.5042598329062038
1992,创伤,0.66587275,1.5017884362973573
1992,分裂,0.7486089,1.3358110184159924
1992,阴谋,0.72735775,1.374839281824739
1992,主权,0.78054184,1.2811613065706915
1992,恐怖主义,0.7968877,1.2548819680412746
1993,偏见,0.753652,1.3268723907960198
1993,欺凌,0.7947941,1.2581875253479113
1993,精神病,0.683889,1.4622256553718735
1993,创伤,0.71675164,1.3951834234684344
1993,分裂,0.74802893,1.3368466840581192
1993,阴谋,0.7308424,1.3682840298263645
1993,主权,0.7729865,1.2936837016844043
1993,恐怖主义,0.7655331,1.3062792628248001
1994,偏见,0.76941156,1.2996945288499497
1994,欺凌,0.7759253,1.2887838913075307
1994,精神病,0.65202266,1.5336890290585399
1994,创伤,0.7328389,1.364556331327287
1994,分裂,0.7468008,1.3390451997160562
1994,阴谋,0.74066937,1.3501300862601064
1994,主权,0.77296203,1.2937246026823717
1994,恐怖主义,0.75737095,1.3203569553276981
1995,偏见,0.75845265,1.3184738623800407
1995,欺凌,0.7913676,1.263635271517657
1995,精神病,0.65227056,1.5331061498541023
1995,创伤,0.7344215,1.361615926829973
1995,分裂,0.7519916,1.3298020358700307
1995,阴谋,0.719801,1.3892728516791255
1995,主权,0.78242886,1.278071464734686
1995,恐怖主义,0.749333,1.334520123814383
1996,偏见,0.7506955,1.3320979872216472
1996,欺凌,0.78720844,1.2703115869066839
1996,精神病,0.70292604,1.4226247763318716
1996,创伤,0.70141226,1.4256950673217341
1996,分裂,0.76349646,1.309763770122516
1996,阴谋,0.7014192,1.4256810137373308
1996,主权,0.78309506,1.2769841731963125
1996,恐怖主义,0.75239027,1.329097472283561
1997,偏见,0.7542021,1.3259045070215054
1997,欺凌,0.78474313,1.2743023309246946
1997,精神病,0.69718397,1.4343416484807905
1997,创伤,0.710295,1.4078657032402984
1997,分裂,0.7546206,1.3251692102473904
1997,阴谋,0.72390926,1.3813886033161134
1997,主权,0.7778537,1.2855887486954243
1997,恐怖主义,0.7790582,1.2836011184943599
1998,偏见,0.74940395,1.3343938142571903
1998,欺凌,0.7649966,1.3071953723526557
1998,精神病,0.67860204,1.4736177337075198
1998,创伤,0.6840293,1.4619257209783771
1998,分裂,0.74781084,1.3372365653173905
1998,阴谋,0.7423444,1.3470836820701833
1998,主权,0.7805819,1.2810955658109417
1998,恐怖主义,0.78528786,1.2734183917593882
1999,偏见,0.74588585,1.3406877223130014
1999,欺凌,0.78044385,1.2813221650911604
1999,精神病,0.66942227,1.4938254170895273
1999,创伤,0.6909001,1.4473872826186356
1999,分裂,0.7591057,1.3173396316490364
1999,阴谋,0.7111166,1.406239121945438
1999,主权,0.770403,1.2980218979672142
1999,恐怖主义,0.74946415,1.3342866291042683
2000,偏见,0.75147283,1.3307200993176984
2000,欺凌,0.7964254,1.25561037767289
2000,精神病,0.6823198,1.4655883806902634
2000,创伤,0.695744,1.437310320444026
2000,分裂,0.7629315,1.3107336193415136
2000,阴谋,0.729674,1.3704750684901965
2000,主权,0.7763744,1.2880383490688694
2000,恐怖主义,0.78379244,1.275847984635572
2001,偏见,0.7406159,1.3502275527056395
2001,欺凌,0.77881736,1.2839980937347102
2001,精神病,0.6618203,1.5109841921944986
2001,创伤,0.7034539,1.4215572651342594
2001,分裂,0.75709474,1.3208386560102385
2001,阴谋,0.7201514,1.3885968507555286
2001,主权,0.7732206,1.2932919812073072
2001,恐怖主义,0.7749976,1.29032658986078
2002,偏见,0.7494988,1.3342249789116913
2002,欺凌,NA,NA
2002,精神病,0.6901781,1.4489013855540251
2002,创伤,0.70189595,1.4247125899934272
2002,分裂,0.7648564,1.3074349675007975
2002,阴谋,0.6946288,1.4396178733418585
2002,主权,0.7834919,1.2763373659252513
2002,恐怖主义,0.77524036,1.2899225187648364
2003,偏见,0.77360183,1.2926546463737063
2003,欺凌,NA,NA
2003,精神病,0.63584745,1.5727042722223523
2003,创伤,0.7266448,1.3761881743507978
2003,分裂,0.7490286,1.3350624651109309
2003,阴谋,0.7104183,1.4076214289627658
2003,主权,0.77463853,1.2909246785887467
2003,恐怖主义,0.76809245,1.3019266046289075
2004,偏见,0.70487726,1.4186867140012775
2004,欺凌,0.7844228,1.2748226862782837
2004,精神病,0.6177453,1.618790190626325
2004,创伤,0.63932663,1.5641456962866631
2004,分裂,0.7183641,1.392051708616305
2004,阴谋,0.67537683,1.4806548757680627
2004,主权,0.7204511,1.3880192243606524
2004,恐怖主义,0.7106636,1.4071354949950754
2005,偏见,0.7385263,1.354047947546551
2005,欺凌,0.77872217,1.2841550457374362
2005,精神病,0.6846612,1.4605763931166011
2005,创伤,0.70432633,1.4197964141229715
2005,分裂,0.7828144,1.2774420361571517
2005,阴谋,0.71063596,1.4071902579435358
2005,主权,0.77312726,1.293448122388823
2005,恐怖主义,0.77308875,1.2935125441037227
