Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.31401172,0.3059724,0.29186413,0.297914,,0.2909903,,0.30878526,3.184594482884947,3.268268669771193,3.4262518335173877,3.3566734208087263,,3.4365407505560723,,3.2384965554862157
1980,0.31654906,0.30521446,0.28618792,0.29077053,0.29206914,,0.26780012,0.30349573,3.1590679542036133,3.276384692643452,3.4942076189073834,3.4391380639236457,3.4238468670173936,,3.734128239623917,3.2949392195923908
1981,0.32002386,0.29588664,0.29772547,0.3017177,0.28788504,0.32141712,0.27802986,0.31791455,3.124766965546149,3.3796727498784285,3.3587989760569785,3.3143564488462327,3.473608770516301,3.111221923771872,3.596735988570858,3.14549936151516
1982,0.32698727,0.31331986,0.3043506,0.30096903,0.30383405,0.3315507,0.27431902,0.3131122,3.0582230634845176,3.191626582404904,3.285684181995223,3.3226009509008207,3.2912703400369927,3.016130074665202,3.645390645718199,3.193743336142441
1983,0.32279253,0.31266847,0.3099117,0.30399343,0.3037908,0.31051302,0.26808557,0.322711,3.097965122720457,3.19827577086137,3.22672556770608,3.2895447371442117,3.29173883664223,3.2204768785905253,3.730152291283858,3.098747883340672
1984,0.3125637,0.2890611,0.28279653,0.2832947,0.28540778,0.28973198,0.27187008,0.30716705,3.199347972238858,3.4594762230313774,3.5361112571854987,3.529892982100494,3.5037587075960226,3.451465738003858,3.678227528011676,3.255557487394749
1985,0.3150288,0.2914511,0.2955623,0.28935653,0.2907391,0.30043316,0.25719267,0.3041119,3.174313086129734,3.4311073517640414,3.383381472509245,3.455944128832939,3.4395099832557454,3.328527396064464,3.888135672565578,3.2882633226652835
1986,0.30891353,0.30402735,0.28455907,0.27933386,0.2932092,,0.26585376,0.29937842,3.2371518447205894,3.289177779858089,3.51420882933339,3.5799455215995835,3.4105342417132425,,3.761466417175939,3.3402540627006814
1987,0.31167144,0.31020772,0.28709346,0.28110123,0.2910191,,0.26919392,0.29805142,3.2085070527152624,3.2236463530436232,3.48318626989955,3.557437338001601,3.4362004390996765,,3.714794187175877,3.355125805098837
1988,0.30833605,0.30746093,0.2961216,0.28419366,0.2978455,,0.2767102,0.3029277,3.243214675062664,3.2524457245293226,3.3769911048417742,3.518727276140192,3.357445244599355,,3.6138890283035146,3.301117696405562
1989,0.3072341,0.2944612,0.2912894,0.28679556,0.29175368,0.30658284,0.28077334,0.31827965,3.254846947337421,3.396033268835779,3.4330121085936742,3.4868043704930822,3.42754888872704,3.2617611786593708,3.5615916885234244,3.141891063722525
1990,0.32189786,0.28887904,0.2961732,0.277425,0.30173975,0.31841072,0.2750078,0.3081868,3.1065754413902287,3.461656514503199,3.3764028962591075,3.6045779290605338,3.314114207365626,3.1405977354554544,3.63626031144601,3.2447853130340074
1991,0.3156662,0.29314625,0.28366497,0.27602533,0.2886903,0.3140427,0.26692754,0.316798,3.16790332326284,3.4112665300035907,3.525285460501689,3.622855981722056,3.4639196542855726,3.1842804818285586,3.7463350498325143,3.156585569282041
1992,0.31523326,0.2933679,0.29535982,0.27319646,0.30289432,,0.26457387,0.31471232,3.172254091312736,3.4086893131539844,3.3857008701060507,3.6603695535877137,3.301481475723738,,3.779662716136048,3.177505136603784
1993,0.30597883,0.301756,0.29798248,0.28685445,0.28321558,,0.27395934,0.30425248,3.268199910664768,3.313935822430476,3.3559019517968105,3.486088551784382,3.5308791685441165,,3.650176719191084,3.2867440054720243
1994,0.31905618,0.30105785,0.29001093,0.285035,0.2891923,0.32323435,0.26467922,0.29652563,3.1342442270970485,3.321620796242263,3.4481459132485037,3.5083409067241256,3.45790685866387,3.0937306062311767,3.77815828358477,3.3723897959636973
1995,0.3153848,0.29154482,0.28543428,0.28562948,0.28781036,0.3031675,0.25231272,0.2913118,3.1707297989767693,3.4300042902612704,3.5034334855811773,3.5010391652454813,3.474510145834561,3.2985066865317694,3.9633356602304928,3.432747998373778
1996,0.3162083,0.29471898,0.2900567,0.27578786,0.28286427,0.3285113,0.2606832,0.29762402,3.162472302569511,3.3930627654935805,3.4476017314024654,3.625975412542057,3.535264424976426,3.0440353406193044,3.836073696390234,3.359943844780083
1997,0.29316145,0.2955549,0.2899016,0.26587817,0.28770632,0.29840362,0.2697239,0.2847903,3.411089670226269,3.3834660811236907,3.4494461260486267,3.761121107683768,3.4757665927546624,3.351165772008608,3.70749506763876,3.511355458473791
1998,0.3212342,0.30223924,0.2901316,0.26583531,0.294431,0.3178234,0.2689824,0.29292348,3.112993607562824,3.3086372325263427,3.446711783351982,3.761727444079582,3.396381484220046,3.146401329884595,3.717715215645536,3.413860845400407
1999,0.30963933,0.29398024,0.299477,0.25750968,0.28416404,0.30470628,0.2463152,0.28020313,3.2295638441344043,3.401589158524544,3.339154470577078,3.88334918294362,3.5190940961176254,3.281849047841768,4.059838839032197,3.568839457152834
