Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.30091426,3.3232057777121478
1979,欺凌,0.2909903,3.4365407505560723
1979,精神病,NA,NA
1979,创伤,0.29342422,3.408034973297434
1979,分裂,0.27961645,3.5763275615513392
1979,阴谋,0.29208657,3.4236425009838483
1979,主权,0.3118589,3.206578437361194
1979,恐怖主义,NA,NA
1980,偏见,0.29406717,3.4005835664359405
1980,欺凌,NA,NA
1980,精神病,0.27025843,3.70016214604436
1980,创伤,0.30172902,3.3142320501492146
1980,分裂,0.28920713,3.4577294055005776
1980,阴谋,0.29248092,3.4190264938025976
1980,主权,0.30548763,3.273454938234991
1980,恐怖主义,0.29206914,3.4238468670173936
1981,偏见,0.29922068,3.3420149837951114
1981,欺凌,0.32141712,3.111221923771872
1981,精神病,0.27802986,3.596735988570858
1981,创伤,0.29843736,3.3507869464592
1981,分裂,0.294758,3.392613693409098
1981,阴谋,0.30947614,3.231266905334748
1981,主权,0.3172149,3.152436976968923
1981,恐怖主义,0.2892185,3.457593655437515
1982,偏见,0.32133254,3.1120408386802203
1982,欺凌,0.3315507,3.016130074665202
1982,精神病,0.27431902,3.645390645718199
1982,创伤,0.2984405,3.350751812387476
1982,分裂,0.2964736,3.372981692908617
1982,阴谋,0.31848955,3.139820427864972
1982,主权,0.331225,3.019095709968277
1982,恐怖主义,0.30383405,3.2912703400369927
1983,偏见,0.3084503,3.2420132610297228
1983,欺凌,0.31051302,3.2204768785905253
1983,精神病,0.26808557,3.730152291283858
1983,创伤,0.30305216,3.2997620256505646
1983,分裂,0.2969682,3.3673640053152165
1983,阴谋,0.31599426,3.164614418851707
1983,主权,0.3190228,3.134572155653409
1983,恐怖主义,0.3037908,3.29173883664223
1984,偏见,0.29317573,3.4109235774489965
1984,欺凌,0.28973198,3.451465738003858
1984,精神病,0.27187008,3.678227528011676
1984,创伤,0.28496897,3.5091539694949954
1984,分裂,0.28165358,3.5504607794152534
1984,阴谋,0.30142814,3.317540302049089
1984,主权,0.32002616,3.124744559099507
1984,恐怖主义,0.28710538,3.483041644202026
1985,偏见,0.30130026,3.3189483755572105
1985,欺凌,0.30043316,3.328527396064464
1985,精神病,0.25719267,3.888135672565578
1985,创伤,0.28517026,3.506677064428431
1985,分裂,0.28359574,3.526146045763015
1985,阴谋,0.3045471,3.2835643349262957
1985,主权,0.31567115,3.1678536760092317
1985,恐怖主义,0.29956347,3.3381907625012412
1986,偏见,0.3016073,3.315569498101927
1986,欺凌,NA,NA
1986,精神病,0.26585376,3.761466417175939
1986,创伤,0.27651653,3.6164203676190447
1986,分裂,0.29101348,3.4362669476216188
1986,阴谋,0.30751166,3.25190923884459
1986,主权,0.32247773,3.10098934833022
1986,恐怖主义,0.2870034,3.4842793053046677
1987,偏见,0.30461642,3.282817108819867
1987,欺凌,NA,NA
1987,精神病,0.26919392,3.7147941871758774
1987,创伤,0.2849373,3.5095441238903122
1987,分裂,0.282551,3.5391841944773237
1987,阴谋,0.3024194,3.306666235690703
1987,主权,0.31387246,3.1860074980449706
1987,恐怖主义,0.28823528,3.469387961893678
1988,偏见,0.30657238,3.261872473840905
1988,欺凌,NA,NA
1988,精神病,0.2767102,3.6138890283035146
1988,创伤,0.28064376,3.5632361677088773
1988,分裂,0.2902249,3.4456036208254144
1988,阴谋,0.29383433,3.4032783187368376
1988,主权,0.31184953,3.2066746598363483
1988,恐怖主义,0.30389848,3.290572524200656
1989,偏见,0.30028415,3.3301791290553346
1989,欺凌,0.30658284,3.2617611786593708
1989,精神病,0.2698424,3.7058670207925246
1989,创伤,0.28311306,3.5321577591203424
1989,分裂,0.2898209,3.450406672606135
1989,阴谋,0.29800397,3.355659975634426
1989,主权,0.32346958,3.0914808199643296
1989,恐怖主义,0.2943839,3.3969247465424024
1990,偏见,0.30124554,3.319551216383101
1990,欺凌,0.31841072,3.1405977354554544
1990,精神病,0.2750078,3.63626031144601
1990,创伤,0.27438465,3.644518775807632
1990,分裂,0.28868976,3.463926090922915
1990,阴谋,0.30326492,3.2974470419370037
1990,主权,0.31133527,3.2119714994565736
1990,恐怖主义,0.30173975,3.314114207365626
1991,偏见,0.29094067,3.437126863626777
1991,欺凌,0.3140427,3.1842804818285586
1991,精神病,0.26564658,3.7644000978278185
1991,创伤,0.27492672,3.6373328592597733
1991,分裂,0.2878722,3.473763762259058
1991,阴谋,0.30880907,3.238246837239417
1991,主权,0.309812,3.227763837005123
1991,恐怖主义,0.2886903,3.4639196542855726
1992,偏见,0.29527855,3.3866327328161434
1992,欺凌,NA,NA
1992,精神病,0.26457387,3.779662716136048
1992,创伤,0.2762255,3.6202304773433713
1992,分裂,0.2877741,3.4749480535404786
1992,阴谋,0.30766362,3.2503030470932375
1992,主权,0.315633,3.1682365384727964
1992,恐怖主义,0.30157542,3.315920085319065
1993,偏见,0.29685763,3.3686182026523936
1993,欺凌,NA,NA
1993,精神病,0.27395934,3.650176719191084
1993,创伤,0.2861881,3.4942054356823613
1993,分裂,0.30267766,3.3038447439425287
1993,阴谋,0.3120552,3.2045612408179482
1993,主权,0.30989072,3.226944029869765
1993,恐怖主义,0.28321558,3.5308791685441165
1994,偏见,0.30541602,3.2742225090190233
1994,欺凌,0.32323435,3.0937306062311767
1994,精神病,0.26467922,3.7781582835847702
1994,创伤,0.28871855,3.4635806918546
1994,分裂,0.2964129,3.373672501997292
1994,阴谋,0.2980845,3.3547534626880715
1994,主权,0.30755413,3.2514602021511263
1994,恐怖主义,0.2891923,3.45790685866387
1995,偏见,0.2943078,3.3978032736320434
1995,欺凌,0.3010887,3.321280508687639
1995,精神病,0.25231272,3.9633356602304928
1995,创伤,0.2895078,3.454138293459004
1995,分裂,0.28779656,3.4746767320606615
1995,阴谋,0.2962119,3.3759616195311866
1995,主权,0.30781627,3.248691206939953
1995,恐怖主义,0.27985027,3.573339359463152
1996,偏见,0.2966213,3.3713021424081018
1996,欺凌,0.3285113,3.0440353406193044
1996,精神病,0.2606832,3.836073696390234
1996,创伤,0.26778433,3.7343484967921676
1996,分裂,0.29735047,3.3630349150171597
1996,阴谋,0.29670697,3.370328593265014
1996,主权,0.30386704,3.290913003283809
1996,恐怖主义,0.28494138,3.5094938357163015
1997,偏见,0.29139167,3.4318070848915907
1997,欺凌,0.29840362,3.351165772008608
1997,精神病,0.2697239,3.70749506763876
1997,创伤,0.2651317,3.771710266599403
1997,分裂,0.2933228,3.4092133123625827
1997,阴谋,0.28632542,3.4925295241096865
1997,主权,0.2914192,3.4314827999573754
1997,恐怖主义,0.2817062,3.5497974502385192
1998,偏见,0.31352144,3.1895744823638403
1998,欺凌,0.3178234,3.146401329884595
1998,精神病,0.2689824,3.717715215645536
1998,创伤,0.26699,3.7454585476594926
1998,分裂,0.29008254,3.4472946420911987
1998,阴谋,0.29249635,3.4188460417284583
1998,主权,0.3179294,3.145352523542502
1998,恐怖主义,0.28491297,3.509843680390975
1999,偏见,0.29636043,3.374269599805153
1999,欺凌,0.30711734,3.256084434692253
1999,精神病,0.24328557,4.110395919105843
1999,创伤,0.25884745,3.863279388505804
1999,分裂,0.28824884,3.469224751877218
1999,阴谋,0.2887903,3.4627203542054987
1999,主权,0.29908526,3.343528202896159
1999,恐怖主义,0.27480194,3.6389845027932974
2000,偏见,0.28999895,3.4482883642062534
2000,欺凌,0.3130474,3.194404333229755
2000,精神病,0.26649404,3.752429195254425
