Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.30701134,3.2572087165953296
1979,欺凌,0.2909903,3.4365407505560723
1979,精神病,NA,NA
1979,创伤,0.29234812,3.4205795867812827
1979,分裂,0.28762567,3.476741135429312
1979,阴谋,0.295812,3.380525345856114
1979,主权,0.31588212,3.165737936994569
1979,恐怖主义,NA,NA
1980,偏见,0.30342,3.295761571997329
1980,欺凌,NA,NA
1980,精神病,0.2657644,3.762731406852515
1980,创伤,0.2987324,3.34747754244001
1980,分裂,0.28928146,3.456840988288987
1980,阴谋,0.29776052,3.358403632802315
1980,主权,0.32027495,3.122317255507859
1980,恐怖主义,0.29403827,3.400917893428399
1981,偏见,0.29673055,3.3700608388886795
1981,欺凌,0.32141712,3.111221923771872
1981,精神病,0.27802986,3.596735988570858
1981,创伤,0.3018938,3.312423104924789
1981,分裂,0.2911539,3.434609576903802
1981,阴谋,0.30385026,3.2910947285391834
1981,主权,0.3205583,3.1195572543043273
1981,恐怖主义,0.28967926,3.452093889078246
1982,偏见,0.31486246,3.1759899237399303
1982,欺凌,0.3315507,3.016130074665202
1982,精神病,0.27379474,3.652371109826933
1982,创伤,0.2996683,3.33702283395656
1982,分裂,0.2984903,3.350192777878509
1982,阴谋,0.31371474,3.1876092003815124
1982,主权,0.3257335,3.0699942167301644
1982,恐怖主义,0.30383405,3.2912703400369927
1983,偏见,0.30691734,3.258206269553331
1983,欺凌,0.31051302,3.2204768785905253
1983,精神病,0.26808557,3.730152291283858
1983,创伤,0.30275962,3.3029504001751366
1983,分裂,0.29599994,3.378379015133743
1983,阴谋,0.3129563,3.19533426638102
1983,主权,0.31139585,3.2113465479139007
1983,恐怖主义,0.3037908,3.29173883664223
1984,偏见,0.2913109,3.4327585339074917
1984,欺凌,0.28973198,3.451465738003858
1984,精神病,0.27187008,3.678227528011676
1984,创伤,0.28570545,3.5001082751867068
1984,分裂,0.28517085,3.506669734989308
1984,阴谋,0.30732363,3.253898780749161
1984,主权,0.3117914,3.207272655671492
1984,恐怖主义,0.2870532,3.4836748319932904
1985,偏见,0.29759124,3.3603139751069175
1985,欺凌,0.30043316,3.328527396064464
1985,精神病,0.25719267,3.888135672565578
1985,创伤,0.28451446,3.514759884571886
1985,分裂,0.2881072,3.470930426812194
1985,阴谋,0.3039082,3.2904673287984165
1985,主权,0.3175188,3.1494198089516745
1985,恐怖主义,0.292238,3.4218685115461334
1986,偏见,0.29905698,3.343844406905766
1986,欺凌,NA,NA
1986,精神病,0.26585376,3.761466417175939
1986,创伤,0.2818401,3.5481113217490905
1986,分裂,0.2851781,3.506580684751545
1986,阴谋,0.3014751,3.317023444254577
1986,主权,0.313725,3.1875050347377907
1986,恐怖主义,0.2914233,3.431434723966546
1987,偏见,0.3036259,3.2935265476671316
1987,欺凌,NA,NA
1987,精神病,0.26923165,3.7142736012016937
1987,创伤,0.28050014,3.565060561369219
1987,分裂,0.2825254,3.539504887088885
1987,阴谋,0.29846644,3.3504603953001095
1987,主权,0.31079066,3.2175999318783584
1987,恐怖主义,0.29373652,3.404411575215586
1988,偏见,0.30305982,3.299678631133838
1988,欺凌,NA,NA
1988,精神病,0.2767102,3.6138890283035146
1988,创伤,0.2789471,3.5849093009538233
1988,分裂,0.28778416,3.47482642143052
1988,阴谋,0.29650554,3.372618258481316
1988,主权,0.30373546,3.2923386165036135
1988,恐怖主义,0.29736805,3.3628360587916477
1989,偏见,0.30066973,3.3259084676257893
1989,欺凌,0.30658284,3.2617611786593708
1989,精神病,0.26863405,3.7225362755125078
1989,创伤,0.28854558,3.465656983698484
1989,分裂,0.29356706,3.406376707074866
1989,阴谋,0.30354387,3.294416764962482
1989,主权,0.310381,3.2218467471519467
1989,恐怖主义,0.2933738,3.4086207514817923
1990,偏见,0.29330385,3.4094336271460337
1990,欺凌,0.31841072,3.1405977354554544
1990,精神病,0.28043678,3.5658660238257656
1990,创伤,0.27566275,3.627621069510634
1990,分裂,0.28939283,3.455510641567011
1990,阴谋,0.30560473,3.2722007046150856
1990,主权,0.31370166,3.1877421425884904
1990,恐怖主义,0.30173975,3.314114207365626
1991,偏见,0.29544622,3.384710794237774
1991,欺凌,0.3140427,3.1842804818285586
1991,精神病,0.2656314,3.7646150709892425
1991,创伤,0.27605027,3.622528612036866
1991,分裂,0.2925512,3.4182052076379614
1991,阴谋,0.3117527,3.207670625776419
1991,主权,0.31346348,3.190164296955464
1991,恐怖主义,0.2886903,3.4639196542855726
1992,偏见,0.2985658,3.3493453817978986
1992,欺凌,NA,NA
1992,精神病,0.26457387,3.779662716136048
1992,创伤,0.2750433,3.6357910490520995
1992,分裂,0.28977516,3.450951385448535
1992,阴谋,0.31312364,3.193626610712455
1992,主权,0.32241005,3.101640315295787
1992,恐怖主义,0.30249476,3.3058423415080136
1993,偏见,0.30281493,3.302347073055295
1993,欺凌,NA,NA
1993,精神病,0.27343252,3.6572094240432538
1993,创伤,0.28743452,3.479053266757231
1993,分裂,0.2961451,3.3767229704877164
1993,阴谋,0.30428243,3.286420482459199
1993,主权,0.31193498,3.205796307773502
1993,恐怖主义,0.28321558,3.5308791685441165
1994,偏见,0.30497402,3.2789678332256775
1994,欺凌,0.32323435,3.0937306062311767
1994,精神病,0.2713835,3.6848224803563405
1994,创伤,0.28701082,3.484189217884665
1994,分裂,0.29151592,3.430344427540913
1994,阴谋,0.29805875,3.355043278841162
1994,主权,0.31137863,3.2115242024579893
1994,恐怖主义,0.2891923,3.45790685866387
1995,偏见,0.2927693,3.415658527309647
1995,欺凌,0.30221722,3.308878347676651
1995,精神病,0.25231272,3.9633356602304928
1995,创伤,0.28885165,3.4619847418345353
1995,分裂,0.2917575,3.427504073900915
1995,阴谋,0.28853002,3.4658438431968066
1995,主权,0.30684075,3.2590195658121845
1995,恐怖主义,0.28472367,3.512177271709585
1996,偏见,0.29477933,3.3923681091577493
1996,欺凌,0.3285113,3.0440353406193044
1996,精神病,0.2606832,3.836073696390234
1996,创伤,0.27307612,3.6619826400204127
1996,分裂,0.29057774,3.441419847918565
1996,阴谋,0.2894313,3.4550512922398884
1996,主权,0.30603656,3.2675834362900034
1996,恐怖主义,0.2810143,3.5585378515315336
1997,偏见,0.28984535,3.450115756401973
1997,欺凌,0.29840362,3.351165772008608
1997,精神病,0.2697239,3.70749506763876
1997,创伤,0.26544407,3.7672719515652324
1997,分裂,0.2885477,3.4656315694996125
1997,阴谋,0.2867035,3.487923969766448
1997,主权,0.30194244,3.3118895343012644
1997,恐怖主义,0.28489426,3.510074256247604
1998,偏见,0.30499667,3.2787243294159953
1998,欺凌,0.3178234,3.146401329884595
1998,精神病,0.2689824,3.717715215645536
