Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['如果', '要', '洗烫', '只要', '下午', '三时', '前', '交出', '当天', '洗净', '熨平', '送到']"
1979,衣服,2,"['大批', '公安人员', '强迫', '这些', '被俘', '人员', '扔下', '行李', '脱掉']"
1979,衣服,3,"['她', '简直', '难以相信', '这位', '打着', '补丁', '搬', '石头', '拣', '最大', '个', '的', '推车']"
1979,衣服,4,"['毫无', '招架之力', '的', '瘫痪', '人仅', '有', '的', '一身', '替换', '抢走了', '邻居', '给', '我', '的', '钱']"
1979,衣服,5,"['拦路抢劫', '七次', '抢', '得', '手表', '九块', '人民币', '六十元', '以及', '票证', '等物']"
1979,衣服,6,"['就是', '用', '暴力', '例如', '在', '众人', '面前', '扒光', '妇女', '或者', '用', '口头', '书面', '包括', '用', '大字报', '小字报', '的']"
1979,衣服,7,"['街上', '行人', '不论', '男女老少', '穿着', '十分', '整洁', '的', '颜色', '式样', '很', '美观', '具有', '民族风格', '看不见', '奇装异服']"
1979,衣服,8,"['单薄', '的', '紧紧', '贴', '在', '身上', '还', '不住', '往下滴', '着', '水珠']"
1979,衣服,9,"['我们', '需要', '一件', '或', '某种', '其它', '商品', '只能', '和', '商店', '见面', '不', '和', '商店', '见面', '不', '需要', '也', '不', '准许', '买', '的', '人', '到', '生产', '的', '工厂', '或', '纺织厂', '也', '不', '准许', '买', '的', '人', '到', '生产', '的', '工厂', '或', '纺织厂', '见面']"
1979,衣服,10,"['从此', '小', '雷锋', '活跃', '在', '全班', '孩子', '的', '叠', '得', '更', '整齐', '了', '每天', '午睡', '起床', '后']"
1979,衣服,11,"['真实', '基础', '的', '概念化', '的', '产物', '成为', '穿着', '儿童', '讲', '着', '成人', '话', '的', '小', '大人']"
1979,衣服,12,"['这时', '大家', '淋湿', '了', '大口', '大口', '地', '吸气']"
1979,衣服,13,"['还', '以', '做', '为例', '吧', '很多', '人', '冬天', '爱', '穿', '便服']"
1979,衣服,14,"['犯了罪', '我', '是', '来', '抓', '你', '的', '穿', '起', '跟我走', '到', '公安局', '去', '坦白交代', '你', '的', '罪行']"
1979,衣服,15,"['有', '一次', '一位', '送菜', '进城', '的', '农民', '划破', '了', '又', '掉', '了', '扣子', '来到', '门市部', '买']"
1979,衣服,16,"['了', '换衣服', '的', '季节', '才', '想到', '要', '去', '做', '那', '就', '太晚', '了']"
1979,衣服,17,"['有些', '袜子', '实在', '不能', '再补', '了', '我', '也', '不敢', '扔掉', '了', '就要', '查问', '我', '那', '一件', '什么', '什么样', '的', '怎么', '不见', '了']"
1979,衣服,18,"['有人', '为了', '超', '定额', '晚上', '睡觉', '连', '都', '不脱', '打个', '盹', '凌晨', '三点', '半', '就', '偷偷地']"
1979,衣服,19,"['一名', '越军', '下士', '说', '我们', '穿', '的', '胶鞋', '坐', '的', '汽车', '都', '是', '中国', '支援', '的']"
1979,衣服,20,"['助手', '披上', '来', '开门', '吃惊', '地说', '好', '早', '啊', '李老师']"
1979,衣服,21,"['我们', '发', '一寸', '布票', '我', '身上', '穿', '的', '这套', '还是', '去年', '我', '兄弟', '死后', '从', '他', '身上', '脱下来']"
1979,衣服,22,"['后', '逃入', '我国', '境内', '的', '他们', '连', '替换', '的', '都', '没有']"
1979,衣服,23,"['油漆', '一新', '箱子', '上', '叠放', '着', '绸', '被', '毛料']"
1979,衣服,24,"['吃饭', '冒', '着', '烈日', '曝晒', '晚上', '不怕', '露水', '打湿', '和', '蚊虫', '叮咬', '趴在', '豆', '地里', '观察']"
1979,衣服,25,"['抄', '把', '战士', '们', '浸满', '汗水', '沾满', '硝烟', '的', '拿', '去', '接连', '洗', '了', '几百件']"
1979,衣服,26,"['他', '说', '最近', '以来', '群众反映', '做', '很', '不', '方便', '交活', '时间', '较长', '影响', '了', '群众']"
1979,衣服,27,"['印度人', '穿', '的', '就', '和', '中国', '人', '不同', '它', '是', '适合', '印度']"
1979,衣服,28,"['妥善', '的', '安排', '给', '他', '发', '了', '生活费', '和', '藏', '被', '皮鞋', '茶叶', '等', '生活用品', '还给', '他', '供应']"
1979,衣服,29,"['有时', '送到', '外宾', '手里', '还是', '湿', '的', '只得', '自己', '晾干']"
1979,衣服,30,"['干部', '的', '培养', '问题', '为', '牧民', '群众', '解决', '帐篷', '和', '商品', '供应', '问题', '筹划', '孩子', '的', '上学', '问题']"
1979,衣服,31,"['稠密', '的', '时候', '他们', '匍匐前进', '荆棘', '石块', '划破', '了', '和', '皮肉', '他们', '全然不顾', '继续前进']"
1979,衣服,32,"['老百姓', '用', '这样', '的', '布作', '还', '不知', '穿', '多少', '年哩']"
1979,衣服,33,"['每当', '顾客', '前来', '理发', '她', '总是', '帮助', '放', '挂', '帽子']"
1979,衣服,34,"['然后', '他们', '脱', '下', '军装', '换上', '了', '我们', '的']"
1979,衣服,35,"['不少', '尸体', '完好', '成为', '干尸', '毛发', '肌体', '以及', '随身', '大多', '未朽']"
1979,衣服,36,"['盛泽', '的', '名牌产品', '平挺', '滑润', '轻薄', '柔软', '是', '妇女', '的', '佳料']"
1979,衣服,37,"['生产', '本身', '包括', '两种', '一方面', '是', '生活资料', '即', '食物', '住房', '以及', '为此', '所', '必需', '的', '工具', '的', '生产']"
1979,衣服,38,"['第二天', '他', '上街', '给', '孩子', '买', '了', '一身', '新', '换上', '又', '拿出', '粮票', '托人', '把', '孩子', '送回', '家乡']"
1979,衣服,39,"['帽徽', '奖章', '全扒掉', '了', '有', '的', '换上', '老百姓', '的', '溜掉', '了']"
1979,衣服,40,"['的话', '说', '社会', '生产', '一方面', '是', '生活资料', '即', '食物', '住房', '以及', '为此', '所', '必需', '的', '工具', '的', '生产']"
1979,衣服,41,"['他们', '穿', '的', '是', '苏联', '的', '带', '的', '武器', '是', '苏联', '的']"
1979,衣服,42,"['的', '父亲', '四岁', '的', '小琴', '牵', '着', '妈妈', '的', '真是', '寸步难行']"
1979,衣服,43,"['驻', '在', '边远地区', '的', '雷达', '部队', '给', '干部战士', '缝补']"
1979,衣服,44,"['了', '募捐', '活动', '迄今已', '收集', '到', '近', '百吨', '粮食', '药物', '和', '建筑', '器材', '等']"
1979,衣服,45,"['起来', '穿', '上']"
1979,衣服,46,"['他', '就', '在', '墙上', '地上', '算数', '以至', '手上', '身上', '上', '都', '写', '着', '数字']"
1979,衣服,47,"['时候', '她', '又', '帮', '他', '换', '了', '身', '干净', '叫', '他理', '了', '发']"
1979,衣服,48,"['接着', '越南', '公安人员', '把', '被俘', '人员', '脱下', '的', '帽子', '鞋袜', '扔', '到', '中国', '一侧', '疯狂', '地', '把']"
1979,衣服,49,"['流浪', '吃', '上顿', '没有', '下', '顿', '孩子', '因', '没', '穿', '出', '不了', '门口']"
1979,衣服,50,"['另一方面', '毛料', '西服', '的', '零活', '不断', '增多', '比做', '普通', '效率', '低得', '多']"
1979,米饭,1,"['在', '日本', '已', '把', '面条', '饺子', '烧麦', '以及', '鱼', '肉', '等', '菜类', '制成', '各种']"
1979,米饭,2,"['开饭', '时', '战士', '们', '把', '热汤', '送到', '他', '手里', '还开', '了', '一个', '罐头', '给']"
1979,米饭,3,"['他', '提着', '唯一', '的', '用', '塑料袋', '包装', '的', '一斤', '送到', '每', '一个', '战士', '面前']"
1979,米饭,4,"['一斤', '转', '一圈', '还有', '大', '半斤']"
1979,米饭,5,"['那种', '买饭', '排长队', '的', '现象', '减少', '了', '主食', '除', '外', '面食', '有', '包子', '馒头', '油饼', '面条', '和', '面包']"
1979,米饭,6,"['一小片', '纸', '写', '了', '几句话', '藏', '在', '剩下', '的', '底下', '送到', '家里']"
1979,米饭,7,"['天生', '不', '愿意', '喝牛奶', '吃', '牛肉', '只', '习惯', '吃', '和', '馒头']"
1979,米饭,8,"['你们', '把', '香甜', '的']"
1979,米饭,9,"['多年', '来', '他', '靠', '在', '街头', '摆摊', '卖', '过活']"
1979,米饭,10,"['随即', '把', '炒菜', '全', '部分', '到', '战士', '们', '的', '碗', '里']"
1979,米饭,11,"['要', '知道', '战士', '们', '吃', '红', '的', '指', '高粱', '我', '吃', '白', '的', '怎么', '能咽', '得', '下去']"
1979,米饭,12,"['如', '向阳路', '二街', '小吃店', '经营', '米粉', '豌豆粉', '拼盘', '零酒', '有', '粮', '平价', '无粮', '议价']"
1979,米饭,13,"['从', '经理', '到', '学徒工', '吃', '的', '都', '是', '麦']"
1979,米饭,14,"['他家', '经常', '吃', '的', '是', '麦', '有时', '还', '吃', '小米饭', '副食', '很', '简单', '只', '吃']"
1979,米饭,15,"['饮食业', '用', '粮食', '和', '素油', '做', '的', '食品', '如', '馒头', '油条', '烧饼', '等', '都', '不', '提价', '其中', '用']"
1979,米饭,16,"['饮食业', '用', '粮食', '和', '素油', '做', '的', '食品', '如', '馒头', '油条', '烧饼', '等', '都', '不', '提价', '你们', '看']"
