Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1979,0.73769987,0.794727,0.77622706,0.7417702,1.3555648383434802,1.258293685130028,1.2882828432835656,1.3481264000281563
1980,0.68192106,0.78472894,0.7518484,0.7279924,1.466445387215876,1.2743253670730623,1.330055368183237,1.373640684720403
1981,0.7143631,0.77707505,0.76851815,0.73272383,1.3998483440667286,1.2868769845202437,1.301205443477944,1.3647706764122147
1982,0.7127704,0.78684115,0.77325577,0.71798044,1.402976325319738,1.2709045463511714,1.2932331638464547,1.3927955945820725
1983,0.7047228,0.7582237,0.78249466,0.7373456,1.4189976103937931,1.318871968243085,1.2779639859044147,1.3562161789002092
1984,0.69078296,0.7759261,0.7556741,0.7276853,1.4476326889666131,1.2887825052927204,1.3233217448534118,1.3742204734999692
1985,0.6866489,0.7979544,0.75241184,0.7093569,1.4563483496652838,1.2532044743686497,1.329059357813631,1.409727591736987
1986,0.70201993,0.7899726,0.74627703,0.7160766,1.4244609838392792,1.2658666842317838,1.3399849574108793,1.396498618418928
1987,0.65497106,0.7987123,0.76335156,0.7342405,1.5267850081962282,1.2520152544344776,1.3100123886207091,1.3619516189903147
1988,0.7043035,0.7964032,0.75296533,0.75010264,1.4198424339629858,1.2556453355400834,1.328082394668677,1.3331508886154335
1989,0.6844694,0.82789844,0.7845015,0.724586,1.4609856880629766,1.207877619245331,1.2746948335369663,1.3800984096127384
1990,0.7138662,0.8194886,0.76066756,0.70616186,1.400822781792661,1.2202732512811905,1.3146347357490478,1.4161059402756546
1991,0.67776066,0.8063454,0.78966355,0.7144555,1.475447098159105,1.2401633295587575,1.2663621056076693,1.3996673277952485
1992,0.72227323,0.7265218,0.7905859,0.7094752,1.3845176004028477,1.3764212081814993,1.2648847278651791,1.4094924993398734
1993,0.6875875,0.7986013,0.7874121,0.7488956,1.4543603549436173,1.252189250477691,1.2699830128617338,1.3352996323018806
1994,0.7216903,0.8080009,0.79975986,0.7185748,1.3856359216429135,1.237622349827818,1.2503753238994573,1.3916435275141976
1995,0.71248055,0.80136204,0.806109,0.7166864,1.4035470960660696,1.2478754333330555,1.2405270083069209,1.395310363778186
1996,0.7154711,0.7271654,0.7715595,0.7147142,1.3976805150249343,1.3752029437177349,1.2960763622261604,1.399160614515239
1997,0.7283175,0.7168267,0.7757804,0.7139538,1.3730275616778267,1.395037366264561,1.2890246080903174,1.4006508680759486
1998,0.6913913,0.7756125,0.76127094,0.7154348,1.4463589801770247,1.289303658956253,1.3135927658041529,1.3977514295588005
1999,0.6807195,0.780753,0.7719831,0.7088187,1.4690338790208342,1.2808147761233,1.2953651663596677,1.4107980454766076
2000,0.6880778,0.8074042,0.78453475,0.68543845,1.453324012498235,1.238536999312343,1.274640794407729,1.458920190345024
2001,0.68656564,0.8121586,0.7712217,0.6872306,1.4565249777317848,1.2312866218104532,1.29664401748735,1.4551156757401853
2002,0.7451581,0.7950843,0.781978,0.6967396,1.3419971303052278,1.2577282722685394,1.278808337018711,1.4352564141499389
2003,0.69096196,0.7792492,0.7614848,0.7121821,1.4472576817019538,1.283286541949475,1.3132238459343772,1.4041352535516582
2004,0.6336015,0.71918696,0.6955305,0.658927,1.5782791249990946,1.3904590229285625,1.4377515250793445,1.5176187414862885
2005,0.6918526,0.76048446,0.7629214,0.69753575,1.445394521631575,1.314951266622629,1.3107510279344894,1.4336182702328384
2006,0.7048256,0.76781297,0.78041553,0.6719849,1.4187907309346266,1.3024005097438518,1.2813686493752483,1.4881286524187078
2007,0.69442546,0.7528628,0.750837,0.715312,1.4400393595962964,1.3282632443407625,1.3318469423761536,1.3979913580131695
2008,0.71239537,0.730594,0.73630077,0.6834369,1.4037149062195475,1.3687493029682722,1.3581406478725908,1.463192934204348
2009,0.6669149,0.73104984,0.7425792,0.6687694,1.499441727235962,1.3678958002462458,1.346657663914149,1.4952836826873654
