Year,Control Word,Mean Cosine Similarity,Semantic Breadth
1979,衣服,0.69790894,1.4328516883083386
1979,米饭,0.7296051,1.3706044944007478
1979,图书馆,0.64571846,1.5486625661221571
1979,运输,0.70589197,1.4166473724092288
1980,衣服,0.6920995,1.444878927387781
1980,米饭,0.7198024,1.3892702057256043
1980,图书馆,0.6324249,1.5812154363922175
1980,运输,0.70612323,1.416183399002362
1981,衣服,0.70441973,1.4196081603614492
1981,米饭,0.6969345,1.4348550252334358
1981,图书馆,0.69409657,1.4407217238493955
1981,运输,0.70583457,1.4167625757910085
1982,衣服,0.7360881,1.3585330396536413
1982,米饭,0.7340507,1.3623037374484657
1982,图书馆,0.6440247,1.5527354057060185
1982,运输,0.7090668,1.4103043442480254
1983,衣服,0.72975963,1.3703142158570356
1983,米饭,0.6849777,1.4599015194806064
1983,图书馆,0.6324471,1.581159851629044
1983,运输,0.6704883,1.4914503401079944
1984,衣服,0.73777246,1.3554314477375888
1984,米饭,0.71154654,1.405389448783148
1984,图书馆,0.6597469,1.5157328094785338
1984,运输,0.6715282,1.4891406942464362
1985,衣服,0.69790465,1.4328604991571794
1985,米饭,0.72703856,1.375442860746586
1985,图书馆,0.6769435,1.477228200158366
1985,运输,0.70025015,1.4280611032385424
1986,衣服,0.7074942,1.4134391504882609
1986,米饭,0.7143195,1.3999337299246606
1986,图书馆,0.62163866,1.6086515709583882
1986,运输,0.69532144,1.438183754261905
1987,衣服,0.7153845,1.3978497203836642
1987,米饭,0.73121715,1.367582811179978
1987,图书馆,0.6525477,1.5324549819171362
1987,运输,0.6660239,1.5014475980772195
1988,衣服,0.7272539,1.375035569991909
1988,米饭,0.732521,1.3651485805591252
1988,图书馆,0.69076204,1.4476765336700186
1988,运输,0.7029863,1.4225028283082304
1989,衣服,0.73599887,1.3586977401706444
1989,米饭,0.7612941,1.3135527586210136
1989,图书馆,0.6500338,1.5383816089061952
1989,运输,0.67597663,1.479341074327974
1990,衣服,0.7096731,1.409099472138329
1990,米饭,0.7676478,1.3026807297744474
1990,图书馆,0.66148734,1.5117447275686715
