Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1979,0.666417127,0.7296051,0.712468389,0.680764335,1.5011438923584932,1.3706044944007478,1.4037400045756745,1.4695737360822168
1980,0.64900358,0.7198024,0.716212467,0.7015240620000001,1.5411075463453758,1.3892702057256043,1.3965005993295256,1.4259133659324545
1981,0.679810013,0.6969345,0.716417513,0.689829782,1.471907442133425,1.4348550252334358,1.3963050103750205,1.4504588506866265
1982,0.655928117,0.7340507,0.718392642,0.694784579,1.5249987894314279,1.3623037374484657,1.3921747863014546,1.4394826457807182
1983,0.65984844,0.6849777,0.717908608,0.674019441,1.5166673232756627,1.4599015194806064,1.393202653136341,1.4839978913114393
1984,0.657956539,0.71154654,0.715368392,0.684201091,1.5203900190086475,1.405389448783148,1.3981760635428881,1.4622602199858805
1985,0.652485705,0.72703856,0.707704729,0.678518964,1.5333029714180102,1.375442860746586,1.4133056338454213,1.4746564815968521
1986,0.633032975,0.7143195,0.702359293,0.682919737,1.5804002451131307,1.3999337299246606,1.4242603020540705,1.4647934533800162
1987,0.657337461,0.73121715,0.716223673,0.675364452,1.521925993071148,1.367582811179978,1.3964963814410705,1.4813558738308186
1988,0.6634535589999999,0.732521,0.719782624,0.686375688,1.5078048883281299,1.3651485805591252,1.3897510352340712,1.458132258072905
1989,0.654596094,0.7612941,0.7279167980000001,0.688387866,1.5285880851115725,1.3135527586210136,1.3747147691149917,1.4538114975929741
1990,0.661395599,0.7676478,0.716675755,0.6964513529999999,1.5123703870131515,1.3026807297744474,1.3957920495139151,1.4360996066508405
1991,0.640809596,0.74532664,0.726780587,0.67880369,1.5611961063835467,1.341693626281598,1.3763647278458397,1.4736771903031545
1992,0.668539173,0.6587366,0.731120476,0.685727714,1.4964122988020072,1.5180574760631016,1.3678621535447442,1.4589740869691483
