Year,Target Concept,Sentence With Concepts,Context Words
2004,偏见,1,"['这是', '任何', '不带', '政治', '的', '人', '都', '不能', '否认', '的', '客观事实']"
2004,偏见,2,"['最近', '人民日报', '的', '一条', '新闻', '纠正', '了', '这种']"
2004,偏见,3,"['角度看', '库存', '为的是', '帮助', '我们', '澄清', '对此', '的', '一些', '也', '能', '让', '我们', '在', '对', '明年', '车市', '进行']"
2004,偏见,4,"['同时', '用', '科学', '的', '实证', '理性', '计算', '来', '取代', '和', '唯', '意识', '论', '取代', '文学', '的', '自恋', '与']"
2004,偏见,5,"['指出', '内陆地区', '居住', '着', '独眼', '人', '其', '无知', '与', '不言自明']"
2004,偏见,6,"['这', '就', '特别', '需要', '与人为善', '坦诚相见', '出于公心', '防止']"
2004,偏见,7,"['这是', '任何', '不带', '政治', '的', '人', '都', '不能', '否认', '的', '客观事实']"
2004,偏见,8,"['中国', '人权', '不断', '改善', '是', '任何', '不带', '政治', '的', '人', '都', '不会', '否认', '的', '客观事实', '国际', '社会']"
2004,偏见,9,"['邓小平', '扫除', '教条', '澄清', '开启', '新知', '第一次', '比较', '系统地', '初步', '回答', '了', '中国']"
2004,偏见,10,"['这是', '在', '作怪']"
2004,偏见,11,"['对', '中东', '石油', '的', '贪婪', '和', '对', '伊斯兰教', '的', '等', '催化', '了', '中东', '反美', '情绪']"
2004,偏见,12,"['倾销', '软木', '的', '结论', '不是', '一个', '客观', '和', '不带', '的', '调查', '机构', '所', '能', '得出', '的']"
2004,偏见,13,"['尽管', '不同', '阶层', '和', '地域', '的', '人', '凭着', '爱好', '情趣', '习惯', '竭力', '把', '自己', '特有', '的', '语言', '因素']"
2004,偏见,14,"['开端', '但', '也', '暴露', '了', '他们', '对', '非洲', '的']"
2004,偏见,15,"['倾销', '软木', '的', '结论', '不是', '一个', '客观', '和', '不带', '的', '调查', '机构', '所', '能', '得出', '的']"
2004,偏见,16,"['中国', '人权', '不断', '改善', '是', '任何', '不带', '政治', '的', '人', '都', '不会', '否认', '的', '客观事实', '国际', '社会']"
2004,偏见,17,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,18,"['七煤', '公司党委', '历经', '深思', '果断', '破除', '实施', '了', '牵手', '活动', '和', '扩源', '活动', '即', '要求']"
2004,偏见,19,"['兼顾', '了', '外国人', '了解', '中国', '的', '需求', '为', '消除', '和', '误解', '促进', '理解', '和', '友谊', '架起', '桥梁']"
2004,偏见,20,"['旧', '中国', '时', '汉族人', '对', '旗人', '看法', '带有', '民族']"
2004,偏见,21,"['观点', '本身', '可能', '就是', '错误', '的', '或者', '是', '有', '的']"
2004,偏见,22,"['群众', '被', '旧', '的', '社会制度', '置于', '愚昧无知', '和', '囿于', '的', '地步', '所以', '企图', '通过', '纯粹', '马克思主义', '的', '教育']"
2004,偏见,23,"['对', '东盟', '各国', '进行', '了', '一些', '歪曲', '或', '有', '的', '报道']"
2004,偏见,24,"['克服', '积极', '服务']"
2004,偏见,25,"['倾销', '软木', '的', '结论', '不是', '一个', '客观', '和', '不带', '的', '调查', '机构', '所', '能', '得出', '的']"
2004,偏见,26,"['来', '的', '代表', '生涯', '告诉', '我', '不是', '群众', '心存', '而是', '人大代表', '未能', '发挥', '应有', '的', '作用']"
2004,偏见,27,"['香港', '文汇报', '的', '社评', '指出', '任何', '不怀', '的', '人', '都', '不会', '否认', '修改', '行政长官', '和', '立法会']"
2004,偏见,28,"['印证', '甚至', '助长', '了', '西方', '社会', '对于', '中国', '的']"
2004,偏见,29,"['这是', '任何', '不带', '政治', '的', '人', '都', '不能', '否认', '的', '客观事实']"
2004,偏见,30,"['消除', '一些', '人', '对', '伟人', '形象', '的', '误解', '和']"
2004,偏见,31,"['中国', '人权', '不断', '改善', '是', '任何', '不带', '政治', '的', '人', '都', '不会', '否认', '的', '客观事实', '国际', '社会']"
2004,偏见,32,"['到', '中西医', '结合', '治疗', '的', '意义', '不', '带有', '任何', '地', '选用', '最', '适当', '的', '治疗', '方法', '组成', '最佳']"
2004,偏见,33,"['或', '政治', '论争', '领域', '彼此', '陌生', '很', '容易', '导致', '并', '产生', '消极影响']"
2004,偏见,34,"['香港', '文汇报', '的', '社评', '指出', '任何', '不怀', '的', '人', '都', '不会', '否认', '修改', '行政长官', '和', '立法会']"
2004,偏见,35,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,36,"['倾销', '软木', '的', '结论', '不是', '一个', '客观', '和', '不带', '的', '调查', '机构', '所', '能', '得出', '的']"
2004,偏见,37,"['消除', '一些', '人', '对', '伟人', '形象', '的', '误解', '和']"
2004,偏见,38,"['消除', '一些', '人', '对', '伟人', '形象', '的', '误解', '和']"
2004,偏见,39,"['进行', '全面', '准确', '的', '调查', '核对', '严禁', '带', '着', '采写', '报道', '严禁', '发表', '匿名', '报道', '新闻来源', '必须', '明确']"
2004,偏见,40,"['错', '了', '却', '仍', '在', '促进', '这种', '错误', '或者', '的', '传播', '他们', '产生', '的', '破坏力', '非常', '大']"
2004,偏见,41,"['伊斯兰', '恐惧症', '更加', '严重', '国际', '社会', '对', '穆斯林', '的', '越来越', '深', '许多', '穆斯林', '感到', '自己', '的', '权利', '被']"
2004,偏见,42,"['人', '外国', '的', '月亮', '比', '中国', '的', '圆', '的', '意识', '作怪']"
2004,偏见,43,"['对', '中医药', '存在', '不少', '认识', '上', '的', '误区', '和']"
2004,偏见,44,"['影响', '拉近', '世界', '与', '亚洲', '国家', '的', '距离', '消除', '隔膜', '和', '误解']"
2004,偏见,45,"['因此', '国内', '学界', '对此', '应该', '打破', '固有', '的', '学术', '并', '予以', '充分', '的', '关注']"
2004,偏见,46,"['当', '他们', '由于', '不', '了解', '中国', '而', '产生', '某种', '或', '误解', '时', '我们', '应该', '耐心', '地', '做', '解释']"
2004,偏见,47,"['对', '中医药', '存在', '不少', '认识', '上', '的', '误区', '和']"
2004,偏见,48,"['不能', '将', '人', '导向', '对', '历史', '的', '无知', '和', '渲染', '历史', '文化', '中反', '人性', '反', '历史', '反', '道德']"
