Year,Concept,Mean Cosine Similarity,Semantic Breadth
1979,偏见,0.30618927,3.2659537802534104
1979,欺凌,0.2909903,3.4365407505560723
1979,精神病,0.27451903,3.6427347625152935
1979,创伤,0.28984618,3.4501058235440727
1979,分裂,0.28394735,3.521779671299198
1979,阴谋,0.2952141,3.387372231920863
1979,主权,0.31952566,3.1296391121318634
1979,恐怖主义,0.30623442,3.2654722553267854
1980,偏见,0.31203866,3.2047311055673773
1980,欺凌,0.30704412,3.25686095021194
1980,精神病,0.26772955,3.735112533370854
1980,创伤,0.2991006,3.3433566314416754
1980,分裂,0.2981133,3.3544294914076964
1980,阴谋,0.30405414,3.2888879479304993
1980,主权,0.3313743,3.0177356463792493
1980,恐怖主义,0.29118198,3.434278435191188
1981,偏见,0.29485133,3.3915396961399873
1981,欺凌,0.32141712,3.111221923771872
1981,精神病,0.27594927,3.6238544921382463
1981,创伤,0.30082056,3.324240877848253
1981,分裂,0.29992127,3.3342082942157982
1981,阴谋,0.30549547,3.273370952128566
1981,主权,0.31432965,3.181373400006618
1981,恐怖主义,0.28853995,3.4657246373967467
1982,偏见,0.31545696,3.1700045885778327
1982,欺凌,0.3315507,3.016130074665202
1982,精神病,0.2737096,3.653507284817245
1982,创伤,0.2962635,3.3753737694967474
1982,分裂,0.30303344,3.2999658245407333
1982,阴谋,0.32308105,3.0951985927977095
1982,主权,0.3247127,3.079645543364034
1982,恐怖主义,0.30383405,3.2912703400369927
1983,偏见,0.30999452,3.22586348949065
1983,欺凌,0.31051302,3.2204768785905253
1983,精神病,0.26212838,3.814924537571134
1983,创伤,0.29920596,3.342179426727091
1983,分裂,0.30038187,3.3290957376038817
1983,阴谋,0.3148492,3.1761237023391167
1983,主权,0.31878006,3.1369590231706046
1983,恐怖主义,0.3018891,3.3124747710128526
1984,偏见,0.29269123,3.4165697323962476
1984,欺凌,0.28973198,3.451465738003858
1984,精神病,0.27050933,3.6967301314881578
1984,创伤,0.28597376,3.496824354525111
1984,分裂,0.28329366,3.5299059790918306
1984,阴谋,0.29444128,3.396262883597964
1984,主权,0.30230084,3.307963014464487
1984,恐怖主义,0.2874401,3.478985813107854
1985,偏见,0.29260743,3.417548253888972
1985,欺凌,0.30043316,3.328527396064464
1985,精神病,0.2563224,3.901336545765237
1985,创伤,0.29041806,3.4433120471372822
1985,分裂,0.28322265,3.530791113683297
1985,阴谋,0.31251627,3.1998333826993033
1985,主权,0.3118969,3.2061877844040856
1985,恐怖主义,0.29619703,3.376131118655787
1986,偏见,0.3013168,3.3187661873570424
1986,欺凌,0.29486048,3.3914344590532566
1986,精神病,0.2648446,3.7757991427648703
1986,创伤,0.2725827,3.668611265817498
1986,分裂,0.29240596,3.419902897778488
1986,阴谋,0.31072938,3.218234419184934
1986,主权,0.31560022,3.1685656348485227
1986,恐怖主义,0.29671422,3.370246332968297
1987,偏见,0.30222803,3.308759906479481
1987,欺凌,0.3030374,3.2999226612096795
1987,精神病,0.2670043,3.7452578796849445
1987,创伤,0.28747386,3.478577179276597
1987,分裂,0.27460694,3.6415685219029594
1987,阴谋,0.30510527,3.277557294976554
1987,主权,0.31531233,3.171458638583321
1987,恐怖主义,0.29646623,3.3730654431009364
1988,偏见,0.3062574,3.265227256560318
1988,欺凌,0.3163883,3.1606730449509852
1988,精神病,0.27414662,3.647683173758761
1988,创伤,0.2723376,3.6719132890711923
1988,分裂,0.27843276,3.591531441872025
1988,阴谋,0.30144465,3.317358596370231
1988,主权,0.3101241,3.2245156129547095
1988,恐怖主义,0.28996813,3.448654821990693
1989,偏见,0.29996726,3.3336971600552436
1989,欺凌,0.30658284,3.2617611786593708
1989,精神病,0.27926865,3.580781416459665
1989,创伤,0.27798894,3.5972654102093737
1989,分裂,0.29719067,3.364843226036255
1989,阴谋,0.31041503,3.2214935002592218
1989,主权,0.30978292,3.2280669078818884
1989,恐怖主义,0.29167497,3.4284738062415117
1990,偏见,0.29356214,3.406433766405954
1990,欺凌,0.31841072,3.1405977354554544
1990,精神病,0.2743941,3.644393295723383
1990,创伤,0.27800226,3.597093032230842
1990,分裂,0.29298982,3.4130878648762546
1990,阴谋,0.30549115,3.273417255722651
1990,主权,0.31212318,3.2038633010462214
1990,恐怖主义,0.30173975,3.314114207365626
1991,偏见,0.29833055,3.351986631385715
1991,欺凌,0.3140427,3.1842804818285586
1991,精神病,0.2629197,3.8034427321955797
1991,创伤,0.28043717,3.5658610975025264
1991,分裂,0.2850028,3.5087374845852923
1991,阴谋,0.30636814,3.26404694781882
1991,主权,0.3311533,3.0197494326005807
1991,恐怖主义,0.28782505,3.474332783242902
1992,偏见,0.2946756,3.393562407814499
1992,欺凌,0.28904068,3.45972056161531
1992,精神病,0.26147938,3.82439337517917
1992,创伤,0.27339634,3.657693402381754
1992,分裂,0.29126552,3.433293472825669
1992,阴谋,0.31013018,3.224452400780224
1992,主权,0.33305532,3.002504232032229
1992,恐怖主义,0.30135268,3.31837102260961
1993,偏见,0.30148435,3.31692179701815
1993,欺凌,0.3339202,2.994727387729737
1993,精神病,0.2703901,3.698360349290725
1993,创伤,0.2871378,3.4826483230590615
1993,分裂,0.29632974,3.3746191357771402
1993,阴谋,0.30186346,3.312756019756227
1993,主权,0.3140901,3.1837997782546257
1993,恐怖主义,0.28321558,3.5308791685441165
1994,偏见,0.30105892,3.321608958982904
1994,欺凌,0.32323435,3.0937306062311767
1994,精神病,0.26291043,3.8035768170024067
1994,创伤,0.29176864,3.4273731372950986
1994,分裂,0.30377415,3.2919193612773667
1994,阴谋,0.29882732,3.346414239739758
1994,主权,0.32371104,3.0891748619491546
1994,恐怖主义,0.28692672,3.485210481505221
1995,偏见,0.2921346,3.423079485240927
1995,欺凌,0.29971877,3.33646107202294
1995,精神病,0.25154027,3.975506531706075
1995,创伤,0.28512812,3.5071953334437094
1995,分裂,0.30162418,3.315384077271148
1995,阴谋,0.2853797,3.504103384443669
1995,主权,0.32076874,3.117510728441405
1995,恐怖主义,0.28948444,3.4544170856889074
1996,偏见,0.29438677,3.3968917332398187
1996,欺凌,0.3285113,3.0440353406193044
1996,精神病,0.2606832,3.836073696390234
1996,创伤,0.2705551,3.6961046660269745
1996,分裂,0.28952065,3.45398504802155
1996,阴谋,0.29431924,3.397671155961872
1996,主权,0.2985645,3.3493600922005453
1996,恐怖主义,0.28510115,3.507527120683868
1997,偏见,0.28616053,3.494542048420561
1997,欺凌,0.29677984,3.3695010955206217
1997,精神病,0.26900196,3.7174450223172344
1997,创伤,0.26511875,3.771894699012771
1997,分裂,0.28657264,3.4895167132532747
1997,阴谋,0.28390682,3.522282448270751
1997,主权,0.29679245,3.3693579745633517
1997,恐怖主义,0.28215593,3.5441395701669127
1998,偏见,0.30730703,3.254074547546999
1998,欺凌,0.3178234,3.146401329884595
1998,精神病,0.2666852,3.7497395644171574
1998,创伤,0.2626969,3.80666856124098
1998,分裂,0.29176238,3.427446656617556
1998,阴谋,0.30037665,3.329153540322779
1998,主权,0.31627795,3.1617758899459103
1998,恐怖主义,0.28851295,3.4660489822834433
1999,偏见,0.295372,3.3855611520082656
1999,欺凌,0.3040619,3.28880413509309
1999,精神病,0.24511133,4.079778745920076
1999,创伤,0.25401536,3.936769865244157
1999,分裂,0.29260927,3.4175266730479232
1999,阴谋,0.28103185,3.558315581221532
1999,主权,0.29899156,3.344576003648944
1999,恐怖主义,0.2768693,3.6118125438096436
2000,偏见,0.28521457,3.506132204163063
2000,欺凌,0.3130474,3.194404333229755
2000,精神病,0.26551858,3.766214836701995
2000,创伤,0.27599272,3.6232839591572157
2000,分裂,0.28392318,3.52207947175996
2000,阴谋,0.29028255,3.44491947139842
2000,主权,0.2968463,3.368746717662722
2000,恐怖主义,0.28338397,3.528781165380909
2001,偏见,0.2834426,3.5280513481842397
2001,欺凌,0.3021186,3.3099584134737268
2001,精神病,0.2489082,4.017545314290089
2001,创伤,0.26356626,3.794112405775968
2001,分裂,0.28243458,3.5406429000440225
2001,阴谋,0.28805092,3.4716084253239785
2001,主权,0.30461937,3.282785312674574
2001,恐怖主义,0.2841625,3.519113288000276
2002,偏见,0.28198606,3.546274620630441
2002,欺凌,NA,NA
2002,精神病,0.25120845,3.980757743627269
2002,创伤,0.27356696,3.6554121714485417
2002,分裂,0.2882255,3.4695056261123827
2002,阴谋,0.28187764,3.5476386525870978
2002,主权,0.30520967,3.276436200394546
2002,恐怖主义,0.2887237,3.4635188419440213
2003,偏见,0.29218966,3.4224346197335893
2003,欺凌,NA,NA
2003,精神病,0.253841,3.9394737253024394
2003,创伤,0.27125984,3.6865021528306507
2003,分裂,0.26908097,3.71635352817006
2003,阴谋,0.26864523,3.7223814148239707
2003,主权,0.2904745,3.442642935711518
2003,恐怖主义,0.26990703,3.704979486178939
2004,偏见,0.23594187,4.238332058317557
2004,欺凌,0.24102035,4.149027221813557
2004,精神病,0.20243463,4.939866286428174
2004,创伤,0.21201631,4.716618168993435
2004,分裂,0.24317552,4.1122560110515
2004,阴谋,0.22703426,4.404621655891427
2004,主权,0.239226,4.180147668660851
2004,恐怖主义,0.22955135,4.356323852169403
2005,偏见,0.27761772,3.602075509068141
2005,欺凌,0.30167642,3.314809928416478
2005,精神病,0.26132047,3.826718944945863
2005,创伤,0.25703064,3.8905868003970543
2005,分裂,0.28180733,3.548523697147332
2005,阴谋,0.27394024,3.6504312651485127
2005,主权,0.2906993,3.4399807263500524
2005,恐怖主义,0.28469503,3.5125305931885795
2006,偏见,0.2733568,3.658222576330643
2006,欺凌,0.30639973,3.263710417661821
2006,精神病,0.2563605,3.9007569258934316
2006,创伤,0.2700122,3.7035363603913685
2006,分裂,0.28514037,3.5070446751019024
2006,阴谋,0.2716788,3.6808171278104895
2006,主权,0.28890932,3.461293715368425
2006,恐怖主义,0.2799812,3.571668435411369
2007,偏见,0.2640743,3.786813090327658
2007,欺凌,0.29154557,3.429995524728177
2007,精神病,0.24368612,4.10363947189528
2007,创伤,0.24546112,4.073964932226616
2007,分裂,0.270593,3.695587269651044
2007,阴谋,0.25981763,3.8488535200543517
2007,主权,0.27831337,3.593072101344017
2007,恐怖主义,0.2619758,3.8171465416612964
2008,偏见,0.26546562,3.766966172958035
2008,欺凌,0.28442907,3.515814991341026
2008,精神病,0.24791166,4.0336948753596635
2008,创伤,0.25830773,3.871351502399402
2008,分裂,0.26839212,3.7258918612507905
2008,阴谋,0.2714393,3.6840647203027848
2008,主权,0.27736467,3.6053618348878573
2008,恐怖主义,0.27631348,3.6190778189863133
2009,偏见,0.27037263,3.6985992372302197
2009,欺凌,0.26013416,3.844170246638256
2009,精神病,0.24022873,4.1626994846688055
2009,创伤,0.24749392,4.0405032537710195
2009,分裂,0.2609551,3.8320769283479135
2009,阴谋,0.25997138,3.8465772620847964
2009,主权,0.27628684,3.6194268189235532
2009,恐怖主义,0.27326506,3.6594505943449707
2010,偏见,0.28429922,3.517420778596444
2010,欺凌,0.2488872,4.0178844686887984
2010,精神病,0.22824734,4.381211979563138
2010,创伤,0.25186056,3.9704509670883033
2010,分裂,0.2548605,3.9237152757598226
2010,阴谋,0.25432274,3.9320117815871396
2010,主权,0.27172714,3.680162322528283
2010,恐怖主义,0.26514006,3.7715915610235973
2011,偏见,0.27624342,3.6199957472016706
2011,欺凌,0.2522067,3.9650015190271892
2011,精神病,0.23538603,4.248340501487387
2011,创伤,0.2418495,4.134802894226181
2011,分裂,0.25155365,3.975295057068456
2011,阴谋,0.26813632,3.7294462409368645
2011,主权,0.26511705,3.7719188673552573
2011,恐怖主义,0.26492432,3.7746629266254077
2012,偏见,0.27894002,3.585000075857343
2012,欺凌,0.26303008,3.8018465129322188
2012,精神病,0.2556797,3.9111435617384256
2012,创伤,0.24423088,4.094486309596117
2012,分裂,0.26682952,3.7477112662095027
2012,阴谋,0.25792432,3.8771063021058167
2012,主权,0.27595228,3.623814963828196
2012,恐怖主义,0.2738736,3.6513194756766643
2013,偏见,0.27284408,3.665096981713418
2013,欺凌,0.29357135,3.406326911402531
2013,精神病,0.23001878,4.347471113380221
2013,创伤,0.25251555,3.960152087521138
2013,分裂,0.27264816,3.667730659949102
2013,阴谋,0.26391086,3.7891582054251995
2013,主权,0.27771577,3.6008037692377446
2013,恐怖主义,0.2778634,3.5988905083246734
2014,偏见,0.2671384,3.743378080223105
2014,欺凌,0.26151454,3.8238790961384264
2014,精神病,0.24772097,4.036799925025293
2014,创伤,0.25646925,3.899102918072715
2014,分裂,0.2650809,3.7724332600794703
2014,阴谋,0.2685699,3.7234256317613417
2014,主权,0.28365093,3.5254599145638053
2014,恐怖主义,0.26123932,3.827907681921098
2015,偏见,0.27065423,3.694751030347022
2015,欺凌,0.25740796,3.8848836969667637
2015,精神病,0.24369335,4.1035177727946905
2015,创伤,0.2573478,3.885792027685883
2015,分裂,0.26077104,3.834781710313023
2015,阴谋,0.26046315,3.839314721924443
2015,主权,0.2641823,3.785264956674876
2015,恐怖主义,0.27096745,3.6904801158888665
2016,偏见,0.2687214,3.7213262274817414
2016,欺凌,0.2562267,3.9027940663499017
2016,精神病,0.23578624,4.241129515771853
2016,创伤,0.24635556,4.059173603347849
2016,分裂,0.24847932,4.024479757771513
2016,阴谋,0.2587712,3.864417515718501
2016,主权,0.27314407,3.661071658712298
2016,恐怖主义,0.262734,3.8061309748647045
2017,偏见,0.26200718,3.8166893438686587
2017,欺凌,0.24860367,4.02246673511749
2017,精神病,0.25460398,3.9276683430308372
2017,创伤,0.24856444,4.023101663060042
2017,分裂,0.27355382,3.6555877948038242
2017,阴谋,0.27162296,3.6815739562882084
2017,主权,0.28767076,3.476196174120025
2017,恐怖主义,0.2854854,3.5028062593300135
2018,偏见,0.26792115,3.7324414328813247
2018,欺凌,0.24948762,4.008214859243338
2018,精神病,0.23625395,4.2327335166897155
2018,创伤,0.24746601,4.040958952471292
2018,分裂,0.27144727,3.683956725429086
2018,阴谋,0.27732298,3.6059038742495635
2018,主权,0.2810776,3.557736450339976
2018,恐怖主义,0.27029616,3.69964565273527
2019,偏见,0.28001705,3.5712111341509245
2019,欺凌,0.24266098,4.1209756174245245
