Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.32759118,0.3062182,0.29281822,0.2953335,0.30623442,0.2909903,0.27451903,0.31151187,3.0525852300226277,3.265645142987168,3.4150880543785265,3.386002550216211,3.265472255326785,3.4365407505560723,3.6427347625152935,3.2101505041231837
1980,0.3206771,0.30522528,0.28828982,0.30578405,0.29118198,0.30704412,0.26653016,0.2901843,3.11840164131724,3.276268566202299,3.468731628100603,3.27028179185822,3.434278435191188,3.25686095021194,3.751920662558698,3.446085943171844
1981,0.31931493,0.295081,0.28987738,0.30415693,0.29301807,0.32141712,0.27594927,0.30646646,3.1317045207533654,3.388900116399151,3.449734446657032,3.2877764858125462,3.4127587772851147,3.111221923771872,3.6238544921382463,3.262999805121076
1982,0.32973453,0.31876233,0.29904205,0.3000016,0.30383405,0.3315507,0.2737096,0.31379962,3.032742696958755,3.1371335285921536,3.344011362755285,3.333315650715853,3.2912703400369927,3.016130074665202,3.653507284817245,3.1867470108367377
1983,0.31520945,0.3190734,0.2941447,0.30276468,0.3018891,0.31051302,0.26212838,0.313181,3.1724937347979147,3.134075019378728,3.399687411916159,3.3028951293604147,3.3124747710128526,3.2204768785905253,3.814924537571134,3.193041592271329
1984,0.30617556,0.2970874,0.28395602,0.28715846,0.28642645,0.28973198,0.27050933,0.30751342,3.2661000139484444,3.3660128168461787,3.5216721104561164,3.4823978440421866,3.49129762039406,3.451465738003858,3.6967301314881578,3.2518906446886637
1985,0.328353,0.302584,0.28011838,0.28173596,0.28287596,0.30043316,0.2563224,0.31104982,3.045502971673393,3.3048674908406688,3.5699193113295764,3.549422699976411,3.535118421887152,3.328527396064464,3.901336545765237,3.2149190867194912
1986,0.326867,0.29361287,0.2946003,0.2861474,0.28591064,0.29486048,0.2648446,0.30700284,3.0593481650028167,3.4058452825833663,3.3944295815155385,3.494702553649617,3.497596358560615,3.3914344590532566,3.7757991427648703,3.257298831818024
1987,0.3258945,0.30955234,0.28937942,0.28636757,0.2876217,0.3030374,0.2670043,0.29748347,3.0684776371362035,3.2304714430829047,3.4556707842934915,3.4920155801376245,3.4767890483280306,3.2999226612096795,3.745257879684945,3.361531269281796
1988,0.29814696,0.3097552,0.28310165,0.2734154,0.2969869,0.3163883,0.27414662,0.3054798,3.354050598191631,3.228355747638464,3.5323001711176016,3.657438639991856,3.367151796943512,3.160673044950985,3.647683173758761,3.2735389286512526
1989,0.30238447,0.29856423,0.29128867,0.28006512,0.29724768,0.30658284,0.2695971,0.31657144,3.3070481875285265,3.34936310116246,3.433020538312462,3.5705981616668225,3.364197852070443,3.2617611786593708,3.709238531454941,3.158844608668024
1990,0.3099711,0.29258317,0.29681912,0.2743348,0.30173975,0.31841072,0.2743941,0.3112104,3.226107269137375,3.417831614728939,3.3690551936991024,3.645181152980919,3.314114207365626,3.1405977354554544,3.644393295723383,3.213260288161212
1991,0.32018808,0.29425564,0.29194695,0.27081352,0.28782505,0.3140427,0.26412383,0.30480504,3.123164405952533,3.398405502522337,3.425279860973443,3.692577765540508,3.474332783242902,3.1842804818285586,3.7861029447025536,3.2807856419321912
1992,0.32486308,0.29914925,0.28856972,0.2775235,0.30425853,0.28904068,0.26147938,0.3119497,3.0782199432031057,3.342813049455243,3.4653670691917093,3.60329861772956,3.2866786519090287,3.45972056161531,3.82439337517917,3.2056450114380075
1993,0.31545815,0.30213088,0.29750553,0.2868833,0.28321558,0.3339202,0.2703901,0.29516035,3.169992609366124,3.309823897224554,3.3612820831065644,3.485737994802937,3.5308791685441165,2.994727387729737,3.698360349290725,3.387988898961201
1994,0.3010253,0.30593827,0.29910108,0.29079717,0.28692672,0.32323435,0.26291043,0.29450166,3.3219798998745933,3.2686332050243605,3.343351301348413,3.438822964900763,3.485210481505221,3.0937306062311767,3.803576817002407,3.395566572851442
1995,0.30874506,0.29719356,0.29621148,0.2924756,0.2830057,0.302172,0.25154027,0.2832504,3.2389182573156825,3.3648104959396465,3.375966374785597,3.4190885068280523,3.5334975552058445,3.309373412721504,3.975506531706075,3.5304452529200976
1996,0.3222235,0.29763034,0.28882384,0.27916038,0.2828297,0.3285113,0.2606832,0.28592068,3.1034358312275763,3.359872519943041,3.4623180330440024,3.5821702159096103,3.5356965455907625,3.0440353406193044,3.836073696390234,3.497473500365753
1997,0.29955256,0.28909814,0.2950946,0.26699737,0.28375322,0.29677984,0.26900196,0.28712744,3.338312316516564,3.459032934715692,3.3887437066565727,3.7453552845787086,3.5241891286981506,3.3695010955206217,3.7174450223172335,3.482774118320626
1998,0.315963,0.30623928,0.27880558,0.2636349,0.2857084,0.3178234,0.2666852,0.2961975,3.164927538391725,3.2654204561545046,3.5867287400550905,3.793124645960562,3.5000721305572475,3.146401329884595,3.749739564417157,3.376125683549996
1999,0.30101177,0.296573,0.2866619,0.25589243,0.28405157,0.30584198,0.24591227,0.2906665,3.322129220390843,3.3718509639758025,3.488430181924376,3.907892142447438,3.5204875278414898,3.2696623016512585,4.066490887385624,3.4403690541383094
2000,0.2979702,0.28358638,0.29555517,0.26422936,0.29027474,0.3130474,0.26551858,0.29063228,3.356040239558617,3.526262403342729,3.3834630105757824,3.784590820776656,3.445012137572017,3.194404333229755,3.766214836701995,3.440774052422677
2001,0.30216873,0.2858232,0.2889838,0.26623008,0.27989435,0.3021186,0.2489082,0.2921586,3.3094093164087544,3.498666355251764,3.460401681522772,3.7561496167274457,3.572776631611585,3.3099584134737268,4.017545314290089,3.42279839595496
2002,0.3112593,0.28411663,0.2918015,0.27356696,0.292201,,0.25120845,0.29942027,3.212755415027907,3.519681388704857,3.426987037588929,3.6554121714485417,3.4223016268115534,,3.980757743627269,3.339787279171428
2003,0.29412377,0.30158654,0.2901615,0.2652478,0.2743268,,0.25286472,0.2717662,3.399929234070269,3.3157978628528006,3.4463567115068665,3.770059657948511,3.645287282398032,,3.954683777873008,3.679633642432909
2004,0.24471414,0.2343162,0.23317495,0.2054735,0.22720896,0.24102035,0.20493647,0.23649488,4.0864005502698495,4.2677373562881415,4.288625345457144,4.866807700840077,4.401234937516949,4.149027221813557,4.879560859718866,4.228421281385186
