Year,Token Count,Vocabulary Size
1979,7546304,105191
1980,9060922,128932
1981,9128004,134687
1982,9111680,135243
1983,8913530,131940
1984,9130189,134570
1985,9807540,142879
1986,9836209,144734
1987,9819020,144509
1988,9733326,145484
1989,9248656,140714
1990,9444716,139661
1991,9117713,134756
1992,9203389,140319
1993,9207001,140813
1994,9879162,146465
1995,11547831,157509
1996,11425648,154373
1997,11642939,152573
1998,11581924,156170
1999,11575036,148598
2000,11678822,149267
2001,11723687,143904
2002,11670758,143793
2003,14699011,163350
2004,19903743,160202
2005,14041166,155357
2006,14724458,158754
2007,15462875,157879
2008,14404086,149016
2009,15572617,156423
2010,19353308,178394
2011,19879681,181071
2012,19882555,178781
2013,19579818,188502
2014,19957661,185517
2015,17602897,180753
2016,20826175,185748
2017,19009560,177420
2018,20095177,181896
2019,17130067,159217
2020,17646118,161633
2021,17967781,152870
2022,16101489,146029
2023,16359333,152819
mean,13582968.49,153527
SD,4157531.951,17595.959
min,7546304,105191
max,20826175,188502
