Year,care,fair,loya,auth,sanc,general,libe,wast,altr,dili,resi,mode
1979,83395,45746,129008,160584,11843,7354,3998,3652,2144,407,7555,4154
1980,89002,48189,135092,188742,12865,8702,4329,5000,1983,479,7104,3852
1981,90893,44414,142480,175630,13881,10235,3825,3978,2381,581,8025,3327
1982,88920,48995,141542,180120,14409,12730,3410,3602,2157,585,8746,3446
1983,83191,44274,138689,182895,12634,11357,3501,3493,2162,536,7798,3220
1984,82168,39140,128540,181684,10862,9923,3020,2240,2314,570,6346,3371
1985,91664,43466,129564,197776,12443,11157,3427,2465,2388,620,7535,3255
1986,88707,46227,122650,197765,13320,11324,3276,2574,2180,624,7393,3006
1987,83787,48066,124895,197363,12430,10003,3162,3820,2132,520,8879,2690
1988,78915,48988,119513,204808,12673,9199,3359,2553,1809,536,5612,2501
1989,81535,47804,123893,203970,15902,9427,4000,2699,1827,486,10722,2649
1990,83167,40686,131546,193328,13823,10627,3807,3213,2031,619,11205,2962
1991,84064,38928,128037,186008,11238,9864,4459,2718,2073,603,11777,2671
1992,78612,38425,119672,182744,11164,8614,4355,2580,1882,528,8542,2291
1993,76786,42021,116206,190689,11344,9111,3879,2682,1806,599,8254,2364
1994,85856,44072,128473,195382,12683,11568,2854,2312,2568,795,8852,2730
1995,104270,52607,153523,237153,16619,14604,3764,3783,2646,1013,10910,3131
1996,105399,52083,152068,235361,18236,18716,3549,3693,3195,1387,12490,3279
1997,104453,52247,160601,236476,17261,19635,4105,5023,2811,1758,14408,3269
1998,105844,55717,144385,240188,16740,14617,3264,3917,3402,1490,12432,2993
1999,111318,62607,152925,252813,19024,15977,4395,4327,2541,1256,12754,3101
2000,108091,62492,155520,254652,18283,16554,4037,4689,2423,1184,13003,2998
2001,116240,67466,164673,262748,19524,21683,4415,4514,2453,1291,14373,3093
2002,116940,64950,157259,254175,16556,19830,2785,4282,2289,1360,13594,2846
2003,159907,79021,183738,313289,31393,21620,7260,5873,4327,1650,19253,3890
2004,205118,119758,258449,442249,34574,27788,7181,10288,3676,2125,25111,5649
2005,148731,77829,198592,290445,21764,23510,4934,11074,3846,1565,17330,4203
2006,155694,79183,212945,295429,22075,31352,4148,11546,4199,1629,19397,4356
2007,162947,85335,217887,321825,22935,34847,3452,17207,4840,1584,22068,4422
2008,194394,65596,198044,291612,21402,26950,4868,10913,5947,1590,24365,5367
2009,165061,73593,229876,320152,22538,28648,5378,9483,4649,1643,24968,4369
2010,216781,97165,263710,387327,25686,33730,4263,13660,6128,2092,24343,5632
2011,223933,102142,285021,401238,26466,38018,5855,10484,6588,2398,29369,5868
2012,217316,106446,283875,384277,26197,41629,5117,13022,6885,2592,32715,5905
2013,208328,104504,246390,380095,30838,35837,4759,15394,5979,2224,24132,5684
2014,214204,120925,282664,418033,31766,40117,6041,12543,6800,2881,27555,6132
2015,197514,97960,268943,371807,26528,31167,5606,9301,6988,2588,24369,5262
2016,230264,118260,305951,433199,30417,35314,6776,10394,10127,2992,34003,5829
2017,201667,99081,292185,406242,25373,34151,4586,9809,11319,2502,36919,4837
2018,210280,107120,301699,412969,26781,34847,5575,8904,10982,2921,41192,5392
2019,214008,83181,278420,353216,21775,36163,5455,6102,11696,3106,44515,4897
2020,236144,89053,273235,403555,29524,22905,11553,8364,10701,2145,39977,4198
2021,225265,92217,307874,399688,22962,35071,11035,8351,11534,2773,57639,5110
2022,203825,74333,272918,314990,17721,33423,6873,7355,10003,2879,57270,4455
2023,203393,67296,270350,299664,16822,35045,4498,7056,8890,2288,48813,4127
