Year,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,PurityVice
1979,53.58163392467423,74.61036429046894,55.590640427177895,23.588078486783946,55.765687618951716,41.10448331470215,52.2689113302291,66.77046148431266,45.70878896596304,71.38957108218865
1980,48.91051870972497,50.97826996641405,51.289357622449174,24.708893934125506,43.876915876577726,79.01254104795926,43.41823543697154,43.75287450110743,36.22950856952489,44.892685124386986
1981,52.82501817678757,45.86311931359954,49.52260623030356,25.478149671173462,55.14404170884826,52.198471407474415,33.81663653847565,30.82529001969845,37.48933418226937,43.09936684210732
1982,47.43446885878945,46.92809367043391,56.26128380611296,26.477638238446357,52.43627517985837,38.52359826155797,43.670629904994904,28.61773665854436,48.973016753375354,49.2795128635554
1983,44.5584949203744,36.76202669598334,50.33254658857783,33.412026994638055,50.981621621897844,43.776797525852174,38.48592428692775,47.521226508069454,46.138338973818406,40.72066556479416
1984,44.70692552370686,31.581434304826768,47.001058205196074,23.439970520372498,45.60282581977305,23.911877459815145,32.17638647126386,37.968364879748606,33.50092855250273,33.95406426699941
1985,43.79115854221432,36.44370470152532,40.031400753883034,25.98231856281796,49.771147839833596,19.475867086685106,42.095166161462195,18.605455116902554,37.80044645805472,34.67855848616645
1986,41.734453098969865,37.05058680126733,45.763719416392895,20.26144673741728,31.57410355015743,22.42912576542713,34.91527486939523,19.413789806841397,45.54528956278761,27.874950589395247
1987,37.69023622742172,31.9229497884181,43.71188030061662,14.355097648088407,32.64565054236599,34.05569186879859,32.22260681647741,38.93673628246355,44.86566700775364,34.144741255017394
1988,38.18746018985488,35.26209077498225,48.292228346375936,24.539930570796226,27.188495682052586,22.189383786592643,42.713775561759036,53.08304064081459,35.56980388407826,33.89490221124901
1989,41.98332355776918,40.62732181626836,51.63960554156112,36.50951976179886,49.05278134539305,45.75995548039583,42.8966622254284,53.56944068040992,53.98038859132206,52.03072805532564
1990,42.25417164075019,34.73676186446874,45.29393128273576,19.254078395470046,49.651077810669705,28.014591235357354,30.2858555591506,31.01269907102383,54.201813372476934,37.09990575914445
1991,42.859704280820154,38.71117140783462,52.345195689263,21.852958020855887,47.27319142752128,26.25792060862445,36.31252393759218,17.68525334938166,46.93132667779291,22.773828949482052
1992,37.4029805188668,29.756971664535033,47.695627948196474,46.5360435466459,30.278384113555262,18.614510600826502,32.53561213842406,16.491168722390725,36.464277093483716,20.809868972159755
1993,38.13268557837626,29.273269013493312,46.70833710910279,35.694807719974285,30.63908776973979,21.90162557043111,38.98417977226594,25.141541785107304,46.892546357477144,20.808968999360033
1994,40.7875232855893,28.296861566923493,49.03689234763961,21.991607142038177,42.225620152430224,6.050731845660282,42.759930358311074,9.500041649844247,51.68346868321264,26.0697525898545
1995,41.09538720050261,35.27824414563707,54.256415376689915,34.55287439917211,48.2874364428141,64.1438749209897,35.99772409561826,16.720234879657884,60.443266150305234,38.82972656009461
1996,43.72908030981117,36.15600052830538,47.86473289150169,22.08803318459517,40.80288665354329,18.02217854410101,34.9867992040745,24.585024370201605,71.69703616200145,33.36568638337392
1997,45.20269468904629,33.94397167417843,48.828175845047554,22.69217799121912,55.27470428203616,10.171212542501394,37.5241785954651,41.294512895523425,68.50865926657005,26.33574138682474
1998,40.06048200806148,28.787268323917267,44.72919845777257,28.746498789172257,31.80682447555442,7.271582133567825,36.27486610041425,16.614358259086227,74.01024843428948,27.419338093152817
1999,44.15496386642458,56.63118576947879,47.809265339357594,36.6029205544433,47.12400622502866,22.814447478665357,47.412373948437626,14.038396151869891,72.18970372645767,34.30421497374646
2000,44.73982355066123,33.90755639083853,52.76455035358616,44.18057441425759,30.604168156871445,29.6435857948703,38.378627482140296,20.402021965916575,64.40130124708564,37.555568329137635
2001,44.12502114704936,49.13554679288665,60.42509285172066,45.398713956040474,33.74116442552783,11.785388894840198,41.8272078970935,12.563032592087001,58.92246036360204,50.670582726401165
2002,47.041748857923174,33.63595299972141,52.54197797885934,35.62370441940601,32.45659069638021,7.367234876277687,40.4474433718363,11.243769465481828,53.98462485396633,23.95675859665633
2003,42.30281946345522,43.858157330117535,52.27876987426879,41.140718057877294,29.356492664864376,13.389173454682357,40.95265287849496,23.774270599140994,59.15623098352235,44.50408231456227
2004,47.59029773724895,49.89656485641038,57.55798130790352,57.17827273282748,37.60906084645291,6.467743962175026,49.064687479980975,12.202384864384197,57.1943920464422,24.839097385263827
2005,43.919215929354706,44.98491304041831,76.3300834236958,52.39062356183926,43.85815559145566,29.97886230650875,37.05693843973427,23.787019252884278,59.056572393645595,20.569197946651855
2006,46.47714794390639,38.6960887029345,64.23809650327404,36.71403424726911,35.94259587953608,20.33242256136773,34.1088435346991,19.84526063030106,54.77800490798328,14.772520262935757
2007,43.83850687107307,31.13683058092753,66.71133357402692,40.1360071621456,39.54386482624191,22.314214005988177,34.18474543571202,20.052785525110824,46.77110257690492,15.74285895473617
2008,51.59271555596429,28.176959271943016,54.57130529887667,29.214611626224027,47.755633939325186,15.833243505716121,29.53018291314404,20.47137783798371,67.16558465123036,16.840156901901164
2009,38.41198476880015,33.15866960615529,56.746601511515166,37.560004591642624,47.91849600267162,9.444064739806652,31.36687005723878,15.268666301004565,56.613365647971975,16.229763298774085
2010,40.77405230577081,27.034223208735025,62.69476306935691,39.46206317819736,30.69655963254018,13.462243452306327,32.82811427656907,17.618935551028017,55.53747298286724,14.310230808862348
2011,37.715203306364174,35.89856518997348,59.68385726861996,32.73591521733684,27.726856551682342,20.272059544555212,32.189530740584644,18.169543877951092,50.332267597527995,15.714872918542822
2012,35.131033439477626,38.029816299657575,63.002917041638135,41.43119724743807,44.68974648660113,15.601717770825466,33.61644346791448,15.940159878176882,53.705258144548765,13.016823000804425
2013,35.03627265055445,44.128489278087194,68.15438138891385,58.25592925799627,22.823898318914395,27.78654223916796,36.72475253838277,24.23180584875843,49.3078941637757,22.038449736316238
2014,51.288967196947695,39.50112785203998,71.61033502576029,54.309765166709994,33.14938466573597,18.627865174363627,44.41101903987208,23.34353424813843,55.76497106095452,21.397146619977562
2015,46.412162393670116,47.7071396040851,65.36625238638767,52.67100638907875,36.21799573143153,26.00903001556658,46.48184382971337,42.15262213953288,59.06700394789509,19.386966411095678
2016,35.339697799341636,40.25821623601798,72.73773897003375,45.425071540552835,25.783053224634436,21.217953903394196,55.44230398665346,18.083200739676904,52.37351914876113,12.943039134826078
2017,34.797742452269524,39.00751944921575,58.34317909090005,28.37061756706054,49.43367852403161,19.48569816485747,60.59682284550171,10.808638045887625,44.34680225195191,9.268778865853328
2018,35.15266627667252,29.350999864363708,59.109434226476495,27.07356345713986,34.1574286343674,18.654027925877852,67.98387547118452,7.880769531240164,39.94264917889025,6.492144492637003
2019,37.12968793416295,47.880775443504156,57.20809245141523,21.637902229211715,70.41895082249151,10.710149051065724,46.589832732292194,4.896254396219262,44.84142994247071,10.718791984840172
2020,33.61645861919747,21.11339331963501,62.59449212229622,28.678235333191964,36.46456699827153,2.6200949693297986,43.69637758597035,6.237224668705352,26.079978193703894,16.84184997446794
2021,41.82168705921414,42.539360088145685,63.841675811661744,18.40873095537512,59.315442405006365,30.654160512662386,53.07977354014335,8.3566484889226,33.422169737655565,10.232737656282554
2022,44.152327786750625,25.579970869469967,56.988743787013334,15.988315318459001,59.63557693397092,3.3742737438644297,40.57647263584459,4.0915787191291315,37.64960851229469,7.426764141916442
2023,40.33038733038904,18.962612962298458,51.78980663710924,11.59327158373964,37.10938393051522,7.326253099127518,40.85620090994685,1.9319320307533583,29.04468780130942,2.65243633880252
