Year,care,fair,loya,auth,sanc,general
1979,41.87374853309018,40.708493094867045,44.77807236140615,41.66345054845671,36.49572752745271,28.326805953937424
1980,40.17135929845425,41.189860693834895,40.70074570068395,41.77343603491409,41.20153136445346,29.229473243840587
1981,43.4010442281194,37.71303609914725,44.4641673853243,39.90038439662072,45.21502345268757,33.06574345285405
1982,42.12735052495009,40.37171701183414,42.8312800034761,39.55565455837021,43.68939250868799,38.35513555969851
1983,38.93781874666075,39.764736692889,41.01606121293584,39.32839805792736,38.19516634335481,34.7979134837799
1984,34.71471372060108,37.11161302918206,37.72812907528462,38.19630339820089,35.027594471681184,30.79912806462486
1985,36.581182291430835,38.463923868805665,38.21679512795434,38.71479612912052,35.81051432695213,29.282551477079
1986,36.11538065716894,38.20538249182049,35.80570409606371,38.36394992271611,38.06101446462513,30.00718674323617
1987,35.23515074960589,36.36967812990268,36.87261046462774,38.70853560619015,37.96843825499612,29.19772143202528
1988,36.77977489029063,40.23775315846829,35.158834597172344,43.06211710953702,39.41683186414901,29.537317725149453
1989,40.759613919234866,42.45466652096472,40.37810078982724,44.019784801333856,46.54044454525037,33.390223949383056
1990,36.64569648824544,34.126573606247106,40.80989648168058,39.264603893878245,41.250046982770286,33.82155322292153
1991,34.282403501277386,31.18114723384954,37.21512855899324,37.02289534690206,34.9202847745748,30.730959190424457
1992,31.347069441325434,29.976190274121528,33.88033976504984,37.569434282368576,34.49050725911497,23.691727027384022
1993,31.992121034089465,33.533302343967335,33.517288713103355,39.26798869185556,36.79978821288657,27.811507217672855
1994,33.70541351862552,35.77343901299885,35.43136967984729,37.90885027761363,39.204369341373386,32.004403375779724
1995,37.356676156291655,38.126118625327,38.55466545309608,40.46485145816043,42.122043724310764,34.642330189827796
1996,36.36542171906927,36.13521469828547,38.29126857761041,39.250905450651025,43.436468801165475,40.54784607079086
1997,34.498675397403616,34.2371953473687,37.4027047059691,38.386358261731715,40.6898467633943,35.772422882056375
1998,35.65444234536641,36.4768306838029,35.215342331253964,38.55283008025865,37.20812694881368,31.808309618473572
1999,36.18319798417022,39.13774626762213,37.023941920717704,40.31697895462307,43.04989715750727,33.79748841303027
2000,33.38957242769051,40.11404962023332,36.51189343640472,39.0616203876291,39.9406962447334,31.467777452498975
2001,35.82588983264352,41.05119977146522,38.08594243744934,40.12865831915222,42.08750876428725,35.3146044929622
2002,32.296533596993314,36.772384573170925,33.77869873665533,36.986515639879826,36.486768304502306,32.81533077493857
2003,37.70516760536061,36.60138637719047,35.299317316790464,37.18548253022456,37.77624902512029,31.61604068141362
2004,34.74094251163077,37.32941244636453,32.56030319075947,37.77261166028358,38.09058309907714,31.330330505494388
2005,35.93674160597559,38.16054184652205,35.64266571629752,37.51216960964535,37.43171736293162,33.36694154867732
2006,34.73399248863223,34.73430702352575,33.97075096443572,34.74411103113591,35.25228443124781,37.640980021947634
2007,32.662613939861075,35.32758820494329,32.106129254809005,34.46858669063132,33.32782840703745,34.10142941339968
2008,38.44859745439501,27.58876222284134,31.976991129787752,32.16586690104891,33.416861781881984,30.798093401040312
2009,33.17417866411746,32.60325919291586,34.7590133780045,33.74292598399651,35.58979978002086,33.78962776943465
2010,34.17169534109577,35.062082496062786,32.42615600449653,33.30549449485977,34.720460511004525,34.52807404178097
2011,35.09209209449163,36.53203806271509,33.358424139002025,33.21228693231006,31.467169655900523,33.63461896776858
2012,32.71198117871586,37.053660966859276,33.141865126849446,32.13714135555482,32.39316458951139,36.13131491541605
2013,35.738784823195076,41.70863125691095,31.745002490466216,34.669314442674484,38.48244387001159,37.95252885883678
2014,36.26634264970615,44.17503141566901,37.52478147961725,35.73939333072631,40.77148593427904,45.40361625279877
2015,37.80810082845008,39.413734959505845,37.72847013139416,36.34121076239499,39.79045508713396,38.62862332705799
2016,32.51586530518233,39.30729160857539,34.81537248510059,34.10635989291948,35.81089173294244,36.76086629798391
2017,30.258515728552542,35.51691926887921,36.5863830653819,33.85828359429891,35.08946811749406,35.113594021695135
2018,28.91978446329227,34.988163435901164,32.961767473802595,32.17466669949664,29.294375044518137,33.541768153045574
2019,37.56919960743513,32.3741288537429,39.34075050278621,32.96290747952119,30.871108510555576,36.86019459124818
2020,29.950146556933962,23.639406644979122,32.531490227060274,28.04709704050117,23.78698201123928,24.34273119913188
2021,26.194498461018227,25.305815370363362,35.15289361440851,29.174728817958506,24.488441511622153,31.477159689673726
2022,23.4706538961934,24.05141479325388,32.5922167660927,25.981837220878198,22.05951098501301,30.684929849517182
2023,22.45667037505833,21.29350449441011,29.947668648493917,24.447540088682786,21.416304151037554,28.285945489452
