Year,['偏见'],['欺凌'],['精神病'],['创伤'],['分裂'],['阴谋'],['主权'],['恐怖主义']
1979,31.558196978494777,28.235421944008053,14.561435874062086,82.88771639818005,46.281295592973414,100.0,87.52702657741204,1.2857104160092694
1980,39.4244230484938,10.61995138630655,58.615551332840234,100.0,28.413565030337168,78.49338694640215,67.26805913604343,4.5508654676072435
1981,35.40757818107612,27.860748971276227,34.10832149608008,76.850397467384,34.32964551311696,56.57789190263502,58.88146007351914,6.111804893735956
1982,56.753620016010316,20.367240424128457,51.25414221902629,56.45792426367462,23.02843435530783,41.65436542740539,86.88137963918501,2.928273880527426
1983,100.0,17.735563452155294,32.87437465880243,47.219725663157305,35.697720321097805,45.57721002886113,96.53167608896035,1.9048719078245908
1984,87.1935839185102,23.337203376376518,50.14729239731429,35.21466938929459,24.947294847306363,31.57363608757225,59.39930285544599,4.604895602096933
1985,51.33931461705884,20.323794487989776,39.21447949614519,41.723299525901304,22.027922369474485,24.853561376770603,39.8633098772828,13.8498607369854
1986,43.58040242586198,12.578001492764997,46.54783742656775,47.544789900517635,15.157071206464712,20.933824700781944,29.707476810347444,35.4279264956932
1987,38.805949773660195,9.800015801486861,52.22484202260833,45.24661990773536,23.056585223076237,19.496870407838703,31.902824392783675,11.28102691475847
1988,39.846668890018755,10.592461018733346,46.09905928119819,48.647938685256506,22.905012895204777,17.495838615182084,28.857221847116566,11.961824751587379
1989,44.87760208800001,15.606573185625377,100.0,44.87664858129553,41.568643895479525,50.063280820140044,46.035560027482745,7.867922908343991
1990,39.983657132680534,24.743258855563315,54.294567281518226,35.27984317949197,30.547569829154785,20.858782986796978,62.13487316815358,4.023510763347317
1991,29.477429732084037,29.399881112491894,58.25045585596534,62.190852521474305,35.806717579175206,17.45640151176618,65.87252341425126,4.167812310253527
1992,23.65814201371534,8.961905336186378,42.78365951782964,40.01598064897966,27.748737790557136,8.586480198123732,53.0341785384292,5.973891723941077
1993,22.540320339749822,13.437584234556782,51.71808146026836,34.920881087856316,16.94257967413984,11.968000730125421,43.95802047393483,4.30302731134934
1994,23.417322918437538,23.65514937454012,50.05309134720151,37.87045826944274,18.584497263355924,6.083846605075436,48.42322238075846,2.7826271792744337
