Year,Harm,Fairness,Ingroup,Authority,Purity
1979,53.34092534,43.84091449,47.70851908,55.00761126,42.94529277
1980,51.94820839,42.19604887,52.67407145,48.07981975,40.02846684
1981,52.37508233,42.53360511,51.36396835,41.07774929,45.22613262
1982,54.55668837,43.03293659,46.15949063,43.9541057,49.40408439
1983,47.84432127,43.92553425,45.89637108,46.48308409,44.77513757
1984,40.13050923,38.27935571,35.55697119,42.68551375,34.48360204
1985,40.34502821,37.63845115,34.92810741,40.63283374,41.31288173
1986,40.85285565,41.91145317,29.79719045,36.37427698,38.40161399
1987,38.05236436,41.24552544,33.19909663,42.56686128,37.48057235
1988,37.71993659,45.56520912,26.66374705,46.56371977,34.76796474
1989,45.22740243,47.72684327,38.3860286,55.77745451,47.60066993
1990,39.6313015,37.80423222,38.94418135,45.31392115,43.77611296
1991,38.98140489,37.78394944,35.94403667,42.77343773,38.93205923
1992,31.45027118,42.72471338,29.8819967,36.1292899,30.74831121
1993,32.05690861,36.75337636,27.86580967,39.30824651,35.58192057
1994,36.00460632,37.12206676,26.48948983,42.23521291,43.85415814
1995,38.07073503,43.23589458,41.29267179,42.15153328,47.99575217
1996,40.37729112,37.25062751,33.90639078,46.4670412,54.02764121
1997,38.07210903,37.83943283,32.62740282,48.4201431,49.47853686
1998,38.68264983,38.75164047,25.56523934,46.68885851,46.32877109
1999,46.73060964,44.1143074,36.53491801,44.17425242,44.21078746
2000,37.47702284,45.94977604,34.75071178,44.81477497,44.16602181
2001,47.0898283,42.49117236,33.04837555,46.13814102,51.69464428
2002,36.39400511,41.99755095,28.38361781,42.79749119,38.27547798
2003,40.05155948,45.01032267,29.73747405,42.47051064,44.75644019
2004,41.83998344,48.61343989,25.78323609,40.48379533,37.58429053
2005,40.09246361,55.23397207,35.54238414,43.18036087,40.46078023
2006,37.07623594,49.84412157,30.57043686,37.76667653,35.92740232
2007,40.60472219,54.14732019,30.11135665,39.36245673,33.03114827
2008,39.3948384,42.72692499,31.6376227,37.89493885,37.80594653
2009,34.99847479,44.3210177,34.47922617,36.19838662,38.07565027
2010,36.71347401,49.47329534,24.47328042,37.4746346,38.68434962
2011,38.33602188,47.86620068,27.40953271,38.32833099,35.45318631
2012,38.53605931,52.37875098,28.31716207,34.3432016,36.47804706
2013,37.61990449,57.81617859,22.82263367,38.71027828,34.749678
2014,41.83813334,61.13502999,25.61933049,43.30612943,38.13516205
2015,40.53799901,59.02362011,30.18890447,49.55626334,42.45353146
2016,34.62438499,56.86014931,25.42099649,39.86972528,34.96567869
2017,30.11977325,51.16006333,30.51946481,36.80492942,30.6245014
2018,27.7416881,46.88921909,30.34563115,41.37439826,26.39827872
2019,41.80248164,45.49073135,40.75400735,35.98547438,31.33566299
2020,34.41203664,38.9708332,31.16617376,29.83264251,21.86351427
2021,32.01429727,42.54498649,43.59504383,33.20373211,30.67433536
