Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.8029689,0.77646637,0.7523885,0.75942695,0.7058803,0.7535516,0.6995946,0.74161327,1.245378215759796,1.2878857850313934,1.3291006310393805,1.3167823424563243,1.4166708183079104,1.3270491322205469,1.42939922043068,1.3484116884095956
1980,0.79858345,0.7728129,0.74299026,0.7587413,0.73569775,0.74604917,0.65292484,0.7269886,1.252217288735556,1.293974254586099,1.3459126721939,1.317972245246048,1.3592538580697011,1.340394233974198,1.5315698612622066,1.375537362326077
1981,0.8007475,0.7315996,0.745904,0.7479323,0.7538704,0.78215396,0.7156335,0.73841166,1.2488331000749275,1.366867833802678,1.34065504663385,1.3370193801161632,1.3264878994820226,1.2785206570217595,1.3973632926209474,1.3542581292380058
1982,0.7977216,0.7796329,0.75282305,0.7613449,0.7613438,0.78226864,0.71922165,0.75960773,1.2535701295351576,1.28265490933917,1.3283333894155116,1.313465142147087,1.3134670959081685,1.2783332279308062,1.3903919575268364,1.3164689582311129
1983,0.7859624,0.7577217,0.7477389,0.7627357,0.7903923,0.7813239,0.7067549,0.7560044,1.2723254909029935,1.3197457203605187,1.3373652259386366,1.311070096686756,1.2651945442515269,1.279878917704929,1.4149176293582562,1.3227436363147544
1984,0.7858835,0.7467831,0.7260403,0.753941,0.7656537,0.71942824,0.68173236,0.74937946,1.2724532548012932,1.33907694193787,1.377334005969164,1.3263637348979538,1.306073439664419,1.3899926951136632,1.4668513096006135,1.3344374361155351
1985,0.79014134,0.75247955,0.7250243,0.7288958,0.7660808,0.7558884,0.67794174,0.7405566,1.2655963486842403,1.3289397641667258,1.3792641481684025,1.3719382423944966,1.3053453425322283,1.3229466105616887,1.475053004776255,1.3503356841229064
1986,0.7786439,0.7303198,0.7278953,0.6938776,0.76856244,0.7562861,0.65602005,0.73232526,1.284284115170869,1.3692631676541065,1.373823918443879,1.4411764150053594,1.3011304651700617,1.3222509580620057,1.5243436647922668,1.3655134682073538
1987,0.77720195,0.7574139,0.7302865,0.68190676,0.7594523,0.73071307,0.6817151,0.7410192,1.2866668686204803,1.32028203952422,1.3693256396783131,1.4664761504679389,1.3167384204129893,1.3685262270836802,1.4668885026082683,1.349492718085616
1988,0.7671994,0.7655597,0.7363202,0.70536774,0.76273113,0.73259777,0.6983057,0.7224704,1.3034421087878851,1.3062339029395915,1.3581048072340876,1.417700211769253,1.3110779857468895,1.3650055231690372,1.432037519804746,1.3841397464013407
1989,0.7737865,0.74825513,0.75375754,0.70672315,0.7753993,0.76737404,0.6919776,0.7423521,1.2923461693024865,1.3364425515535816,1.3266865692130914,1.414981234049828,1.289658070133066,1.303145466973218,1.4451334420607749,1.347069621333544
1990,0.7725077,0.73688066,0.73748505,0.7338456,0.787479,0.78776544,0.6819698,0.7398343,1.2944854334263671,1.3570718492225795,1.3559596881777387,1.3626844822962136,1.2698751599433986,1.2694133875422946,1.4663405454940346,1.3516539965002627
