Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.8026279969999999,0.779502136,0.748422739,0.761622428,0.7058803,0.7535516,0.6995946,0.742188343,1.2462467066822698,1.2829316798502908,1.3367021477276284,1.3130652969990453,1.4166708183079104,1.3270491322205469,1.42939922043068,1.347606725114543
1980,0.797548544,0.777348974,0.748348513,0.7634175830000001,0.73569775,0.74604917,0.653585791,0.723982992,1.2539373529021816,1.2865820156691297,1.3366763390701042,1.3099783025509832,1.3592538580697011,1.340394233974198,1.5301522024726382,1.381605628063525
1981,0.80039216,0.729570057,0.7451903289999999,0.7468145939999999,0.752045468,0.78215396,0.7156335,0.735869162,1.24959159703319,1.3710502838899274,1.342074633464898,1.3391673111163294,1.3297385455109243,1.2785206570217595,1.3973632926209474,1.3593309206320767
1982,0.80039072,0.778939035,0.753853797,0.76119673,0.7613438,0.78226864,0.71922165,0.759248409,1.2494806204456037,1.283984475137916,1.3266832234555626,1.3138168651788709,1.3134670959081685,1.2783332279308062,1.3903919575268364,1.3172149621527471
1983,0.782637042,0.758257896,0.7507315880000001,0.758769606,0.7903923,0.7813239,0.7067549,0.756961464,1.278010500769436,1.3190418977912768,1.3323148296981269,1.3179840051432141,1.2651945442515269,1.279878917704929,1.4149176293582562,1.3211955705156007
1984,0.784854418,0.746534512,0.724679365,0.7527376969999999,0.76593372,0.71942824,0.68173236,0.754435942,1.274183731034456,1.3396569306846016,1.380390100150541,1.328507674740973,1.3056080593789816,1.3899926951136632,1.4668513096006135,1.3257202273813526
1985,0.787427321,0.753481722,0.719106777,0.728124193,0.7660024990000001,0.7558884,0.67794174,0.739560815,1.2700945776343142,1.3273584171974717,1.3910269007903588,1.373513230026966,1.305528280602547,1.3229466105616887,1.475053004776255,1.3525099709022026
1986,0.780401158,0.73280759,0.727546558,0.691997139,0.7686465090000001,0.7562861,0.65602005,0.7315202679999999,1.2817174695558091,1.3651679282782105,1.3745659928276959,1.4452099568707257,1.3013972312853073,1.3222509580620057,1.5243436647922668,1.3670971920069763
1987,0.780827174,0.756108771,0.733385918,0.682821262,0.758821279,0.73071307,0.6817151,0.736806479,1.2810203634227464,1.3226512435034368,1.364068749056671,1.4647026979379467,1.3180083940251515,1.3685262270836802,1.4668885026082683,1.357410613289768
1988,0.761713858,0.76564839,0.7297976119999999,0.706690768,0.76213233,0.73259777,0.6983057,0.7168399670000001,1.3129959315124835,1.3062367064767264,1.37039588260618,1.4152601680075971,1.3122643547364532,1.3650055231690372,1.432037519804746,1.3953044166304045
