Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.7662680639999999,0.718993386,0.6981558170000001,0.701012533,0.67053777,0.7137697,0.6354653,0.689330188,1.305408343866342,1.3909182384264525,1.4331005549938944,1.4266659583867736,1.491340301839409,1.4010121696177424,1.5736499889929398,1.4512065076552396
1980,0.766009634,0.714157863,0.69383962,0.713184754,0.68848723,0.69375783,0.604874941,0.678114128,1.3058252488025257,1.4004819330806488,1.441602169898466,1.4024202817994764,1.4524597609242362,1.4414251685557369,1.6533660590725208,1.474978418775229
1981,0.760780197,0.684798793,0.690054402,0.689252712,0.701425606,0.71784586,0.6541235,0.688611403,1.3149801228162556,1.4606531929071997,1.449486502500772,1.45120256850857,1.4257259150031916,1.393056726661909,1.5287633341355054,1.45239983675243
1982,0.7637751770000001,0.7324860550000001,0.694939034,0.7152321340000001,0.71507794,0.7327218,0.66904485,0.701804967,1.3094478538612297,1.3653742009662841,1.4391515037505822,1.398257082133145,1.39844896443841,1.364774451087413,1.4946681027839472,1.4251348656525633
1983,0.745144477,0.7081136299999999,0.696861952,0.715749952,0.7258731,0.7242534,0.65987027,0.706668349,1.3423308062248682,1.4128077957499685,1.4352899983800378,1.3971689682842041,1.3776512485907113,1.380732182718792,1.5154493998890413,1.415255214221627
1984,0.7419660419999999,0.709780605,0.667784888,0.69613004,0.7058971460000001,0.6626881,0.64574987,0.7011707269999999,1.348002017196234,1.409266912797682,1.497721293797365,1.4365360909624905,1.41664091597547,1.5090055721047042,1.5485872334808797,1.4264489418083948
1985,0.752351178,0.704894521,0.674765497,0.676487542,0.72070894,0.7066585,0.6397875,0.679921044,1.3294547247658037,1.4188530027228445,1.4822678546341255,1.4783803359577714,1.3878150663921947,1.4151107284373623,1.5630189830250143,1.4710315968712857
1986,0.7413024659999999,0.682164695,0.6656225200000001,0.632004533,0.718060529,0.70459074,0.5992976,0.672156537,1.3492629109664782,1.4667667259938995,1.5034072229544324,1.582484360038301,1.392782366851822,1.4192636183303526,1.6686201116012707,1.4885416936185953
1987,0.738191649,0.708600208,0.6692802880000001,0.63684632,0.713720622,0.6719512,0.6357628,0.6807769589999999,1.355069899248043,1.411478287650327,1.4945931208693335,1.5705367493925941,1.4013257752136234,1.4882033659556464,1.572913645086923,1.4693487821000986
1988,0.717197787,0.712805049,0.677110485,0.643349401,0.701203667,0.66757095,0.65905774,0.662130613,1.394664825651113,1.4030712547115718,1.4771278325192967,1.5544674798975133,1.4262126250716984,1.4979681217344814,1.5173177474058877,1.5108308564861122
