Year,Capital_total,Capital_in dict,Capital_correct,State_total,State_indict,State_correct,Family_total,Family_indict,Family_correct,Total,Indict,Correct
1979,677,677,0.35302806499261447,175,175,0.13714285714285715,272,210,0.09523809523809523,1124,1062,0.2664783427495292
1980,677,677,0.3559822747415066,175,175,0.24,272,210,0.13333333333333333,1124,1062,0.2928436911487759
1981,677,677,0.3515509601181684,175,175,0.16,272,210,0.2571428571428571,1124,1062,0.3013182674199623
1982,677,677,0.30132939438700146,175,175,0.15428571428571428,272,210,0.19523809523809524,1124,1062,0.256120527306968
1983,677,677,0.33825701624815363,175,175,0.21142857142857144,272,210,0.19047619047619047,1124,1062,0.288135593220339
1984,677,677,0.30576070901033975,175,175,0.16,272,210,0.22380952380952382,1124,1062,0.2655367231638418
1985,677,677,0.35302806499261447,175,175,0.22285714285714286,272,210,0.18095238095238095,1124,1062,0.2975517890772128
1986,677,677,0.36927621861152143,175,175,0.24571428571428572,272,210,0.14285714285714285,1124,1062,0.3041431261770245
1987,677,677,0.31166912850812406,175,175,0.3942857142857143,272,210,0.11428571428571428,1124,1062,0.2862523540489642
1988,677,677,0.34268833087149186,175,175,0.38857142857142857,272,210,0.22857142857142856,1124,1062,0.327683615819209
1989,677,677,0.32200886262924666,175,175,0.2914285714285714,272,210,0.22380952380952382,1124,1062,0.2975517890772128
1990,677,677,0.2998522895125554,175,175,0.26857142857142857,272,210,0.2,1124,1062,0.2749529190207156
1991,677,677,0.3293943870014771,175,175,0.2742857142857143,272,210,0.18571428571428572,1124,1062,0.2919020715630885
1992,677,677,0.37961595273264404,175,175,0.2914285714285714,272,210,0.15714285714285714,1124,1062,0.3210922787193974
1993,677,677,0.34268833087149186,175,175,0.2,272,210,0.16666666666666666,1124,1062,0.2843691148775895
1994,677,677,0.31166912850812406,175,175,0.3142857142857143,272,210,0.1380952380952381,1124,1062,0.2777777777777778
1995,677,677,0.3825701624815362,175,175,0.2857142857142857,272,210,0.24761904761904763,1124,1062,0.339924670433145
1996,677,677,0.4963072378138848,175,175,0.28,272,210,0.29523809523809524,1124,1062,0.4209039548022599
1997,677,677,0.31462333825701627,175,175,0.2914285714285714,272,210,0.23333333333333334,1124,1062,0.2947269303201507
1998,677,677,0.31166912850812406,175,175,0.33714285714285713,272,210,0.21428571428571427,1124,1062,0.2966101694915254
1999,677,677,0.33382570162481534,175,175,0.3314285714285714,272,210,0.19047619047619047,1124,1062,0.3050847457627119
2000,677,677,0.2983751846381093,175,175,0.5085714285714286,272,210,0.28095238095238095,1124,1062,0.3295668549905838
2001,677,677,0.39438700147710487,175,175,0.35428571428571426,272,210,0.20952380952380953,1124,1062,0.3512241054613936
2002,677,677,0.3722304283604136,175,175,0.5028571428571429,272,210,0.20952380952380953,1124,1062,0.3615819209039548
2003,677,677,0.41063515509601184,175,175,0.52,272,210,0.2,1124,1062,0.3870056497175141
2004,677,677,0.51698670605613,175,175,0.4857142857142857,272,210,0.22380952380952382,1124,1062,0.4538606403013183
2005,677,677,0.4194977843426883,175,175,0.56,272,210,0.22857142857142856,1124,1062,0.4048964218455744
2006,677,677,0.4342688330871492,175,175,0.6171428571428571,272,210,0.20476190476190476,1124,1062,0.4190207156308851
2007,677,619,0.4927302100161551,175,175,0.6114285714285714,272,210,0.21428571428571427,1124,1004,0.4551792828685259
2008,677,619,0.34894991922455576,175,175,0.3657142857142857,272,210,0.2857142857142857,1124,1004,0.3386454183266932
2009,677,619,0.420032310177706,175,175,0.76,272,210,0.21904761904761905,1124,1004,0.43725099601593626
2010,677,619,0.5137318255250404,175,175,0.72,272,210,0.2857142857142857,1124,1004,0.50199203187251
2011,677,619,0.4991922455573506,175,175,0.8628571428571429,272,210,0.3,1124,1004,0.5209163346613546
2012,677,619,0.3602584814216478,175,175,0.8457142857142858,272,210,0.22857142857142856,1124,1004,0.41733067729083667
2013,677,619,0.4765751211631664,175,175,0.8057142857142857,272,210,0.3523809523809524,1124,1004,0.5079681274900398
2014,677,619,0.4620355411954766,175,175,0.7885714285714286,272,210,0.319047619047619,1124,1004,0.48904382470119523
2015,677,619,0.47495961227786754,175,175,0.8,272,210,0.32857142857142857,1124,1004,0.500996015936255
2016,677,619,0.38449111470113084,175,175,0.7028571428571428,272,210,0.319047619047619,1124,1004,0.4262948207171315
2017,677,619,0.3602584814216478,175,175,0.8685714285714285,272,210,0.319047619047619,1124,1004,0.4402390438247012
2018,677,619,0.31179321486268174,175,175,0.7485714285714286,272,210,0.21428571428571427,1124,1004,0.36752988047808766
2019,677,563,0.18294849023090587,175,175,0.6057142857142858,272,210,0.18571428571428572,1124,948,0.2616033755274262
2020,677,563,0.1261101243339254,175,175,0.6114285714285714,272,210,0.29523809523809524,1124,948,0.25316455696202533
2021,677,563,0.1882770870337478,175,175,0.7085714285714285,272,210,0.14761904761904762,1124,948,0.27531645569620256
2022,677,563,0.16341030195381884,175,175,0.7828571428571428,272,210,0.11904761904761904,1124,948,0.2679324894514768
2023,677,677,0.2511078286558346,175,175,0.7142857142857143,272,210,0.12380952380952381,1124,1062,0.3022598870056497
