Year,cnt_set297,Spearman Correlation,p-value
1979,251,0.49017042931188093,1.4126579523456532e-16
1980,250,0.5085059542269087,7.607280922586799e-18
1981,250,0.5175644023618015,1.5646218699489454e-18
1982,248,0.5071708976256263,1.2929927584962932e-17
1983,245,0.43850308398103444,6.186312243371937e-13
1984,245,0.504712008134966,3.064887447550822e-17
1985,245,0.4947517771019678,1.5666433713262425e-16
1986,245,0.489527719734376,3.6097725264864984e-16
1987,245,0.47026363418366196,6.951791469505153e-15
1988,245,0.480174298162449,1.5534309305606698e-15
1989,245,0.44995649686105277,1.2931968580952032e-13
1990,245,0.4897150008835358,3.504213503197287e-16
1991,245,0.4225335045589485,4.9844910621694066e-12
1992,244,0.45608111247836763,6.153091377990236e-14
1993,244,0.4608218718657639,3.13006822771738e-14
1994,244,0.47585986846874906,3.418369099333273e-15
1995,244,0.482193399027921,1.3014860900563433e-15
1996,244,0.47617944215864116,3.2573542361850466e-15
1997,244,0.4513290126783469,1.1989795151359643e-13
1998,244,0.4966980679105637,1.3204252561217454e-16
1999,244,0.48030241012079294,1.7400472181928777e-15
2000,244,0.5173057919348736,4.219520720263138e-18
2001,244,0.4603402692110831,3.3541418238452695e-14
2002,243,0.45852929308171153,4.9000433424399105e-14
2003,243,0.5125508219546151,1.1127614819043158e-17
2004,243,0.5313287641140585,4.1789150061900796e-19
2005,243,0.506948856890888,2.8500152207498916e-17
2006,243,0.5183577907353233,4.1210128746087145e-18
2007,243,0.4927572835924907,2.8618461718090493e-16
2008,242,0.502205302719037,7.225687678888387e-17
2009,242,0.4967969336599713,1.7323173320377769e-16
2010,242,0.5702005730663625,2.872241503578979e-22
2011,242,0.5543222953800186,6.777998490820374e-21
2012,242,0.528562670987292,8.102870579277114e-19
2013,242,0.5516499762505195,1.1350695252118882e-20
2014,242,0.5485420616311633,2.0555751396126222e-20
2015,242,0.5142065089263993,9.813018400212642e-18
2016,241,0.5229359941455307,2.5676853353553505e-18
2017,241,0.5217450757082771,3.1571724191995054e-18
2018,241,0.48882268533840645,7.024434018339228e-16
2019,241,0.4640806559304095,2.829812341531116e-14
2020,241,0.4687787266565295,1.4349699190409535e-14
2021,241,0.4593541954501858,5.545377423486753e-14
2022,237,0.47502611411815143,9.622653818350913e-15
2023,274,0.4899675155839707,5.9505718722433766e-18
