Year,cnt_set240,Spearman Correlation,p-value
1979,257,0.4754627531702836,6.688925189229158e-16
1980,264,0.4776818127511671,1.8725975005741917e-16
1981,269,0.49862359028223935,2.5857842908945853e-18
1982,265,0.48085940283589873,9.70034318535939e-17
1983,272,0.40290439296662384,4.869496129265802e-12
1984,275,0.4593896400747179,9.19719277923597e-16
1985,269,0.4831147229720995,3.881733022745074e-17
1986,284,0.451339715872242,1.1678254539442232e-15
1987,279,0.43789325541417967,1.6890864418439917e-14
1988,284,0.44296599235883916,4.450781734014328e-15
1989,282,0.40271834555686953,2.024417756243497e-12
1990,275,0.4480023796314798,5.565925995830539e-15
1991,273,0.3666438072090783,4.127735975652572e-10
1992,274,0.42260171435192295,2.699699635524694e-13
1993,281,0.41997719815456225,1.9607395244922176e-13
1994,280,0.4399749522105621,1.1016216836611894e-14
1995,282,0.4155167766217275,3.376623963071988e-13
1996,274,0.45322379762203296,2.7627393386904737e-15
1997,276,0.4372734489092033,2.5653005195196628e-14
1998,276,0.4590497507393002,8.615069136641064e-16
1999,279,0.4440396668552968,6.56203578834599e-15
2000,281,0.4688124164083709,9.253652939090031e-17
2001,278,0.4302122591133026,5.94920124597893e-14
2002,280,0.4167053198134948,3.458539751807215e-13
2003,277,0.49514886524747714,1.53642397337403e-18
2004,278,0.5078386837253279,1.2439021646946523e-19
2005,281,0.4791760074397623,1.5465895340907514e-17
2006,279,0.4956497330624837,1.053988315170456e-18
2007,281,0.48662358960809776,4.1168058912769125e-18
2008,280,0.4678836693559616,1.227646786945392e-16
2009,276,0.4695622419427505,1.5319683610685124e-16
2010,285,0.5193244077586225,4.383357185428471e-21
2011,279,0.5279085145828513,2.013338092363304e-21
2012,283,0.49630764917906833,5.266742737504913e-19
2013,280,0.5228717545900196,4.7597947982624866e-21
2014,277,0.5261248025994526,4.019893440403706e-21
2015,281,0.4786257019458452,1.7033172683768573e-17
2016,280,0.4876786471812954,3.905953218210449e-18
2017,275,0.49557541783524817,1.890820665498698e-18
2018,277,0.4671496064609398,2.020382837573197e-16
2019,271,0.45069173326872164,5.805381161132122e-15
2020,275,0.44338833867033406,1.1327650531516463e-14
2021,273,0.43736966466676847,3.4953100274935004e-14
2022,270,0.4689432094832045,3.6172335999389173e-16
2023,274,0.4899675155839707,5.9505718722433766e-18
