Year,Capital_total,Capital_in dict,Capital_correct,State_total,State_indict,State_correct,Family_total,Family_indict,Family_correct,Total,Indict,Correct
1979,677,677,0.344165436,175,175,0.137142857,272,240,0.083333333,1124,1092,0.253663004
1980,677,677,0.347119645,175,175,0.24,272,240,0.125,1124,1092,0.281135531
1981,677,677,0.34859675,175,175,0.16,272,240,0.245833333,1124,1092,0.295787546
1982,677,677,0.286558346,175,175,0.154285714,272,240,0.183333333,1124,1092,0.242673993
1983,677,677,0.317577548,175,175,0.211428571,272,240,0.183333333,1124,1092,0.271062271
1984,677,677,0.282127031,175,175,0.16,272,240,0.208333333,1124,1092,0.246336996
1985,677,677,0.324963072,175,175,0.217142857,272,210,0.180952381,1124,1062,0.278719397
1986,677,677,0.333825702,175,175,0.24,272,240,0.129166667,1124,1092,0.273809524
1987,677,677,0.29689808,175,175,0.394285714,272,240,0.108333333,1124,1092,0.271062271
1988,677,677,0.295420975,175,175,0.388571429,272,240,0.216666667,1124,1092,0.293040293
1989,677,677,0.283604136,175,175,0.28,272,210,0.223809524,1124,1062,0.271186441
1990,677,677,0.270310192,175,175,0.251428571,272,240,0.1875,1124,1092,0.249084249
1991,677,677,0.280649926,175,175,0.268571429,272,210,0.185714286,1124,1062,0.259887006
1992,677,677,0.363367799,175,175,0.251428571,272,240,0.15,1124,1092,0.298534799
1993,677,677,0.271787297,175,175,0.177142857,272,240,0.158333333,1124,1092,0.231684982
1994,677,677,0.279172821,175,175,0.268571429,272,272,0.121323529,1124,1124,0.239323843
1995,677,677,0.35745938,175,175,0.251428571,272,240,0.229166667,1124,1092,0.312271062
1996,677,677,0.389955687,175,175,0.257142857,272,240,0.275,1124,1092,0.343406593
1997,677,677,0.283604136,175,175,0.291428571,272,240,0.216666667,1124,1092,0.27014652
1998,677,677,0.261447563,175,175,0.308571429,272,240,0.204166667,1124,1092,0.256410256
1999,677,677,0.295420975,175,175,0.325714286,272,240,0.183333333,1124,1092,0.275641026
2000,677,677,0.285081241,175,175,0.485714286,272,240,0.2375,1124,1092,0.306776557
2001,677,677,0.313146233,175,175,0.354285714,272,240,0.1875,1124,1092,0.292124542
2002,677,677,0.330871492,175,175,0.497142857,272,240,0.179166667,1124,1092,0.324175824
2003,677,677,0.366322009,175,175,0.52,272,240,0.183333333,1124,1092,0.350732601
2004,677,677,0.468242245,175,175,0.485714286,272,210,0.223809524,1124,1062,0.422787194
2005,677,677,0.345642541,175,175,0.554285714,272,210,0.228571429,1124,1062,0.356873823
2006,677,677,0.394387001,175,175,0.6,272,240,0.191666667,1124,1092,0.382783883
2007,677,619,0.402261712,175,175,0.605714286,272,240,0.204166667,1124,1034,0.390715667
2008,677,677,0.29394387,175,175,0.354285714,272,210,0.285714286,1124,1062,0.302259887
2009,677,677,0.295420975,175,175,0.742857143,272,240,0.2,1124,1092,0.346153846
2010,677,677,0.403249631,175,175,0.714285714,272,240,0.270833333,1124,1092,0.423992674
2011,677,677,0.381093058,175,175,0.817142857,272,240,0.2875,1124,1092,0.43040293
2012,677,677,0.288035451,175,175,0.828571429,272,240,0.220833333,1124,1092,0.35989011
2013,677,677,0.372230428,175,175,0.788571429,272,240,0.329166667,1124,1092,0.429487179
2014,677,677,0.332348597,175,175,0.754285714,272,240,0.304166667,1124,1092,0.393772894
2015,677,677,0.360413589,175,175,0.76,272,272,0.294117647,1124,1124,0.40658363
2016,677,677,0.273264402,175,175,0.668571429,272,240,0.3,1124,1092,0.342490842
2017,677,677,0.29689808,175,175,0.822857143,272,240,0.295833333,1124,1092,0.380952381
2018,677,677,0.242245199,175,175,0.731428571,272,240,0.195833333,1124,1092,0.31043956
2019,677,619,0.142164782,175,175,0.6,272,272,0.143382353,1124,1066,0.217636023
2020,677,619,0.105008078,175,175,0.571428571,272,240,0.275,1124,1034,0.223404255
2021,677,619,0.158319871,175,175,0.685714286,272,210,0.147619048,1124,1004,0.248007968
2022,677,563,0.14920071,175,175,0.777142857,272,210,0.10952381,1124,948,0.256329114
2023,677,677,0.251107829,175,175,0.714285714,272,210,0.123809524,1124,1062,0.302259887
