Year,cnt_set240,Spearman Correlation,p-value
1979,217,0.36980076792692146,1.9496567933501776e-08
1980,217,0.37004886380330454,1.9043907268612777e-08
1981,222,0.41231512902468564,1.6006622028035132e-10
1982,223,0.3990917233656471,6.205126313776502e-10
1983,223,0.3533610486661155,5.856774758876036e-08
1984,227,0.3530453135193668,4.580870584176067e-08
1985,226,0.36701846099341207,1.295967660781085e-08
1986,232,0.3851805620204206,1.2705509186739791e-09
1987,231,0.3977501250684172,3.536436620071957e-10
1988,233,0.3785490491081439,2.359336130791058e-09
1989,232,0.39928112925506937,2.730400702068751e-10
1990,231,0.3754282001136153,3.8155154452760884e-09
1991,231,0.344125625324707,8.019326221692297e-08
1992,231,0.354043086535628,3.165631140141187e-08
1993,230,0.3601775531718001,1.8827702659923382e-08
1994,233,0.3896646529944285,7.217516403549874e-10
1995,232,0.40865558291556664,9.431327135880006e-11
1996,231,0.40820476282985074,1.0904178383674429e-10
1997,231,0.38994745574260214,8.288682026423072e-10
1998,234,0.45521807978468126,2.2655001237297066e-13
1999,236,0.3957780490915675,2.841314391543688e-10
2000,233,0.4693915458594266,3.610488005174114e-14
2001,234,0.4114749455402046,5.6303101669367595e-11
2002,235,0.4106624566947329,5.634331182710162e-11
2003,236,0.4567286113283014,1.4546490871109224e-13
2004,234,0.46523823695812916,5.708607351349082e-14
2005,235,0.44790869401327693,5.372136546041795e-13
2006,235,0.45034856136595824,3.881269877298498e-13
2007,236,0.4727878974066836,1.5160717892845475e-14
2008,234,0.4674478740267378,4.186670528375869e-14
2009,236,0.45218668791040895,2.699607926643687e-13
2010,236,0.49933110550613374,2.7576488939535767e-16
2011,236,0.5097365921019832,5.201344811807648e-17
2012,238,0.5059815021573226,7.081972134563702e-17
2013,236,0.4868243142229625,1.9022570973414745e-15
2014,236,0.5016564332630349,1.9089071128291828e-16
2015,236,0.5095060564966911,5.400503582234759e-17
2016,236,0.5086980406127963,6.15932219954844e-17
2017,236,0.48135195276367065,4.321450022009915e-15
2018,237,0.4523087629576635,2.3633945898868694e-13
2019,234,0.459577962169057,1.2505259168371113e-13
2020,235,0.39231679423327237,4.5542046021922576e-10
2021,235,0.4678402731999917,3.493880898587235e-14
2022,231,0.46937697174850557,4.659836776982844e-14
2023,234,0.42247701584282915,1.5137321853335896e-11
